df_hash,22ZHK4.JEJ4QH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UU8F
person_label,V64
date_time_start,2025-10-31_16-37-26.954000_+03
date_time_start_unix,1761914246.954
date_time_end,2025-10-31_16-45-41.538000_+03
length_difference_noticed,no

time,temperature
5.335,33.250
6.359,33.250
7.431,33.312
8.357,33.312
9.482,33.344
10.356,33.344
11.331,33.344
12.355,33.375
13.372,33.344
14.354,33.375
15.329,33.406
16.353,33.438
17.331,33.469
18.351,33.469
19.472,33.469
20.350,33.500
21.325,33.500
22.400,33.531
23.324,33.562
24.594,33.562
25.420,33.562
26.348,33.594
27.321,33.594
28.372,33.625
29.370,33.500
30.368,33.531
31.565,33.594
32.352,33.625
33.369,33.625
34.341,33.625
35.365,33.625
36.440,33.656
37.364,33.719
38.465,33.688
39.363,33.844
40.372,33.875
41.362,33.969
42.336,33.969
43.360,34.031
44.341,34.062
45.359,34.156
46.334,34.156
47.358,34.188
48.333,34.219
49.356,34.156
50.381,34.156
51.355,34.062
52.330,34.094
53.369,34.094
54.353,34.125
55.355,34.062
56.399,34.062
57.352,34.094
58.327,34.094
59.399,34.125
60.325,34.125
61.349,34.188
62.324,34.188
63.348,34.188
64.323,34.219
65.495,34.188
66.324,34.219
67.345,34.219
68.349,34.219
69.344,34.219
70.322,34.250
71.343,34.250
72.338,34.250
73.342,34.281
74.365,34.312
75.340,34.312
76.364,34.344
77.339,34.375
78.314,34.406
79.338,34.438
80.361,34.438
81.580,34.438
82.365,34.406
83.384,34.406
84.359,34.344
85.334,34.344
86.507,34.344
87.333,34.344
88.405,34.344
89.383,34.344
90.355,34.344
91.350,34.344
92.355,34.406
93.330,34.438
94.353,34.469
95.339,34.500
96.353,34.500
97.401,34.500
98.351,34.500
99.329,34.500
100.644,34.500
101.325,34.562
102.348,34.500
103.425,34.500
104.347,34.469
105.322,34.500
106.346,34.500
107.321,34.469
108.393,34.469
109.416,34.500
110.343,34.500
111.318,34.500
112.342,34.562
113.370,34.562
114.340,34.594
115.323,34.562
116.339,34.562
117.366,34.625
118.338,34.625
119.319,34.625
120.400,34.656
121.316,34.656
122.373,34.625
123.509,34.625
124.335,34.656
125.310,34.688
126.334,34.688
127.308,34.688
128.380,34.688
129.553,34.656
130.331,34.656
131.354,34.625
132.337,34.625
133.353,34.625
134.483,34.625
135.360,34.562
136.327,34.531
137.356,34.594
138.326,34.625
139.350,34.656
140.388,34.656
141.348,34.781
142.323,34.781
143.347,34.781
144.322,34.812
145.395,34.906
146.326,34.938
147.345,34.844
148.319,34.844
149.350,34.844
150.330,34.812
151.488,34.781
152.317,34.781
153.345,34.781
154.367,34.781
155.403,34.844
156.366,34.812
157.428,34.844
158.313,34.875
159.362,34.844
160.363,34.875
161.423,34.875
162.311,34.844
163.335,34.875
164.310,34.844
165.337,34.781
166.361,34.812
167.418,34.844
168.360,34.844
169.379,34.844
170.306,34.844
171.524,34.844
172.600,34.875
173.329,34.875
174.331,34.875
175.327,34.875
176.307,34.875
177.716,34.875
178.304,34.906
179.324,34.938
180.371,34.906
181.333,34.938
182.448,35.000
183.322,35.000
184.346,34.938
185.321,34.938
186.348,34.938
187.422,34.875
188.363,34.875
189.319,34.875
190.342,34.875
191.321,34.875
192.343,34.812
193.316,34.844
194.447,34.969
195.325,35.000
196.341,35.031
197.313,35.062
198.337,35.094
199.313,35.094
200.677,35.094
201.345,35.094
202.335,35.094
203.342,35.094
204.360,35.062
205.309,35.031
206.333,35.000
207.308,35.000
208.406,34.938
209.363,34.969
210.330,34.969
211.305,35.000
212.329,34.969
213.352,34.938
214.328,34.969
215.400,35.000
216.326,35.000
217.301,35.000
218.325,35.062
219.595,35.031
220.332,35.062
221.348,35.031
222.371,35.062
223.298,35.062
224.344,35.000
225.299,35.000
226.320,35.000
227.344,34.969
228.319,34.906
229.342,34.906
230.341,34.906
231.343,34.906
232.336,34.906
233.340,34.938
234.315,35.000
235.339,35.000
236.314,35.031
237.338,35.094
238.313,35.094
239.337,35.062
240.311,35.031
241.335,35.062
242.331,35.031
243.334,35.000
244.601,34.969
245.332,35.000
246.308,35.000
247.357,34.938
248.369,34.969
249.330,35.031
250.463,35.031
251.329,35.031
252.304,35.062
253.328,35.062
254.303,35.062
255.326,35.031
256.324,35.000
257.325,35.031
258.306,35.062
259.325,35.000
260.299,35.031
261.323,35.031
262.298,34.969
263.322,34.938
264.394,34.938
265.356,34.938
266.299,34.969
267.422,35.031
268.294,34.969
269.318,35.000
270.341,35.031
271.316,35.094
272.312,35.094
273.316,35.125
274.291,35.125
275.367,35.125
276.363,35.062
277.361,35.062
278.435,35.062
279.312,35.062
280.385,35.031
281.315,35.031
282.447,35.062
283.309,35.062
284.333,35.062
285.308,35.094
286.331,35.125
287.309,35.094
288.428,35.156
289.406,35.156
290.329,35.156
291.326,35.125
292.328,35.188
293.303,35.188
294.327,35.219
295.317,35.188
296.326,35.188
297.311,35.219
298.324,35.219
299.371,35.188
300.325,35.219
301.298,35.219
302.422,35.156
303.346,35.125
304.334,35.094
305.296,35.094
306.325,35.094
307.299,35.094
308.321,35.062
309.442,35.094
310.317,35.094
311.292,35.125
312.320,35.156
313.331,35.156
314.339,35.188
315.290,35.188
316.320,35.219
317.288,35.250
