df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,ppg_med
5.276,884
5.301,1015
5.326,1225
5.351,1338
5.376,1295
5.401,1250
5.426,1373
5.451,1595
5.476,1680
5.501,1546
5.526,1402
5.551,1479
5.576,1684
5.601,1696
5.626,1404
5.651,1095
5.676,1078
5.701,1229
5.726,1118
5.751,597
5.776,52
5.801,-102
5.826,-34
5.851,-311
5.876,-1123
5.901,-1957
5.926,-2275
5.951,-2291
5.976,-2745
6.001,-3876
6.026,-5019
6.051,-5475
6.076,-5523
6.101,-6109
6.126,-7534
6.151,-8944
6.176,-9448
6.201,-9402
6.226,-10004
6.251,-11628
6.276,-13195
6.301,-13580
6.326,-13231
6.351,-13654
6.376,-15316
6.401,-16858
6.426,-16877
6.451,-15936
6.476,-15915
6.501,-17397
6.526,-18688
6.551,-18038
6.576,-16153
6.601,-15380
6.626,-16450
6.651,-17252
6.676,-15607
6.701,-12395
6.726,-10558
6.751,-11020
6.776,-11144
6.801,-8193
6.826,-3271
6.851,-96
6.876,139
6.901,767
6.926,5281
6.951,12284
6.976,16991
7.001,17820
7.026,19067
7.051,25328
7.076,32767
7.101,32767
7.126,32767
7.151,32767
7.176,32767
7.201,32767
7.226,32767
7.251,32767
7.276,32767
7.301,32767
7.326,32767
7.351,32767
7.376,32767
7.401,32767
7.426,32767
7.451,32767
7.476,32767
7.501,32767
7.526,24252
7.551,-32768
7.576,-32768
7.601,-32768
7.626,-32768
7.651,-32768
7.676,-32768
7.701,-32768
7.726,-32768
7.751,-32768
7.776,-32768
7.801,-32768
7.826,-32768
7.851,-32768
7.876,-32768
7.901,-32768
7.926,-32768
7.951,-32768
7.976,-32768
8.001,-31616
8.026,-23321
8.051,-19635
8.076,-18252
8.101,-14210
8.126,-6925
8.151,-711
8.176,1307
8.201,1242
8.226,3253
8.251,7935
8.276,11874
8.301,12535
8.326,11582
8.351,12385
8.376,15466
8.401,18056
8.426,18013
8.451,16582
8.476,16455
8.501,18096
8.526,19328
8.551,18467
8.576,16554
8.601,15787
8.626,16504
8.651,16838
8.676,15347
8.701,12960
8.726,11746
8.751,12315
8.776,13265
8.801,13137
8.826,12123
8.851,11414
8.876,11407
8.901,11266
8.926,10234
8.951,8704
8.976,7624
9.001,7193
9.026,6703
9.051,5616
9.076,4316
9.101,3517
9.126,3256
9.151,2872
9.176,1939
9.201,815
9.226,95
9.251,-209
9.276,-625
9.301,-1442
9.326,-2322
9.351,-2825
9.376,-3063
9.401,-3543
9.426,-4386
9.451,-4994
9.476,-4660
9.501,-3389
9.526,-1934
9.551,-1038
9.576,-789
9.601,-758
9.626,-598
9.651,-359
9.676,-250
9.701,-292
9.726,-310
9.751,-180
9.776,50
9.801,291
9.826,552
9.851,899
9.876,1323
9.901,1730
9.926,2064
9.951,2354
9.976,2625
10.001,2809
10.026,2816
10.051,2675
10.076,2496
10.101,2234
10.126,1603
10.151,524
10.176,-726
10.201,-1589
10.226,-1653
10.251,-1039
10.276,-333
10.301,-91
10.326,-364
10.351,-710
10.376,-652
10.401,-135
10.426,474
10.451,776
10.476,698
10.501,491
10.526,423
10.551,520
10.576,607
10.601,532
10.626,311
10.651,56
10.676,-181
10.701,-473
10.726,-905
10.751,-1439
10.776,-1913
10.801,-2187
10.826,-2274
10.851,-2327
10.876,-2464
10.901,-2618
10.926,-2557
10.951,-2092
10.976,-1272
11.001,-391
11.026,217
11.051,413
11.076,304
11.101,98
11.126,-81
11.151,-243
11.176,-428
11.201,-597
11.226,-637
11.251,-476
11.276,-155
11.301,197
11.326,473
11.351,649
11.376,764
11.401,864
11.426,973
11.451,1106
11.476,1280
11.501,1492
11.526,1686
11.551,1761
11.576,1641
11.601,1349
11.626,1034
11.651,916
11.676,1164
11.701,1797
11.726,2661
11.751,3503
11.776,4112
11.801,4411
11.826,4458
11.851,4361
11.876,4188
11.901,3961
11.926,3695
11.951,3439
11.976,3237
12.001,3076
12.026,2874
12.051,2549
12.076,2100
12.101,1608
12.126,1148
12.151,716
12.176,250
12.201,-273
12.226,-786
12.251,-1200
12.276,-1537
12.301,-1950
12.326,-2567
12.351,-3288
12.376,-3773
12.401,-3683
12.426,-2985
12.451,-2029
12.476,-1291
12.501,-1019
12.526,-1091
12.551,-1214
12.576,-1237
12.601,-1265
12.626,-1481
12.651,-1904
12.676,-2338
12.701,-2576
12.726,-2603
12.751,-2587
12.776,-2678
12.801,-2827
12.826,-2846
12.851,-2610
12.876,-2173
12.901,-1694
12.926,-1261
12.951,-841
12.976,-395
13.001,19
13.026,303
13.051,501
13.076,862
13.101,1655
13.126,2898
13.151,4272
13.176,5365
13.201,5991
13.226,6299
13.251,6550
13.276,6834
13.301,7016
13.326,6941
13.351,6619
13.376,6176
13.401,5622
13.426,4757
13.451,3346
13.476,1413
13.501,-695
13.526,-2545
13.551,-3919
13.576,-4898
13.601,-5684
13.626,-6394
13.651,-7029
13.676,-7558
13.701,-7941
13.726,-8021
13.751,-7506
13.776,-6161
13.801,-4093
13.826,-1805
13.851,120
13.876,1459
13.901,2448
