df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,quality
27.436,53
28.609,60
29.690,59
30.410,53
31.608,46
32.460,48
33.383,38
34.648,20
35.431,0
36.358,18
37.527,0
38.453,8
39.330,4
40.501,13
41.427,59
42.399,24
43.474,29
44.401,23
45.278,0
46.497,0
47.569,0
48.252,7
49.471,60
50.348,30
51.226,0
52.494,26
53.322,0
54.200,0
55.421,29
56.296,28
57.514,27
58.395,30
59.270,44
60.244,59
61.366,56
62.243,38
63.171,39
64.342,31
65.364,35
66.338,33
67.313,37
68.386,0
69.143,27
70.289,40
71.259,46
72.093,27
73.267,22
74.381,24
75.067,27
76.252,33
77.174,44
78.039,45
79.208,52
80.138,0
81.014,0
82.232,24
83.108,0
84.009,32
85.205,28
86.177,30
86.959,34
88.279,45
89.056,40
89.935,42
91.154,32
92.029,32
92.955,39
94.175,33
95.004,44
95.932,55
97.145,41
97.979,33
98.904,41
100.073,40
101.009,34
101.924,50
103.048,75
103.974,76
104.853,67
106.021,53
107.043,36
107.834,33
109.147,0
109.923,2
110.844,31
112.017,31
112.913,29
113.773,31
114.991,43
115.872,43
116.746,25
117.965,32
118.842,39
119.720,39
120.938,30
121.827,25
122.743,28
123.913,38
124.790,26
125.725,27
126.887,36
127.778,22
128.690,31
129.907,31
130.737,44
131.820,41
132.858,45
133.782,54
134.832,57
135.819,62
136.782,59
137.611,58
138.783,46
139.716,45
140.679,29
141.755,23
142.682,26
143.558,21
144.782,31
145.654,42
146.633,42
147.702,31
148.634,47
149.508,32
150.723,22
151.602,0
152.480,2
153.650,2
154.593,0
155.550,29
156.688,39
157.598,0
158.428,0
159.646,36
160.531,46
161.421,45
162.623,55
163.740,36
164.374,0
165.662,21
166.471,27
167.420,36
168.570,36
169.593,39
170.519,28
171.543,16
172.420,20
173.361,0
174.560,0
175.488,0
176.319,26
177.488,0
178.658,0
179.293,29
180.657,26
181.339,0
182.266,0
183.436,37
184.411,0
185.240,0
186.434,0
187.336,0
188.216,31
189.429,40
190.404,34
191.188,40
192.503,48
193.236,25
194.309,37
195.333,35
196.384,28
197.135,26
198.597,52
199.232,32
200.109,0
201.286,7
202.350,9
203.082,13
204.252,6
205.227,0
206.060,11
207.226,66
208.153,68
209.030,23
210.199,6
211.128,0
212.011,2
213.174,0
214.104,29
214.978,0
216.244,2
217.076,0
217.975,27
219.170,31
220.049,22
220.928,23
222.095,27
223.022,37
223.899,18
225.119,15
226.139,0
226.919,24
228.091,30
228.978,33
229.846,38
231.066,42
232.006,34
232.820,26
234.040,29
234.916,23
235.797,20
237.062,19
237.890,18
238.768,0
240.032,0
240.864,30
241.791,45
242.963,46
244.081,50
244.765,50
246.028,47
246.811,47
247.738,52
248.908,44
249.977,36
250.711,52
251.881,50
252.813,44
253.730,41
254.858,37
255.837,40
256.661,54
257.830,35
258.774,35
259.689,25
260.871,0
261.728,0
262.610,0
263.825,0
264.704,0
265.583,27
266.798,52
267.676,47
268.599,64
269.773,59
270.651,53
271.914,46
272.889,55
273.647,66
274.502,64
275.727,53
276.597,48
277.475,33
278.695,25
279.620,0
280.497,0
281.669,28
282.545,33
283.471,34
284.641,43
285.521,46
286.450,44
287.617,43
288.592,44
289.426,48
290.686,52
291.470,45
292.442,28
293.562,31
294.488,28
295.367,31
296.556,31
297.415,52
298.341,28
299.513,28
300.437,33
301.372,23
302.628,21
303.411,29
304.288,41
305.458,37
306.386,20
307.504,30
308.481,38
309.358,41
310.236,34
311.454,27
312.380,20
313.261,0
314.428,41
315.319,31
316.182,30
317.499,33
318.279,32
319.156,36
320.420,40
321.258,27
322.186,30
323.351,23
324.226,27
325.157,30
326.412,43
327.201,43
328.126,31
329.342,0
330.222,0
331.100,25
332.562,28
333.152,21
334.074,2
335.243,0
336.145,0
337.050,0
338.217,0
339.189,0
340.032,0
341.240,0
342.163,0
343.335,0
344.165,36
345.095,36
345.971,35
347.237,33
348.066,34
348.943,29
350.457,25
351.043,0
351.917,0
353.088,23
354.013,27
354.891,23
356.060,27
356.987,24
357.864,36
359.057,43
359.962,35
360.932,38
362.102,32
362.936,25
363.811,31
365.030,29
365.908,16
366.788,32
368.049,40
368.884,33
369.857,24
370.980,26
371.858,29
372.733,32
373.955,36
374.831,27
376.003,39
376.925,28
377.842,21
378.777,0
379.900,0
380.972,0
381.654,0
382.933,0
383.750,20
384.628,29
385.849,28
386.725,31
387.601,0
388.820,0
389.743,35
390.587,31
391.805,28
392.671,27
393.551,37
394.770,30
395.646,29
396.571,39
397.741,44
398.629,0
399.547,23
400.778,31
401.594,20
402.519,46
403.689,48
404.567,41
405.493,46
406.955,33
407.541,25
408.467,26
409.636,21
410.559,24
411.441,47
412.614,42
413.880,38
414.415,50
415.586,30
416.461,22
417.633,0
418.558,0
419.581,25
420.363,0
421.532,25
422.409,44
423.335,40
424.506,39
425.432,31
426.552,43
427.479,38
428.607,29
429.285,33
430.456,25
431.426,19
432.354,0
433.475,38
434.362,44
435.231,46
436.451,42
437.327,34
438.204,36
439.427,42
440.320,47
441.272,47
442.692,36
