df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,ppg_quality
58.376,53
60.396,59
62.416,77
64.436,67
65.446,74
66.456,74
67.466,80
68.476,82
70.496,84
71.506,48
73.526,50
74.536,64
75.546,62
76.556,57
77.566,47
79.586,23
80.596,17
81.606,29
82.616,27
83.626,37
84.636,34
85.646,35
86.656,41
87.666,45
88.676,55
90.696,41
92.716,49
93.726,50
94.736,52
96.756,39
98.776,27
99.786,32
100.796,43
102.816,57
103.826,60
105.846,54
106.856,57
108.876,51
109.886,43
110.896,33
111.906,25
112.916,14
113.926,5
115.946,5
117.966,7
118.976,14
119.986,21
122.006,30
123.016,35
124.026,38
126.046,44
127.056,58
128.066,64
129.076,65
131.096,57
132.106,50
133.116,47
134.126,48
135.136,52
137.156,50
139.176,37
140.186,42
142.206,59
143.216,59
144.226,57
145.236,54
146.246,50
147.256,47
148.266,53
149.276,63
151.296,67
152.306,73
154.326,68
155.336,68
156.346,67
158.366,68
160.386,54
162.406,41
163.416,39
165.436,50
167.456,42
169.476,47
171.496,46
173.516,47
174.526,37
175.536,30
177.556,41
178.566,40
180.586,35
181.596,47
182.606,49
183.616,54
184.626,44
186.646,34
187.656,39
189.676,26
191.696,23
192.706,24
193.716,20
195.736,42
196.746,46
197.756,30
198.766,22
199.776,19
201.796,10
202.806,4
208.866,5
209.876,14
210.886,8
211.896,6
212.906,2
214.926,3
221.996,5
226.036,2
227.046,13
228.056,15
229.066,13
230.076,8
234.116,15
235.126,12
237.146,6
238.156,7
239.166,18
240.176,32
241.186,46
243.206,53
245.226,54
246.236,49
247.246,50
249.266,52
250.276,56
252.296,65
253.306,78
254.316,90
256.336,81
257.346,74
258.356,68
259.366,50
260.376,37
262.396,26
266.436,1
267.446,17
268.456,35
269.466,54
271.486,71
273.506,83
275.526,100
276.536,104
277.546,102
278.556,100
280.576,68
282.596,47
283.606,48
284.616,43
285.626,46
286.636,46
288.656,49
289.666,59
291.686,69
292.696,73
293.706,62
295.726,48
297.746,40
298.756,34
299.766,32
300.776,27
301.786,25
303.806,37
304.816,46
305.826,54
306.836,62
307.846,64
308.856,60
310.876,70
311.886,64
312.896,69
313.906,68
314.916,65
316.936,50
318.956,56
320.976,59
322.996,68
324.006,63
325.016,56
327.036,46
328.046,35
329.056,27
330.066,23
332.086,7
333.096,7
334.106,11
336.126,30
337.136,22
338.146,19
339.156,18
340.166,13
342.186,21
343.196,11
344.206,26
347.236,26
348.246,37
349.256,42
351.276,54
353.296,32
355.316,2
363.396,2
364.406,7
366.426,7
367.436,14
368.446,16
369.456,16
371.476,12
373.496,19
374.506,26
375.516,29
376.526,34
378.546,38
380.566,44
382.586,45
383.596,44
384.606,47
386.626,66
388.646,67
389.656,66
391.676,66
392.686,73
395.716,85
397.736,60
399.756,67
401.776,66
402.786,59
403.796,53
405.816,39
406.826,38
407.836,45
408.846,32
409.856,21
411.876,27
412.886,36
414.906,60
416.926,77
418.946,93
420.966,104
422.986,83
423.996,75
425.006,60
427.026,54
428.036,35
430.056,40
432.076,27
433.086,36
434.096,32
435.106,29
436.116,22
437.126,25
438.136,43
439.146,40
440.156,32
442.176,34
443.186,31
444.196,36
446.216,33
447.226,23
448.236,18
449.246,16
450.256,20
451.266,25
452.276,28
455.306,27
457.326,44
458.336,52
459.346,57
460.356,57
461.366,59
463.386,72
465.406,70
467.426,65
469.446,52
470.456,52
472.476,36
474.496,25
476.516,20
478.536,18
480.556,9
481.566,1
482.576,4
484.596,24
485.606,18
486.616,15
487.626,16
489.646,34
490.656,55
491.666,70
493.686,77
495.706,73
496.716,95
497.726,103
498.736,99
499.746,98
500.756,89
501.766,86
502.776,83
503.786,74
504.796,68
506.816,60
507.826,52
508.836,47
510.856,44
512.876,40
514.896,42
515.906,55
516.916,68
517.926,85
518.936,90
520.956,91
522.976,93
