df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,temperature
5.154,34.438
6.178,34.500
7.153,34.562
8.177,34.594
9.153,34.656
10.175,34.688
11.299,34.750
12.174,34.750
13.149,34.812
14.173,34.812
15.148,34.875
16.172,34.906
17.147,34.938
18.171,34.938
19.195,34.969
20.169,35.000
21.437,35.031
22.171,35.031
23.143,35.062
24.167,35.125
25.142,35.156
26.182,35.156
27.142,35.188
28.165,35.219
29.188,35.250
30.163,35.250
31.289,35.281
32.161,35.312
33.185,35.281
34.160,35.281
35.185,35.219
36.171,35.219
37.183,35.219
38.255,35.219
39.182,35.281
40.161,35.281
41.329,35.344
42.301,35.312
43.181,35.375
44.154,35.406
45.178,35.500
46.153,35.500
47.179,35.531
48.152,35.562
49.175,35.531
50.150,35.562
51.174,35.594
52.446,35.625
53.173,35.656
54.149,35.688
55.172,35.688
56.147,35.750
57.213,35.750
58.145,35.750
59.169,35.781
60.144,35.781
61.171,35.781
62.146,35.750
63.266,35.750
64.142,35.781
65.166,35.781
66.343,35.781
67.164,35.781
68.211,35.781
69.170,35.812
70.138,35.812
71.164,35.844
72.432,35.844
73.160,35.875
74.188,35.875
75.183,35.875
76.135,35.875
77.207,35.906
78.425,35.906
79.157,35.938
80.180,35.938
81.176,35.906
82.179,35.969
83.154,35.969
84.178,36.000
85.157,36.062
86.184,36.094
87.154,36.094
88.178,36.125
89.151,36.125
90.213,36.125
91.347,36.156
92.175,36.188
93.180,36.219
94.269,36.156
95.147,36.156
96.170,36.156
97.152,36.156
98.169,36.156
99.147,36.156
100.168,36.156
101.179,36.156
102.167,36.125
103.142,36.125
104.412,36.125
105.141,36.125
106.164,36.156
107.152,36.156
108.163,36.188
109.157,36.219
110.181,36.250
111.140,36.250
112.160,36.250
113.136,36.281
114.159,36.281
115.134,36.281
116.158,36.250
117.184,36.250
118.156,36.281
119.132,36.250
120.155,36.250
121.133,36.281
122.231,36.312
123.129,36.344
124.205,36.281
125.131,36.312
126.152,36.344
127.175,36.312
128.150,36.312
129.174,36.281
130.200,36.281
131.173,36.250
132.148,36.219
133.171,36.250
134.196,36.250
135.170,36.250
136.145,36.312
137.184,36.344
138.145,36.312
139.213,36.312
140.337,36.312
141.166,36.344
142.142,36.344
143.165,36.281
144.289,36.344
145.184,36.344
146.139,36.312
147.163,36.312
148.138,36.344
149.213,36.375
150.153,36.406
151.161,36.406
152.136,36.406
153.159,36.469
154.141,36.406
155.162,36.375
156.133,36.375
157.159,36.375
158.332,36.375
159.156,36.344
160.130,36.344
161.157,36.312
162.129,36.312
163.153,36.250
164.274,36.250
165.249,36.250
166.127,36.219
167.151,36.250
168.125,36.188
169.149,36.219
170.140,36.188
171.245,36.219
172.271,36.188
173.147,36.250
174.171,36.312
175.145,36.344
176.172,36.344
177.144,36.375
178.168,36.375
179.143,36.375
180.170,36.375
181.142,36.344
182.166,36.469
183.338,36.469
184.313,36.406
185.139,36.406
186.163,36.562
187.139,36.531
188.162,36.562
189.137,36.594
190.161,36.625
191.136,36.625
192.159,36.562
193.136,36.562
194.158,36.625
195.138,36.625
196.158,36.531
197.378,36.562
198.155,36.562
199.130,36.594
200.154,36.594
201.157,36.562
202.153,36.594
203.153,36.594
204.151,36.594
205.152,36.562
206.151,36.531
207.126,36.562
208.298,36.531
209.173,36.438
210.151,36.406
211.369,36.406
212.147,36.375
213.122,36.375
214.205,36.344
215.415,36.375
216.144,36.375
217.119,36.344
218.143,36.344
219.264,36.438
220.142,36.531
221.117,36.531
222.189,36.562
223.116,36.531
224.188,36.531
225.441,36.531
226.156,36.531
227.162,36.500
228.186,36.469
229.178,36.500
230.136,36.500
231.204,36.469
232.134,36.469
233.158,36.500
234.330,36.562
235.157,36.562
236.132,36.594
237.156,36.594
238.131,36.625
239.154,36.625
240.178,36.625
241.153,36.625
242.128,36.656
243.151,36.625
244.127,36.625
245.153,36.594
246.147,36.594
247.150,36.625
248.124,36.625
249.148,36.625
250.321,36.625
251.147,36.594
252.122,36.625
253.148,36.625
254.120,36.625
255.168,36.656
256.129,36.688
257.161,36.688
258.166,36.688
259.141,36.656
260.117,36.656
261.241,36.688
262.116,36.656
263.139,36.656
264.163,36.594
265.435,36.562
266.164,36.562
267.383,36.531
268.116,36.562
269.155,36.531
270.160,36.562
271.154,36.531
272.109,36.562
273.133,36.594
274.157,36.625
275.180,36.656
276.272,36.594
277.131,36.625
278.154,36.500
279.129,36.531
280.153,36.531
281.130,36.562
282.152,36.594
283.147,36.594
284.161,36.594
285.130,36.625
286.155,36.719
287.124,36.688
288.148,36.812
289.123,36.781
290.147,36.781
291.122,36.750
292.146,36.688
293.121,36.656
294.145,36.719
295.119,36.719
296.192,36.688
297.120,36.688
298.142,36.688
299.117,36.719
300.143,36.688
301.167,36.750
302.140,36.750
303.115,36.781
304.138,36.750
305.113,36.719
306.241,36.750
307.258,36.719
308.136,36.688
309.111,36.688
310.137,36.719
311.110,36.688
312.135,36.688
313.108,36.656
314.137,36.656
315.107,36.688
316.144,36.656
317.401,36.656
318.130,36.688
