df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,heart_rate
27.432,98
28.602,97
29.485,97
30.406,96
31.604,96
32.454,96
33.380,96
34.552,96
35.427,96
36.354,96
37.524,96
38.450,96
39.327,96
40.497,96
41.424,88
42.307,92
43.471,91
44.397,91
45.275,90
46.494,90
47.381,90
48.249,90
49.467,81
50.345,86
51.222,84
52.490,85
53.319,84
54.196,84
55.415,85
56.292,86
57.216,85
58.389,87
59.266,87
60.241,87
61.362,87
62.240,85
63.167,86
64.336,85
65.360,85
66.144,85
67.310,81
68.383,83
69.140,82
70.284,80
71.230,81
72.087,80
73.257,80
74.191,80
75.061,80
76.249,76
77.157,73
78.035,71
79.205,68
80.131,70
81.009,70
82.228,69
83.105,69
84.005,61
85.201,64
86.121,64
86.956,59
88.275,58
89.052,58
89.930,59
91.149,58
92.026,58
92.905,58
94.171,58
95.000,58
95.926,71
97.097,66
97.974,64
98.900,64
100.070,65
100.996,64
101.874,73
103.044,78
103.970,81
104.847,82
106.018,82
106.951,82
107.829,81
109.139,81
109.917,81
110.823,81
112.014,81
112.908,81
113.769,81
114.988,77
115.865,82
116.743,79
117.961,81
118.839,81
119.716,81
120.935,80
121.813,80
122.714,80
123.909,83
124.786,81
125.714,81
126.882,75
127.775,78
128.687,77
129.874,71
130.734,64
131.810,62
132.831,62
133.779,62
134.636,63
135.804,63
136.779,62
137.607,62
138.778,62
139.704,62
140.583,62
141.751,62
142.678,62
143.555,62
144.746,62
145.651,59
146.629,58
147.699,60
148.625,61
149.502,65
150.711,63
151.599,62
152.476,62
153.646,62
154.588,62
155.453,62
156.683,56
157.553,58
158.424,58
159.643,55
160.521,53
161.398,53
162.616,54
163.502,54
164.371,53
165.657,53
166.467,53
167.417,53
168.564,53
169.445,60
170.514,57
171.538,56
172.415,56
173.357,56
174.511,56
175.473,56
176.315,53
177.485,54
178.366,54
179.289,58
180.512,55
181.336,55
182.263,55
183.433,55
184.321,55
185.236,55
186.431,55
187.333,55
188.210,56
189.380,58
190.263,61
191.185,64
192.355,65
193.231,63
194.167,68
195.328,66
196.377,65
197.131,65
198.315,68
199.228,67
200.105,66
201.275,66
202.203,66
203.079,66
204.249,66
205.224,66
206.056,66
207.223,58
208.149,54
209.026,57
210.196,57
211.123,56
212.000,56
213.170,56
214.097,63
214.974,60
216.148,59
217.070,59
217.971,67
219.166,64
220.044,63
220.921,63
222.091,63
223.018,63
223.895,63
225.114,63
226.069,63
226.884,69
228.088,72
228.965,74
229.843,74
231.061,74
232.002,73
232.816,73
234.035,73
234.913,73
235.790,73
237.058,73
237.887,73
238.764,73
240.002,73
240.860,81
241.787,86
242.956,86
243.838,88
244.760,88
245.944,90
246.808,91
247.734,92
248.904,93
249.784,92
250.708,91
251.878,90
252.804,90
253.681,90
254.851,90
255.832,90
256.655,90
257.826,90
258.764,89
259.678,89
260.868,89
261.725,89
262.603,89
263.821,89
264.699,89
265.578,89
266.795,87
267.673,86
268.550,85
269.769,84
270.647,84
271.596,85
272.746,86
273.643,86
274.498,87
275.717,87
276.594,86
277.471,86
278.690,86
279.616,86
280.494,86
281.664,86
282.542,83
283.468,83
284.638,82
285.516,82
286.446,82
287.612,81
288.589,81
289.423,79
290.592,80
291.467,79
292.438,79
293.559,79
294.460,79
295.363,79
296.553,79
297.410,77
298.337,78
299.507,77
300.433,74
301.327,75
302.483,75
303.407,78
304.284,80
305.454,81
306.382,79
307.262,79
308.477,73
309.354,71
310.232,73
311.450,73
312.377,72
313.257,72
314.424,80
315.302,77
316.179,82
317.496,81
318.275,81
319.153,82
320.372,83
321.251,82
322.180,82
323.345,82
324.223,82
325.154,82
326.407,82
327.197,82
328.123,80
329.293,81
330.212,80
331.097,77
332.268,83
333.148,80
334.070,81
335.240,80
336.141,80
337.044,80
338.214,80
339.141,80
340.019,80
341.237,80
342.130,80
343.229,80
344.162,80
345.088,73
345.965,71
347.141,65
348.062,61
348.939,64
350.113,64
351.035,63
351.913,63
353.083,63
354.009,63
354.887,63
356.057,63
356.983,63
357.861,66
359.054,65
359.957,68
360.883,68
362.057,69
362.931,68
363.808,68
365.027,68
365.904,68
366.782,68
368.009,68
368.878,68
369.853,68
370.974,64
371.852,65
372.729,65
373.948,65
374.825,64
375.998,64
376.922,64
377.835,64
378.682,64
379.896,64
380.778,64
381.651,64
382.880,64
383.747,58
384.624,54
385.843,57
386.721,57
387.598,56
388.817,56
389.700,65
390.572,61
391.791,60
392.668,60
393.546,58
394.764,56
395.642,58
396.568,58
397.738,58
398.616,57
399.542,57
400.765,57
401.589,57
402.516,57
403.686,57
404.563,57
405.489,57
406.670,57
407.537,61
408.463,59
409.633,58
410.511,56
411.437,57
412.609,57
413.877,57
414.411,72
415.581,66
416.458,64
417.453,64
418.554,65
419.451,64
420.358,64
421.528,64
422.406,64
423.332,64
424.502,64
425.428,64
426.311,64
427.476,61
428.601,57
429.279,58
430.449,59
431.379,58
432.256,58
433.472,58
434.353,58
435.227,58
436.446,58
437.323,58
438.201,64
439.420,61
440.317,60
441.188,60
