df_hash,22ZHK4.L5WD3N
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.65DX
person_label,v131
date_time_start,2026-04-07_18-07-56.885000_+03
date_time_start_unix,1775567276.885
date_time_end,2026-04-07_18-16-43.799000_+03
length_difference_noticed,no

time,rr_int
8.769,3845
9.054,445
9.590,295
10.322,470
10.711,730
10.858,395
11.686,230
12.369,750
12.661,675
13.636,400
14.356,940
14.758,670
15.050,700
15.879,750
16.562,125
17.390,625
17.683,860
18.073,305
18.661,370
19.391,580
20.172,560
21.440,1015
21.973,1205
22.557,540
23.240,630
23.777,675
24.459,645
25.044,590
25.726,560
26.360,720
26.994,565
27.677,670
28.261,700
28.800,580
29.480,620
30.066,625
30.757,620
31.430,650
32.016,670
32.698,685
33.087,690
33.672,375
34.063,565
34.652,360
35.379,650
35.866,615
36.598,620
37.670,620
38.259,1160
38.937,640
39.230,670
40.062,265
40.741,770
41.475,760
41.862,700
42.155,360
42.404,385
43.813,305
44.642,1285
45.328,920
46.591,645
47.274,1240
48.396,800
49.517,1030
50.199,1210
50.882,585
51.178,705
51.466,285
52.831,350
53.514,1325
54.245,750
54.928,670
55.512,680
56.196,655
56.885,675
57.560,660
58.242,680
58.974,700
59.656,750
60.636,735
60.778,735
61.177,350
61.850,420
62.142,910
62.825,745
64.531,330
65.372,1390
66.042,795
66.872,755
67.700,770
68.391,815
69.212,795
69.942,760
70.479,725
71.210,540
71.747,795
72.167,495
72.870,480
73.842,715
74.818,985
75.890,910
76.622,1115
77.452,685
77.695,855
78.428,345
79.792,685
80.375,1310
80.912,640
82.325,570
82.569,1400
83.007,225
83.304,475
84.377,280
85.350,1070
85.640,790
86.323,525
86.908,625
87.298,600
87.444,580
88.712,675
89.104,590
89.396,340
90.098,310
90.759,715
91.051,710
91.490,335
92.181,360
92.856,725
93.686,715
94.272,740
94.952,675
95.686,665
96.005,675
96.317,340
97.047,305
97.292,730
97.731,260
98.415,440
99.144,715
99.831,715
100.509,730
101.337,725
102.020,715
102.751,725
103.434,735
104.165,720
104.555,710
104.800,330
105.530,360
106.359,750
106.651,830
106.944,275
107.080,225
108.017,210
108.543,895
109.386,415
110.134,940
110.795,760
111.108,690
111.477,320
112.062,385
112.351,625
112.745,290
113.428,385
114.110,620
114.257,680
114.695,255
115.381,350
115.817,775
116.499,330
116.889,685
117.035,660
118.595,825
119.424,695
120.106,775
120.501,720
121.227,410
121.934,760
122.628,655
123.324,700
124.057,690
124.348,685
125.128,370
126.103,815
126.785,985
127.467,685
128.155,630
128.884,790
129.128,605
129.564,320
130.393,395
131.221,885
132.197,855
132.891,915
133.174,770
134.152,290
135.512,1005
136.097,1315
137.083,600
138.192,960
139.022,1185
140.346,720
140.685,1350
141.361,325
142.046,810
142.336,615
142.629,325
143.457,285
143.847,820
144.433,365
144.677,625
145.505,320
146.383,770
147.211,940
147.601,705
148.335,445
149.016,805
149.600,600
149.990,635
150.234,340
150.967,355
151.502,670
152.333,535
152.817,765
153.454,530
154.134,550
154.719,805
156.086,610
156.377,1335
157.206,355
157.497,815
158.573,265
159.545,995
159.984,1070
161.934,525
163.884,1845
164.291,1955
165.253,525
166.370,1000
167.199,1100
167.881,800
168.636,740
169.441,715
170.319,785
170.523,855
171.249,275
172.903,685
173.975,1640
174.853,1100
175.096,850
175.828,350
177.342,685
177.729,1335
178.996,570
179.533,1260
180.118,595
180.801,615
181.093,600
181.385,320
182.117,290
182.361,690
182.604,315
183.579,320
184.700,990
185.383,1080
186.116,680
186.802,675
187.479,705
187.869,670
188.600,400
189.436,810
190.415,765
190.650,995
191.379,285
191.915,680
192.598,650
193.329,670
194.011,735
194.402,655
195.133,335
195.377,795
196.108,285
196.405,695
196.790,305
197.765,390
198.158,1010
199.572,315
200.934,1420
201.668,1480
202.494,615
203.469,865
203.859,990
204.541,355
204.834,745
205.956,300
206.199,1075
207.174,270
207.759,985
208.734,565
208.880,1215
210.392,630
210.784,930
212.069,295
212.878,1355
213.609,835
214.292,615
214.828,730
216.098,580
216.780,1250
217.461,730
217.607,875
219.069,345
219.267,1055
220.093,290
220.678,715
221.214,625
221.799,570
222.726,615
223.994,855
224.286,1310
225.450,280
225.991,1110
226.625,600
227.454,650
228.283,820
229.113,920
229.941,805
230.528,795
231.212,550
231.501,765
231.793,485
233.167,630
235.108,845
235.644,1890
237.107,580
237.594,1385
238.325,670
239.008,655
239.301,675
239.739,315
240.373,350
240.665,700
240.812,335
241.006,295
242.177,675
242.908,630
243.590,635
244.131,640
244.712,635
245.397,560
246.033,645
246.661,605
247.344,640
248.042,710
248.710,690
249.441,705
249.982,735
250.805,510
251.488,915
252.257,665
252.755,675
253.438,665
253.877,670
254.123,630
255.425,680
256.112,675
256.826,690
257.062,700
257.338,280
258.021,305
258.753,695
259.434,685
259.756,640
260.702,295
261.140,1020
261.384,400
262.750,260
263.481,1365
264.168,710
264.884,730
265.674,725
266.405,770
267.088,740
267.917,760
268.891,750
268.936,690
269.189,255
269.869,390
270.549,675
271.232,670
271.943,695
272.646,695
272.894,720
273.330,305
274.011,375
274.693,700
275.187,715
275.572,390
276.122,395
276.507,600
276.792,400
277.521,230
277.770,795
278.057,225
278.885,390
279.178,810
279.732,290
280.543,510
281.226,805
281.956,770
282.639,745
