df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,ppg_med
5.272,470
5.297,540
5.322,651
5.347,711
5.372,688
5.397,663
5.422,728
5.447,846
5.472,891
5.497,818
5.522,741
5.547,782
5.572,891
5.597,898
5.622,742
5.647,577
5.672,568
5.697,649
5.722,590
5.747,313
5.772,23
5.797,-58
5.822,-21
5.847,-168
5.872,-599
5.897,-1044
5.922,-1213
5.947,-1220
5.972,-1460
5.997,-2062
6.022,-2671
6.047,-2913
6.072,-2938
6.097,-3248
6.122,-4007
6.147,-4758
6.172,-5027
6.197,-5000
6.222,-5319
6.247,-6184
6.272,-7019
6.297,-7223
6.322,-7034
6.347,-7257
6.372,-8141
6.397,-8963
6.422,-8972
6.447,-8467
6.472,-8452
6.497,-9241
6.522,-9929
6.547,-9581
6.572,-8573
6.597,-8157
6.622,-8727
6.647,-9155
6.672,-8278
6.697,-6562
6.722,-5580
6.747,-5826
6.772,-5895
6.797,-4322
6.822,-1696
6.847,-1
6.872,122
6.897,452
6.922,2856
6.947,6590
6.972,9100
6.997,9538
7.022,10196
7.047,13530
7.072,18588
7.097,21968
7.122,22486
7.147,23214
7.172,27565
7.197,32767
7.222,32767
7.247,32767
7.272,32767
7.297,32767
7.322,32767
7.347,32767
7.372,32767
7.397,32767
7.422,32767
7.447,32767
7.472,32767
7.497,32767
7.522,12677
7.547,-32768
7.572,-32768
7.597,-32768
7.622,-32768
7.647,-32768
7.672,-32768
7.697,-32768
7.722,-32768
7.747,-32768
7.772,-32768
7.797,-32768
7.822,-32768
7.847,-32768
7.872,-29971
7.897,-24234
7.922,-22302
7.947,-22273
7.972,-20233
7.997,-15554
8.022,-11292
8.047,-9790
8.072,-9711
8.097,-8187
8.122,-4732
8.147,-1630
8.172,-669
8.197,-835
8.222,93
8.247,2522
8.272,4676
8.297,5137
8.322,4673
8.347,5041
8.372,6604
8.397,8014
8.422,8170
8.447,7678
8.472,7912
8.497,9141
8.522,10277
8.547,10416
8.572,9980
8.597,9983
8.622,10581
8.647,10922
8.672,10387
8.697,9442
8.722,8981
8.747,9132
8.772,9164
8.797,8537
8.822,7596
8.847,7018
8.872,6851
8.897,6461
8.922,5423
8.947,4101
8.972,3175
8.997,2791
9.022,2462
9.047,1771
9.072,896
9.097,305
9.122,115
9.147,-18
9.172,-404
9.197,-920
9.222,-1222
9.247,-1215
9.272,-1137
9.297,-1207
9.322,-1349
9.347,-1348
9.372,-1165
9.397,-968
9.422,-890
9.447,-854
9.472,-724
9.497,-518
9.522,-393
9.547,-433
9.572,-531
9.597,-533
9.622,-429
9.647,-342
9.672,-355
9.697,-416
9.722,-425
9.747,-372
9.772,-334
9.797,-352
9.822,-371
9.847,-312
9.872,-180
9.897,-48
9.922,43
9.947,136
9.972,288
9.997,488
10.022,657
10.047,742
10.072,777
10.097,808
10.122,815
10.147,803
10.172,770
10.197,719
10.222,655
10.247,583
10.272,503
10.297,423
10.322,351
10.347,294
10.372,253
10.397,223
10.422,198
10.447,175
10.472,153
10.497,137
10.522,134
10.547,146
10.572,168
10.597,189
10.622,196
10.647,187
10.672,169
10.697,150
10.722,133
10.747,117
10.772,100
10.797,81
10.822,56
10.847,20
10.872,-23
10.897,-66
10.922,-96
10.947,-122
10.972,-165
10.997,-242
11.022,-338
11.047,-414
11.072,-435
11.097,-402
11.122,-348
11.147,-304
11.172,-268
11.197,-212
11.222,-117
11.247,6
11.272,126
11.297,222
11.322,297
11.347,367
11.372,440
11.397,508
11.422,555
11.447,572
11.472,555
11.497,508
11.522,440
11.547,376
11.572,343
11.597,352
11.622,386
11.647,410
11.672,407
11.697,384
11.722,363
11.747,352
11.772,336
11.797,294
11.822,229
11.847,162
11.872,117
11.897,102
11.922,105
11.947,118
11.972,138
11.997,166
12.022,191
12.047,204
12.072,205
12.097,207
12.122,225
12.147,254
12.172,271
12.197,259
12.222,223
12.247,179
12.272,143
12.297,116
12.322,95
12.347,83
12.372,87
12.397,106
12.422,124
12.447,121
12.472,95
12.497,57
12.522,22
12.547,-10
12.572,-47
12.597,-92
12.622,-138
12.647,-176
12.672,-205
12.697,-227
12.722,-234
12.747,-211
12.772,-149
12.797,-61
12.822,25
12.847,96
12.872,156
12.897,221
12.922,294
12.947,361
12.972,406
12.997,426
13.022,433
13.047,431
13.072,413
13.097,371
13.122,311
13.147,249
13.172,193
13.197,137
13.222,65
13.247,-23
13.272,-109
13.297,-174
13.322,-212
13.347,-229
13.372,-226
13.397,-194
13.422,-122
13.447,-16
13.472,102
13.497,205
13.522,280
13.547,332
13.572,380
13.597,441
13.622,528
13.647,640
13.672,761
13.697,863
13.722,919
13.747,920
13.772,879
13.797,822
13.822,773
13.847,749
13.872,755
13.897,789
13.922,834
13.947,869
13.972,877
13.997,862
14.022,839
14.047,817
14.072,779
14.097,695
14.122,546
14.147,350
14.172,144
14.197,-45
14.222,-217
14.247,-379
14.272,-525
14.297,-623
14.322,-648
14.347,-604
14.372,-527
14.397,-460
14.422,-419
14.447,-392
14.472,-362
14.497,-324
14.522,-286
14.547,-256
