df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,rr_int
13.024,7720
14.126,670
15.491,1220
15.638,1400
15.930,85
15.935,295
16.174,230
18.124,1060
18.127,945
18.173,10
18.176,20
18.186,10
18.367,10
18.371,40
18.419,115
20.659,1080
21.881,1220
22.856,1255
24.120,955
25.339,1360
26.070,1180
27.191,685
28.702,1160
29.171,1600
29.536,375
30.802,425
30.947,1250
31.338,170
31.774,205
33.434,635
34.553,1495
35.771,1305
36.063,1240
36.624,290
38.452,560
39.964,1860
40.256,1520
40.792,240
40.798,620
41.962,285
42.158,985
43.425,415
44.546,880
44.692,1090
45.086,250
45.378,375
46.496,275
47.179,1170
48.446,665
49.177,1235
49.421,990
49.425,10
49.665,225
50.691,1020
53.175,1270
53.861,1320
54.248,640
54.394,555
56.100,510
56.206,1230
57.611,10
58.148,1515
58.440,475
58.443,350
59.269,10
60.390,740
61.516,1195
63.434,1070
64.144,1965
64.826,670
65.363,780
65.655,485
66.633,335
67.081,680
67.318,1010
68.727,455
69.117,865
69.555,550
70.384,295
70.823,955
71.066,340
72.041,260
72.772,1050
73.164,700
74.432,340
74.674,1285
75.504,295
76.395,830
76.532,880
77.745,10
78.428,1360
80.236,760
81.645,1825
81.938,1380
82.620,185
83.330,820
83.744,705
84.148,355
84.424,450
84.862,310
85.558,340
85.590,315
85.838,360
86.667,340
87.057,780
87.889,435
88.716,880
89.007,800
90.312,280
90.518,1295
90.527,220
92.224,980
92.234,725
92.614,10
93.442,410
93.881,940
94.418,325
95.003,600
95.272,785
95.393,225
95.991,285
96.373,275
97.197,325
97.489,900
97.782,260
98.610,260
99.293,935
100.709,580
101.244,1455
102.218,545
102.803,1055
104.194,455
104.607,1425
105.825,445
106.125,1270
106.508,255
106.658,380
107.239,250
107.921,455
108.214,715
108.920,355
109.335,720
109.583,425
110.700,210
111.139,1165
111.383,360
111.676,270
112.651,305
113.333,1000
114.454,740
114.747,1035
115.136,375
115.575,370
116.112,435
117.379,565
117.673,1175
119.183,330
119.865,1510
119.869,710
120.158,10
120.304,445
121.967,670
122.963,1060
123.622,950
124.058,605
125.179,460
125.569,1205
126.841,340
126.987,1305
127.150,285
127.813,280
128.494,345
128.500,685
128.591,15
129.031,10
129.619,545
130.444,545
130.737,890
130.741,270
130.837,10
130.883,145
130.886,15
130.984,15
130.990,10
131.148,10
131.175,220
131.181,15
131.565,20
132.541,385
133.519,1035
134.491,940
135.032,935
135.709,650
136.004,690
136.008,115
136.148,10
137.123,310
137.659,940
138.098,580
138.927,355
139.761,945
140.584,710
141.413,865
141.757,915
141.760,280
142.099,15
142.147,320
142.150,15
142.243,210
142.293,10
143.071,845
144.485,10
144.777,1280
144.781,390
145.168,10
145.314,350
145.459,220
147.263,1640
148.092,290
148.634,750
148.679,635
148.685,10
148.774,25
148.788,15
148.878,105
149.749,995
150.579,10
151.407,780
151.421,880
151.553,10
151.556,105
151.699,25
151.702,45
151.850,15
151.992,250
151.995,15
152.043,15
152.047,50
152.528,365
153.211,155
153.800,740
154.624,500
154.628,875
154.673,15
154.677,15
154.680,10
154.723,15
154.730,10
154.917,10
155.014,320
155.018,10
156.965,1020
157.945,925
158.234,1020
158.243,295
158.719,10
159.060,415
159.353,425
160.036,275
160.328,725
161.844,180
162.425,1545
162.960,620
163.497,515
163.789,650
163.794,225
163.838,15
164.377,10
164.765,485
165.593,500
165.886,750
166.860,315
167.250,960
167.982,465
167.985,640
168.030,10
168.035,10
168.038,15
168.179,30
168.182,20
168.247,245
169.883,790
169.929,845
169.949,15
170.322,45
170.763,375
171.980,515
173.637,1150
174.078,1725
174.612,485
174.615,520
174.761,10
176.329,15
176.708,1685
178.122,375
178.125,1380
178.128,10
178.659,10
179.487,560
180.755,860
181.586,1175
182.563,630
183.679,1270
183.708,810
184.801,330
185.873,1095
185.876,1090
186.312,10
187.434,450
187.677,1090
187.969,345
188.408,250
188.652,380
189.919,315
190.212,1210
190.895,330
191.724,725
193.235,775
193.675,1605
193.823,340
194.941,190
195.339,1160
195.623,400
196.452,290
196.988,845
197.820,570
198.410,780
199.377,510
199.621,1005
200.889,320
201.181,1235
201.717,260
202.163,550
203.229,430
203.526,1080
204.349,370
204.355,630
205.227,195
206.153,900
206.157,875
207.280,835
207.567,265
208.936,315
210.638,1440
211.857,1650
212.835,1320
214.928,935
215.634,2090
215.779,690
216.198,215
217.278,305
218.244,1165
218.400,1115
219.511,740
219.901,380
220.632,370
221.315,825
222.437,630
222.731,1145
223.313,300
223.434,245
224.240,470
224.535,1055
224.630,210
226.433,1030
226.436,685
226.482,10
227.554,110
229.115,1120
230.211,1440
231.309,1155
233.112,1170
233.410,1800
233.698,255
234.818,320
235.891,1110
236.187,1110
237.598,290
238.816,1415
239.840,1205
240.376,995
241.059,525
242.100,745
242.570,1015
242.863,480
243.691,315
244.959,840
245.348,1290
245.993,350
246.031,705
247.737,710
247.884,1035
248.007,185
250.516,1620
251.053,945
251.738,580
253.148,620
253.539,1535
254.378,325
255.246,825
256.073,870
257.292,890
257.888,1260
