df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,battery
11.740,45
21.804,45
31.726,45
41.787,45
51.761,45
61.755,45
71.749,45
81.746,45
91.737,45
101.733,45
111.724,45
121.868,44
131.761,44
141.852,44
151.748,44
161.742,44
171.736,44
181.827,44
191.734,44
201.818,44
211.711,44
221.705,44
231.747,44
241.844,44
251.735,44
261.729,44
271.723,44
281.717,44
291.714,44
301.704,44
311.698,44
321.692,44
331.783,44
341.733,44
351.722,44
361.715,44
371.739,44
381.709,44
391.697,44
401.691,44
411.685,44
421.825,44
431.743,44
441.718,44
451.717,44
461.725,44
471.696,44
481.690,44
491.684,44
