df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,temperature
4.864,31.234
5.839,31.234
6.911,31.234
8.230,31.234
9.010,31.250
9.837,31.266
10.860,31.266
11.935,31.281
13.006,31.328
13.834,31.312
15.104,31.375
15.833,31.391
16.856,31.438
17.831,31.484
18.855,31.531
19.853,31.562
20.854,31.578
21.878,31.578
22.852,31.562
23.876,31.594
24.851,31.562
25.875,31.609
26.850,31.625
27.874,31.672
28.849,31.656
29.876,31.688
30.848,31.703
31.920,31.750
32.846,31.797
33.870,31.828
34.845,31.859
35.870,31.875
36.844,31.875
37.868,31.891
39.138,31.906
39.867,31.953
40.861,31.984
41.865,31.984
42.840,31.953
43.881,31.953
45.083,31.969
45.863,31.953
46.838,31.984
47.863,31.953
49.034,31.953
49.860,31.953
50.835,31.938
51.859,31.938
52.834,31.953
53.858,31.953
54.833,31.938
55.857,31.938
56.836,31.906
57.855,31.922
58.830,31.953
59.884,31.953
60.857,31.938
61.852,31.953
62.888,31.984
63.852,32.000
64.989,32.031
65.850,32.062
66.825,32.062
68.092,32.094
68.824,32.062
69.849,32.094
70.826,32.125
71.853,32.125
72.870,32.125
73.845,32.125
74.869,32.125
75.844,32.125
76.868,32.125
77.843,32.125
78.867,32.094
79.842,32.062
80.865,32.125
81.840,32.188
82.864,32.188
83.849,32.188
85.106,32.156
85.984,32.188
86.866,32.156
87.855,32.188
88.862,32.219
89.835,32.219
90.859,32.156
91.834,32.125
92.858,32.156
93.833,32.156
94.857,32.219
95.981,32.188
96.856,32.219
97.831,32.219
98.861,32.188
99.829,32.219
100.853,32.219
101.828,32.219
102.852,32.219
103.827,32.250
104.850,32.250
105.923,32.281
106.968,32.250
107.829,32.250
108.848,32.312
110.025,32.281
110.847,32.281
111.919,32.312
112.850,32.344
113.821,32.344
114.844,32.375
115.819,32.375
116.994,32.375
117.841,32.406
118.842,32.406
119.817,32.438
121.135,32.406
121.962,32.406
122.839,32.375
123.863,32.344
124.839,32.312
125.862,32.344
126.983,32.344
127.861,32.375
128.837,32.375
129.862,32.375
130.834,32.406
131.858,32.438
132.833,32.438
133.863,32.500
135.026,32.531
135.867,32.531
136.831,32.531
137.856,32.469
138.830,32.469
139.853,32.469
140.828,32.500
141.855,32.531
142.856,32.531
143.851,32.562
144.826,32.562
145.849,32.562
146.824,32.562
147.848,32.594
149.072,32.625
149.847,32.594
150.826,32.594
151.845,32.562
152.821,32.562
153.866,32.562
154.820,32.562
155.843,32.562
156.818,32.562
157.940,32.594
158.817,32.562
159.844,32.562
160.816,32.562
161.839,32.594
162.815,32.625
163.844,32.625
164.813,32.625
165.837,32.625
166.812,32.656
167.837,32.656
168.811,32.688
169.835,32.656
170.858,32.625
171.833,32.625
172.857,32.594
173.832,32.625
174.856,32.625
175.831,32.625
176.855,32.594
177.830,32.562
179.194,32.625
179.829,32.625
180.852,32.656
181.831,32.625
182.872,32.625
183.850,32.594
184.850,32.594
185.825,32.594
186.848,32.625
187.824,32.625
188.847,32.562
189.822,32.562
190.846,32.625
191.821,32.625
192.845,32.656
194.115,32.688
194.844,32.656
195.820,32.625
196.842,32.625
197.817,32.625
198.841,32.594
199.824,32.562
200.840,32.562
202.107,32.594
202.863,32.562
203.914,32.562
204.863,32.594
205.880,32.594
206.836,32.625
207.811,32.625
208.932,32.688
209.861,32.719
210.837,32.719
211.822,32.719
212.832,32.719
214.051,32.750
214.831,32.750
215.906,32.781
216.830,32.781
217.808,32.750
219.155,32.719
219.852,32.719
220.827,32.719
221.851,32.719
222.826,32.719
223.850,32.594
224.826,32.625
225.849,32.594
226.823,32.625
227.849,32.688
228.823,32.656
229.848,32.656
230.821,32.656
231.845,32.625
232.820,32.594
233.989,32.688
234.822,32.656
235.843,32.625
236.818,32.625
237.841,32.625
239.062,32.594
239.863,32.562
240.815,32.531
241.848,32.594
242.814,32.594
243.854,32.625
244.813,32.656
245.836,32.688
246.811,32.688
247.835,32.656
248.810,32.719
249.834,32.750
250.809,32.781
251.832,32.812
252.813,32.812
253.831,32.844
254.806,32.812
255.879,32.812
256.805,32.844
257.877,32.844
258.812,32.875
259.828,32.906
261.049,32.906
261.827,32.938
262.801,32.969
263.825,32.969
264.800,32.938
265.823,32.938
266.822,32.938
267.823,32.938
268.868,32.812
269.822,32.750
270.845,32.750
271.966,32.719
272.844,32.688
273.829,32.656
274.843,32.688
275.837,32.688
276.841,32.719
277.823,32.719
278.840,32.750
279.815,32.750
280.888,32.719
282.060,32.750
282.911,32.719
283.813,32.719
284.836,32.750
285.957,32.750
286.835,32.719
287.810,32.719
288.834,32.781
289.812,32.812
290.834,32.844
291.908,32.844
292.832,32.844
293.807,32.875
294.830,32.844
295.805,32.844
296.829,32.875
297.804,32.906
298.828,32.938
299.803,32.969
300.830,32.969
301.802,33.000
302.825,33.000
303.800,33.000
304.826,33.031
305.851,33.031
306.823,33.031
307.801,33.031
308.822,33.000
309.802,33.031
310.821,32.969
311.795,32.969
312.819,33.000
314.091,33.031
314.818,33.062
315.835,33.031
316.817,32.969
317.940,32.938
