df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,heart_rate
21.636,53
22.560,53
23.468,53
24.315,53
25.533,53
26.411,53
27.337,53
28.507,53
29.413,53
30.311,53
31.481,53
32.408,53
33.285,53
34.455,53
35.334,53
36.260,53
37.428,53
38.306,53
39.233,53
40.402,53
41.329,53
42.306,53
43.376,53
44.302,53
45.180,60
46.350,63
47.276,64
48.154,64
49.323,63
50.288,63
51.127,59
52.354,60
53.224,55
54.101,57
55.320,57
56.197,57
57.075,56
58.294,56
59.171,56
60.049,56
61.267,56
62.145,57
63.046,58
64.241,60
65.119,57
66.045,57
67.253,57
68.096,57
69.019,57
70.189,67
71.115,63
71.992,62
73.604,62
74.040,62
74.968,62
76.138,62
77.066,56
77.940,53
79.110,55
80.036,56
80.914,55
82.085,59
83.010,57
84.131,56
85.112,56
85.992,56
86.916,56
88.080,56
88.958,56
90.131,56
91.054,54
91.931,53
92.809,53
94.028,53
94.905,53
95.831,53
97.001,53
97.879,53
98.805,53
99.975,53
100.901,54
101.779,53
102.949,53
103.877,53
104.753,53
105.928,53
106.875,53
107.728,53
108.966,53
109.858,53
110.726,51
111.922,51
112.796,51
113.674,51
115.091,51
115.770,51
116.648,60
117.867,65
118.744,60
119.670,59
120.840,60
121.718,60
122.645,59
123.814,59
124.691,60
125.618,61
126.788,56
127.688,57
128.597,57
129.762,57
130.688,56
131.569,56
132.735,53
133.663,55
134.539,56
135.855,55
136.635,54
137.513,54
138.683,55
139.610,56
140.487,55
141.706,55
142.583,55
143.460,63
144.679,60
145.558,59
146.434,59
147.653,55
148.534,59
149.408,63
150.636,65
151.504,67
152.430,67
153.600,68
154.478,67
155.404,67
156.574,67
157.452,67
158.381,67
159.548,67
160.425,67
161.352,61
162.522,63
163.399,63
164.325,63
165.495,62
166.422,62
167.303,62
168.491,62
169.395,57
170.273,55
171.443,57
172.369,57
173.247,56
174.417,56
175.343,56
176.223,56
177.466,56
178.317,56
179.197,56
180.414,56
181.291,56
182.168,59
183.387,57
184.264,58
185.143,58
186.360,57
187.238,55
188.116,56
189.334,56
190.217,56
191.089,55
192.332,55
193.186,55
194.408,55
195.291,55
196.159,55
197.086,53
198.259,53
199.133,53
200.059,53
201.229,53
202.113,53
203.075,53
204.203,50
205.081,51
206.007,52
207.182,51
208.103,56
208.981,54
210.151,53
211.077,53
211.955,53
213.147,53
214.063,53
214.934,53
216.099,53
217.268,53
217.902,54
219.367,55
219.998,55
220.876,53
222.095,53
222.972,53
223.856,53
225.068,53
225.946,53
226.826,55
228.042,57
228.920,57
229.797,56
231.018,55
231.896,54
232.771,52
233.993,53
234.867,52
235.745,52
236.966,52
237.845,52
238.767,52
239.941,52
240.818,52
241.743,52
242.911,52
243.788,52
244.715,57
245.885,55
246.762,58
247.688,59
249.105,59
249.785,60
250.734,63
251.837,61
252.772,60
253.636,60
254.809,60
255.732,60
256.610,66
257.828,63
258.712,62
259.583,62
260.810,62
261.680,62
262.557,62
263.776,62
264.679,62
265.531,54
266.750,50
267.627,53
268.522,53
269.723,52
270.601,52
271.479,51
272.697,51
273.819,51
274.501,51
275.679,51
276.549,51
277.475,51
278.649,51
279.522,51
280.449,53
281.619,53
282.497,54
283.422,53
284.592,53
285.519,53
286.740,53
287.566,53
288.559,53
289.370,53
290.787,58
291.466,56
292.374,55
293.517,55
294.440,60
295.318,58
296.536,57
297.414,57
298.291,66
299.510,58
300.389,58
301.280,58
302.484,63
303.361,61
304.239,60
305.458,64
306.335,63
307.557,68
308.432,65
309.372,65
310.235,65
311.405,63
312.283,63
313.209,63
314.379,63
315.256,63
316.199,57
317.815,55
318.305,57
319.156,61
320.326,59
321.301,58
322.133,58
323.300,58
324.226,58
325.107,58
326.306,58
327.200,58
328.078,58
329.249,58
330.174,59
331.052,56
332.514,56
333.148,53
334.029,52
335.295,53
336.125,53
337.001,52
338.267,52
339.100,52
339.973,52
341.191,61
342.069,65
342.947,61
344.165,60
345.043,57
345.920,58
347.142,58
348.016,58
348.943,60
350.113,61
350.990,60
351.916,55
353.086,57
353.964,57
354.890,57
356.060,56
356.948,56
357.864,56
359.034,51
359.911,48
360.838,50
362.009,50
362.936,49
363.812,49
364.983,49
365.908,52
366.785,54
367.955,52
368.882,51
369.759,57
370.929,59
371.856,56
372.733,55
373.952,55
374.833,55
375.707,55
376.925,58
377.803,56
378.681,54
379.899,52
380.777,53
381.657,53
382.873,53
383.750,52
384.628,51
385.847,52
386.724,53
387.699,54
389.165,53
389.698,53
390.624,53
391.794,53
392.672,53
393.598,53
394.785,61
395.646,58
396.572,57
397.745,57
398.654,62
399.546,60
400.743,59
401.642,55
402.520,54
403.689,55
404.617,54
405.522,53
406.663,52
407.589,52
408.467,52
409.637,52
410.585,52
411.509,52
412.659,52
413.537,52
414.414,52
415.633,52
416.513,61
417.683,64
418.607,64
419.501,62
420.362,62
421.581,62
422.459,62
423.384,62
424.554,62
425.459,62
426.358,62
427.626,62
428.406,58
429.332,60
430.502,61
431.380,62
432.306,62
433.476,61
434.418,61
435.279,61
