df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,acc_mag
4.362,0.974
4.392,0.979
4.422,0.980
4.452,0.980
4.482,0.983
4.512,0.979
4.542,0.979
4.572,0.975
4.602,0.977
4.632,0.980
4.662,0.979
4.692,0.979
4.722,0.982
4.752,0.978
4.782,0.975
4.812,0.992
4.842,0.975
4.872,0.978
4.902,0.989
4.932,0.990
4.962,0.974
4.992,0.976
5.022,0.982
5.052,0.975
5.082,0.973
5.112,0.979
5.142,0.985
5.172,0.979
5.202,0.978
5.232,0.974
5.262,0.976
5.292,0.975
5.322,0.978
5.352,0.979
5.382,0.981
5.412,0.980
5.442,0.978
5.472,0.977
5.502,0.979
5.532,0.979
5.562,0.977
5.592,0.978
5.622,0.978
5.652,0.981
5.682,0.982
5.712,0.976
5.742,0.975
5.772,0.976
5.802,0.979
5.832,0.982
5.862,0.979
5.892,0.980
5.922,0.979
5.952,0.978
5.982,0.981
6.012,0.981
6.042,0.977
6.072,0.973
6.102,0.975
6.132,0.974
6.162,0.979
6.192,0.973
6.222,0.973
6.252,0.976
6.282,0.977
6.312,0.986
6.342,0.979
6.372,0.980
6.402,0.982
6.432,0.977
6.462,0.978
6.492,0.972
6.522,0.977
6.552,0.985
6.582,0.977
6.612,0.978
6.642,0.975
6.672,0.982
6.702,0.979
6.732,0.976
6.762,0.978
6.792,0.974
6.822,0.972
6.852,0.976
6.882,0.987
6.912,0.981
6.942,0.979
6.972,0.975
7.002,0.977
7.032,0.978
7.062,0.983
7.092,0.979
7.122,0.980
7.152,0.977
7.182,0.977
7.212,0.979
7.242,0.981
7.272,0.980
7.302,0.977
7.332,0.976
7.362,0.979
7.392,0.976
7.422,0.990
7.452,0.986
7.482,0.978
7.512,0.975
7.542,0.976
7.572,0.979
7.602,0.978
7.632,0.972
7.662,0.976
7.692,0.978
7.722,0.977
7.752,0.985
7.782,0.980
7.812,0.977
7.842,0.978
7.872,0.975
7.902,0.986
7.932,0.976
7.962,0.976
7.992,0.974
8.022,0.977
8.052,0.979
8.082,0.979
8.112,0.979
8.142,0.974
8.172,0.976
8.202,0.980
8.232,0.980
8.262,0.971
8.292,0.980
8.322,0.979
8.352,0.972
8.382,0.993
8.412,0.977
8.442,0.972
8.472,0.978
8.502,0.980
8.532,0.982
8.562,0.982
8.592,0.975
8.622,0.975
8.652,0.970
8.682,0.984
8.712,0.989
8.742,0.978
8.772,0.976
8.802,0.974
8.832,0.979
8.862,0.980
8.892,0.978
8.922,0.971
8.952,0.979
8.982,0.977
9.012,0.980
9.042,0.978
9.072,0.984
9.102,0.981
9.132,0.978
9.162,0.984
9.192,0.976
9.222,0.975
9.252,0.987
9.282,0.985
9.312,0.980
9.342,0.976
9.372,0.982
9.402,0.982
9.432,0.979
9.462,0.979
9.492,0.979
9.522,0.971
9.552,0.974
9.582,0.987
9.612,0.986
9.642,0.979
9.672,0.976
9.702,0.982
9.732,0.979
9.762,0.980
9.792,0.982
9.822,0.977
9.852,0.980
9.882,0.981
9.912,0.986
9.942,0.982
9.972,0.981
10.002,0.977
10.032,0.975
10.062,0.978
10.092,0.981
10.122,0.980
10.152,0.979
10.182,0.984
10.212,0.979
10.242,0.977
10.272,0.981
10.302,0.983
10.332,0.983
10.362,0.977
10.392,0.975
10.422,0.981
10.452,0.970
10.482,0.985
10.512,0.979
10.542,0.981
10.572,0.977
10.602,0.969
10.632,0.978
10.662,0.988
10.692,0.984
10.722,0.973
10.752,0.979
10.782,0.986
10.812,0.981
10.842,0.980
10.872,0.979
10.902,0.979
10.932,0.975
10.962,0.979
10.992,0.975
11.022,0.973
11.052,0.991
11.082,0.981
11.112,0.977
11.142,0.974
11.172,0.981
11.202,0.980
11.232,0.975
11.262,0.978
11.292,0.975
11.322,0.974
11.352,0.975
11.382,0.984
11.412,0.983
11.442,0.980
11.472,0.977
11.502,0.979
11.532,0.980
11.562,0.980
11.592,0.979
11.622,0.975
11.652,0.974
11.682,0.988
11.712,0.981
11.742,0.979
11.772,0.982
11.802,0.973
11.832,0.976
11.862,0.976
11.892,0.978
11.922,0.985
11.952,0.983
11.982,0.976
12.012,0.974
12.042,0.978
12.072,0.980
12.102,0.977
12.132,0.971
12.162,0.971
12.192,0.968
12.222,0.979
12.252,0.987
12.282,0.979
12.312,0.975
12.342,0.976
12.372,0.972
12.402,0.976
12.432,0.980
12.462,0.975
12.492,0.974
12.522,0.980
12.552,0.982
12.582,0.976
12.612,0.976
12.642,0.973
12.672,0.978
12.702,0.981
12.732,0.979
12.762,0.978
12.792,0.973
12.822,0.974
12.852,0.984
12.882,0.986
12.912,0.982
12.942,0.979
12.972,0.974
13.002,0.983
13.032,0.980
13.062,0.977
13.092,0.975
13.122,0.974
13.152,0.972
13.182,0.984
13.212,0.980
13.242,0.977
13.272,0.975
13.302,0.979
13.332,0.979
13.362,0.980
13.392,0.979
13.422,0.978
13.452,0.980
13.482,0.979
13.512,0.978
13.542,0.979
13.572,0.981
13.602,0.975
13.632,0.981
13.662,0.980
13.692,0.976
13.722,0.988
