df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,ppg_quality
57.382,46
59.402,43
61.422,32
63.442,29
65.462,50
67.482,66
68.492,71
69.502,55
71.522,54
72.532,64
74.552,64
76.572,56
78.592,60
80.612,66
82.632,69
84.652,66
85.662,70
87.682,67
90.712,37
92.732,19
104.852,4
106.872,17
107.882,11
109.902,15
111.922,30
113.942,20
115.962,7
117.982,7
118.992,26
121.012,18
125.052,17
127.072,39
128.082,38
131.112,31
132.122,35
134.142,31
136.162,18
142.222,9
147.272,7
149.292,7
154.342,5
166.462,27
168.482,30
170.502,18
171.512,14
173.532,1
175.552,6
176.562,2
177.572,4
178.582,10
179.592,20
180.602,33
182.622,58
184.642,65
186.662,54
188.682,42
190.702,35
192.722,16
193.732,12
195.752,34
197.772,32
198.782,31
199.792,34
201.812,31
202.822,30
203.832,26
204.842,14
210.902,1
212.922,8
216.962,12
218.982,23
221.002,16
232.112,30
234.132,37
236.152,47
238.172,43
240.192,31
242.212,15
245.242,22
247.262,37
251.302,62
253.322,61
255.342,44
257.362,23
258.372,13
259.382,16
260.392,12
261.402,13
262.412,5
264.432,8
266.452,23
268.472,28
270.492,31
272.512,40
274.532,47
275.542,51
276.552,54
279.582,63
280.592,53
281.602,53
283.622,33
284.632,33
285.642,25
286.652,17
298.772,14
300.792,19
302.812,17
303.822,23
304.832,22
306.852,17
308.872,11
309.882,11
310.892,16
313.922,35
314.932,37
315.942,33
317.962,27
319.982,15
323.012,39
324.022,41
325.032,41
326.042,41
328.062,33
331.092,15
333.112,2
335.132,4
337.152,35
339.172,58
341.192,75
343.212,73
346.242,65
348.262,47
349.272,40
350.282,35
351.292,31
352.302,30
354.322,24
356.342,11
358.362,26
359.372,27
361.392,19
363.412,13
365.432,15
367.452,1
369.472,9
370.482,5
378.562,11
380.582,2
382.602,24
383.612,44
384.622,56
386.642,61
387.652,58
389.672,40
390.682,45
392.702,26
405.832,22
407.852,39
409.872,53
411.892,38
412.902,45
413.912,35
414.922,18
416.942,5
417.952,6
418.962,8
420.982,11
424.012,1
425.022,14
426.032,23
428.052,23
430.072,27
432.092,48
434.112,54
435.122,48
437.142,19
438.152,3
448.252,22
450.272,30
452.292,45
454.312,56
456.332,49
458.352,38
461.382,27
463.402,16
465.422,41
466.432,18
467.442,30
468.452,36
470.472,45
472.492,47
474.512,24
475.522,5
476.532,22
477.542,12
478.552,10
479.562,16
480.572,26
481.582,43
482.592,54
483.602,51
484.612,57
485.622,55
487.642,53
489.662,61
491.682,45
493.702,45
