df_hash,22ZHK4.E6KA8L
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3R25
person_label,v133
date_time_start,2026-04-07_18-35-30.996000_+03
date_time_start_unix,1775568930.996
date_time_end,2026-04-07_18-43-48.313000_+03
length_difference_noticed,no

time,quality
21.640,60
22.563,53
23.473,55
24.318,18
25.537,26
26.414,6
27.341,0
28.525,5
29.531,7
30.315,0
31.485,0
32.459,31
33.290,31
34.460,43
35.530,8
36.554,10
37.434,3
38.309,13
39.528,7
40.408,0
41.333,0
42.309,3
43.379,14
44.307,22
45.183,26
46.353,30
47.279,29
48.157,34
49.327,29
50.291,16
51.131,44
52.454,26
53.228,53
54.104,19
55.323,14
56.201,8
57.078,0
58.297,3
59.175,0
60.052,0
61.271,0
62.148,49
63.318,40
64.290,39
65.122,29
66.051,26
67.312,19
68.193,30
69.022,37
70.192,33
71.120,26
71.996,27
73.607,30
74.043,0
75.115,0
76.380,0
77.212,33
77.943,36
79.113,27
80.039,32
80.917,28
82.330,30
83.013,0
84.137,0
85.545,0
86.234,13
86.929,15
88.084,12
88.969,15
90.141,26
91.057,38
91.942,46
92.812,34
94.031,41
94.909,25
95.835,21
97.005,26
97.882,0
98.854,0
99.978,29
100.905,37
101.782,25
102.952,25
103.894,0
104.758,0
106.118,1
106.954,5
107.824,10
108.969,3
110.020,4
110.729,31
112.263,12
112.800,0
113.681,2
115.101,8
115.774,0
116.651,41
117.870,29
118.747,28
119.674,28
120.843,7
121.728,0
122.656,9
123.817,15
124.698,46
125.621,29
126.792,32
127.691,0
128.789,0
129.768,0
130.691,0
131.714,4
132.741,29
133.857,49
134.542,55
135.861,23
136.640,21
137.518,32
138.689,34
139.756,39
140.490,37
141.709,31
142.587,37
143.464,39
144.684,30
145.606,30
146.438,0
147.657,34
148.628,32
149.413,45
150.822,52
151.507,55
152.480,47
153.605,56
154.481,33
155.409,23
156.587,0
157.458,0
158.527,32
159.553,29
160.431,27
161.357,37
162.527,0
163.412,0
164.331,0
165.506,0
166.425,0
167.309,0
168.667,0
169.399,25
170.277,27
171.450,0
172.373,0
173.252,2
174.423,6
175.346,6
176.319,4
177.470,5
178.320,0
179.246,0
180.428,5
181.296,0
182.172,21
183.393,20
184.269,32
185.146,31
186.364,31
187.244,34
188.121,20
189.338,0
190.458,31
191.096,0
192.337,26
193.193,25
194.411,19
195.331,19
196.162,19
197.096,31
198.402,0
199.138,23
200.063,2
201.235,19
202.156,15
203.138,20
204.209,25
205.086,19
206.010,49
207.275,0
208.107,30
208.984,27
210.154,0
211.080,0
211.958,6
213.150,0
214.102,0
215.223,0
216.102,0
217.272,22
217.905,28
219.371,34
220.002,27
220.879,30
222.100,23
222.978,21
223.950,15
225.073,26
225.949,30
226.922,35
228.045,37
228.923,48
229.801,34
231.067,39
232.140,75
232.775,39
234.236,29
234.916,54
235.748,34
237.015,3
237.990,45
238.771,15
240.233,23
240.964,21
241.839,6
242.914,27
243.792,25
244.720,28
245.944,0
246.766,29
247.692,36
249.108,41
249.788,37
250.737,44
252.079,31
252.808,0
253.642,0
254.955,0
255.781,0
256.615,35
257.837,0
258.804,0
259.587,23
260.823,0
261.685,0
262.563,2
263.779,10
264.685,7
265.537,23
266.756,26
267.633,15
268.556,0
269.727,3
270.605,0
271.489,32
272.701,0
273.822,1
274.505,51
275.818,0
276.552,0
277.480,0
278.694,0
279.571,31
280.452,33
281.622,39
282.500,37
283.432,31
284.597,33
285.522,23
286.743,23
287.570,28
288.788,21
289.375,25
290.790,38
291.470,28
292.381,0
293.712,0
294.443,31
295.323,25
296.541,0
297.419,0
298.294,39
299.518,39
300.683,1
301.366,0
302.487,37
303.364,30
304.245,0
305.463,30
306.338,27
307.559,34
308.435,25
309.390,24
310.239,15
311.416,29
312.286,6
313.212,4
314.383,0
315.260,0
316.234,31
317.818,38
318.477,24
319.160,29
320.330,31
321.305,0
322.230,0
323.303,23
324.230,25
325.250,27
326.424,0
327.203,25
328.081,17
329.254,0
330.179,32
331.073,38
332.519,49
333.156,52
334.320,59
335.305,18
336.271,0
337.099,0
338.270,24
339.112,24
339.976,29
341.197,51
342.074,50
342.952,25
344.170,20
345.047,29
345.924,22
347.237,0
348.020,0
348.946,43
350.116,32
350.994,24
351.920,40
353.092,8
353.969,10
354.897,14
356.064,10
357.087,16
357.867,12
359.038,32
359.915,37
360.842,0
362.015,11
363.083,6
363.860,0
365.033,0
365.911,28
366.789,31
367.959,20
368.885,28
369.764,43
370.932,35
371.859,23
372.736,23
373.957,0
375.025,0
375.710,0
376.929,33
377.806,0
378.685,48
379.903,33
380.780,0
381.703,3
382.876,2
383.754,0
384.633,41
385.850,45
386.728,42
387.702,44
389.168,32
389.701,33
390.627,23
391.843,19
392.721,16
393.604,21
394.817,34
395.649,29
396.575,0
397.791,25
398.769,35
399.549,0
400.814,0
401.647,36
402.526,46
403.693,18
404.764,59
405.534,49
406.669,44
407.595,0
408.470,17
409.640,27
410.807,0
411.513,23
412.663,24
413.542,24
414.420,24
415.637,25
416.706,29
417.689,35
418.613,45
419.508,20
420.367,0
421.586,0
422.465,3
423.393,14
424.560,16
425.482,27
426.365,13
427.632,0
428.409,25
429.335,27
430.508,40
431.385,34
432.309,33
433.479,38
434.648,24
435.285,0
436.599,7
