df_hash,22ZHK4.A59L8C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FQLE
person_label,V55
date_time_start,2025-10-31_14-37-37.768000_+03
date_time_start_unix,1761907057.768
date_time_end,2025-10-31_14-46-18.487000_+03
length_difference_noticed,no

time,acc_mag
4.801,1.006
4.831,1.010
4.861,1.003
4.891,1.014
4.921,1.002
4.951,1.003
4.981,1.009
5.011,1.003
5.041,1.003
5.071,1.012
5.101,1.006
5.131,1.000
5.161,1.012
5.191,1.008
5.221,0.999
5.251,1.009
5.281,1.010
5.311,1.002
5.341,1.008
5.371,1.009
5.401,1.008
5.431,1.007
5.461,1.004
5.491,1.007
5.521,1.008
5.551,1.006
5.581,1.005
5.611,1.010
5.641,1.010
5.671,1.004
5.701,1.000
5.731,1.010
5.761,1.003
5.791,1.007
5.821,1.008
5.851,1.001
5.881,1.008
5.911,1.011
5.941,1.009
5.971,1.006
6.001,1.007
6.031,1.013
6.061,1.007
6.091,1.008
6.121,1.007
6.151,1.006
6.181,1.006
6.211,1.012
6.241,1.006
6.271,1.001
6.301,1.010
6.331,1.008
6.361,1.006
6.391,1.008
6.421,1.010
6.451,1.007
6.481,1.004
6.511,1.010
6.541,1.012
6.571,1.000
6.601,1.006
6.631,1.010
6.661,1.001
6.691,1.010
6.721,1.009
6.751,1.007
6.781,1.013
6.811,1.009
6.841,1.001
6.871,1.012
6.901,1.010
6.931,1.003
6.961,1.010
6.991,1.010
7.021,1.003
7.051,1.011
7.081,1.014
7.111,1.003
7.141,1.007
7.171,1.008
7.201,1.008
7.231,1.005
7.261,1.010
7.291,1.007
7.321,1.002
7.351,1.007
7.381,1.006
7.411,1.007
7.441,1.010
7.471,1.005
7.501,1.003
7.531,1.012
7.561,1.003
7.591,1.007
7.621,1.011
7.651,1.008
7.681,1.002
7.711,1.007
7.741,1.007
7.771,1.007
7.801,1.005
7.831,1.004
7.861,1.004
7.891,1.008
7.921,1.007
7.951,1.008
7.981,1.008
8.011,1.009
8.041,1.005
8.071,1.007
8.101,1.011
8.131,1.004
8.161,1.008
8.191,1.011
8.221,1.002
8.251,1.010
8.281,1.010
8.311,1.003
8.341,1.006
8.371,1.010
8.401,1.014
8.431,1.007
8.461,1.003
8.491,1.009
8.521,1.013
8.551,1.003
8.581,1.008
8.611,1.007
8.641,1.004
8.671,1.006
8.701,1.005
8.731,1.006
8.761,1.005
8.791,1.009
8.821,1.014
8.851,1.004
8.881,1.007
8.911,1.004
8.941,1.003
8.971,1.013
9.001,1.004
9.031,1.013
9.061,1.009
9.091,0.999
9.121,1.011
9.151,1.009
9.181,1.007
9.211,1.009
9.241,1.008
9.271,1.002
9.301,1.009
9.331,1.006
9.361,1.002
9.391,1.004
9.421,1.011
9.451,1.010
9.481,1.007
9.511,1.005
9.541,1.009
9.571,1.010
9.601,1.007
9.631,1.009
9.661,1.002
9.691,1.007
9.721,1.012
9.751,1.004
9.781,1.009
9.811,1.009
9.841,1.005
9.871,1.009
9.901,1.010
9.931,1.004
9.961,1.008
9.991,1.007
10.021,1.008
10.051,1.008
10.081,1.005
10.111,1.008
10.141,1.009
10.171,1.010
10.201,1.008
10.231,1.006
10.261,1.010
10.291,1.010
10.321,1.012
10.351,1.003
10.381,1.008
10.411,1.004
10.441,1.007
10.471,1.013
10.501,1.005
10.531,1.007
10.561,1.006
10.591,1.010
10.621,1.009
10.651,1.004
10.681,1.004
10.711,1.007
10.741,1.008
10.771,1.005
10.801,1.005
10.831,1.012
10.861,1.007
10.891,1.008
10.921,1.010
10.951,1.006
10.981,1.011
11.011,1.013
11.041,1.004
11.071,1.010
11.101,1.012
11.131,0.996
11.161,1.003
11.191,1.010
11.221,1.009
11.251,1.014
11.281,0.999
11.311,1.011
11.341,1.012
11.371,0.997
11.401,1.011
11.431,1.013
11.461,0.997
11.491,1.002
11.521,1.010
11.551,1.003
11.581,1.001
11.611,1.008
11.641,1.011
11.671,1.004
11.701,1.010
11.731,1.012
11.761,1.004
11.791,1.011
11.821,1.010
11.851,1.005
11.881,1.009
11.911,0.999
11.941,1.010
11.971,1.010
12.001,1.003
12.031,1.009
12.061,1.003
12.091,1.007
12.121,1.012
12.151,1.011
12.181,1.008
12.211,1.011
12.241,1.001
12.271,1.009
12.301,1.010
12.331,1.005
12.361,1.006
12.391,1.010
12.421,1.011
12.451,1.008
12.481,0.993
12.511,1.013
12.541,1.021
12.571,1.004
12.601,1.006
12.631,1.008
12.661,0.999
12.691,1.011
12.721,1.012
12.751,1.005
12.781,1.012
12.811,1.001
12.841,1.008
12.871,1.014
12.901,1.002
12.931,1.006
12.961,1.015
12.991,1.003
13.021,1.004
13.051,1.010
13.081,1.005
13.111,1.006
13.141,1.009
13.171,1.009
13.201,1.008
13.231,1.006
13.261,1.011
13.291,1.012
13.321,0.997
13.351,1.009
13.381,1.016
13.411,1.002
13.441,1.011
13.471,1.022
13.501,0.994
13.531,1.007
13.561,1.017
13.591,1.004
13.621,1.007
13.651,1.014
13.681,1.008
13.711,1.003
13.741,1.014
13.771,1.010
13.801,1.007
13.831,1.009
13.861,1.008
13.891,1.005
13.921,1.007
13.951,1.014
13.981,1.007
14.011,1.003
14.041,1.015
14.071,1.010
14.101,1.007
14.131,1.012
14.161,1.000
