df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,quality
15.062,66
15.939,73
17.159,73
18.035,74
18.913,71
20.375,56
21.009,33
21.936,34
23.200,56
24.078,51
24.956,31
26.080,28
26.958,27
27.885,31
29.053,29
30.131,32
30.857,40
32.122,45
32.953,43
33.831,46
35.049,65
35.976,59
36.805,45
38.024,56
39.093,61
39.830,60
40.999,71
41.875,79
43.093,80
43.973,74
44.850,57
45.775,64
46.992,72
47.871,69
48.768,67
49.920,75
50.942,77
51.773,78
52.893,77
53.867,80
54.702,82
55.866,76
56.792,76
57.913,77
58.888,74
59.766,74
60.643,78
61.868,71
63.032,67
63.666,70
64.885,75
65.713,74
66.642,71
67.831,71
68.782,79
69.648,81
71.128,80
71.710,68
72.589,49
73.806,53
74.684,71
75.561,78
76.975,78
77.658,80
78.559,79
79.754,79
80.631,77
81.512,76
82.728,74
83.611,79
84.532,79
85.702,76
86.643,73
87.509,74
88.689,67
89.602,68
90.479,74
91.649,80
92.867,82
93.452,82
94.696,80
95.595,77
96.476,75
97.645,73
98.524,73
99.423,65
100.620,69
101.496,76
102.423,78
103.593,77
104.471,72
105.396,62
106.567,64
107.789,78
108.372,82
109.542,74
110.483,57
111.344,63
112.514,66
113.523,54
114.318,60
115.536,79
116.450,79
117.435,79
118.510,54
119.388,41
120.314,54
121.487,63
122.362,61
123.288,51
124.460,51
125.335,30
126.262,38
127.770,41
128.358,46
129.235,49
130.698,61
131.332,68
132.234,74
133.671,68
134.612,62
135.185,54
136.549,48
137.325,58
138.156,62
139.521,64
140.301,60
141.228,59
142.495,59
143.248,60
144.153,63
145.323,76
146.295,78
147.224,85
148.345,82
149.273,78
150.198,74
151.321,71
152.197,70
153.150,70
154.296,70
155.172,67
156.097,62
157.559,68
158.144,74
159.071,75
160.289,74
161.167,76
162.090,74
163.214,75
164.433,76
165.018,77
166.237,80
167.212,80
167.992,81
169.211,80
170.137,75
170.965,74
172.189,72
173.062,71
174.034,72
175.158,77
176.036,80
176.962,77
178.191,78
179.012,83
179.938,78
181.347,60
182.083,64
182.924,72
184.178,72
185.006,62
185.884,65
187.102,57
187.980,58
188.859,68
190.078,65
190.978,63
191.880,58
193.049,68
193.954,78
194.853,66
196.024,61
196.950,55
197.827,46
199.071,54
199.924,52
200.809,39
202.021,21
203.043,36
203.781,62
204.994,66
205.871,65
206.749,59
208.061,53
208.845,54
209.792,51
210.941,30
211.821,35
212.747,46
213.915,67
214.889,74
215.765,74
216.888,70
217.838,71
218.738,74
219.911,76
220.788,73
221.712,70
222.933,68
223.766,68
224.642,75
225.953,79
226.736,77
227.711,51
228.869,31
229.954,47
230.638,64
231.855,70
232.684,71
233.610,77
235.072,69
235.755,62
236.633,65
237.758,62
238.681,54
239.558,53
240.786,57
241.798,54
242.544,58
243.750,60
244.632,64
245.556,65
246.724,64
247.897,75
248.529,66
249.698,67
250.575,67
251.501,62
252.671,57
253.598,42
254.475,37
255.667,45
256.572,55
257.471,60
258.667,63
259.740,66
260.453,66
261.641,70
262.519,68
263.397,71
264.617,69
265.495,72
266.421,71
267.592,60
268.467,48
269.538,43
270.564,52
271.489,65
272.610,72
273.732,75
274.469,67
275.340,60
276.559,71
277.458,78
278.457,66
279.534,54
280.410,61
281.385,65
282.948,59
283.386,54
284.312,55
285.485,79
286.552,84
287.584,74
288.456,73
289.526,75
290.260,74
291.427,84
292.354,66
293.276,58
294.451,67
295.572,72
296.205,72
297.570,72
298.302,64
299.471,69
300.398,55
301.567,47
302.202,60
303.372,73
304.295,75
305.176,77
306.391,75
307.272,60
308.149,61
309.319,64
310.489,67
311.124,45
312.342,28
313.219,45
314.125,62
315.319,28
316.195,28
317.119,52
318.533,57
319.174,49
320.385,39
321.264,37
322.486,30
323.070,28
324.292,39
325.455,63
326.086,46
327.746,49
328.139,66
329.014,81
330.238,68
331.205,57
332.037,61
333.207,64
334.144,54
335.010,57
336.180,70
337.128,72
337.986,65
339.176,55
340.080,63
341.104,66
342.368,62
343.114,56
343.932,45
345.391,72
346.028,68
346.957,44
348.127,41
349.005,59
350.071,56
351.106,43
352.078,42
352.902,57
354.169,50
355.050,45
355.877,61
357.046,47
358.066,44
358.849,53
360.122,55
360.946,60
361.824,51
363.042,52
363.920,47
364.797,46
366.110,38
366.895,36
367.819,39
368.990,39
369.867,40
370.793,37
372.107,33
372.938,52
373.767,76
375.032,53
375.868,29
376.984,30
377.911,55
378.839,47
379.909,53
380.933,63
381.954,66
382.688,60
383.907,49
384.785,60
385.808,70
386.955,71
387.761,60
388.687,46
389.856,33
390.735,63
391.660,80
392.829,74
393.754,70
394.729,72
396.053,74
396.874,79
397.679,81
398.970,76
399.799,69
400.579,59
401.798,71
402.675,81
403.602,79
404.772,58
405.673,43
406.576,48
407.892,59
408.624,60
409.550,69
410.720,74
411.597,66
412.621,55
413.699,60
414.622,65
415.499,46
416.766,40
417.603,58
418.472,57
419.641,53
420.573,69
421.493,78
422.904,77
423.543,74
424.714,71
425.638,66
426.515,61
427.393,67
428.611,53
429.490,45
