df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,battery
12.037,4
22.031,4
32.024,4
42.019,4
52.109,4
62.006,4
72.097,4
81.995,4
92.085,4
101.981,4
112.024,4
122.035,5
132.011,5
142.005,5
152.145,4
162.041,4
171.987,4
182.032,4
191.974,5
202.066,5
212.034,5
222.005,5
231.999,5
241.992,5
252.034,5
261.980,5
271.974,5
281.968,5
291.961,5
302.035,5
311.997,5
322.089,5
331.985,5
341.979,5
352.070,5
362.066,5
372.112,5
381.959,5
392.050,5
401.990,5
412.029,5
421.978,5
431.972,5
441.968,5
451.959,4
461.953,4
471.947,4
481.940,4
491.934,4
502.075,4
512.069,5
