df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,heart_rate
15.059,68
15.936,67
17.155,68
18.033,69
18.910,71
20.132,74
21.006,70
21.933,71
23.103,87
24.029,85
24.906,78
26.076,81
26.955,80
27.880,80
29.050,79
30.126,79
30.854,79
32.028,79
32.950,79
33.828,79
35.047,73
35.973,71
36.802,73
38.020,70
38.901,69
39.824,68
40.994,65
41.872,63
42.818,62
43.968,63
44.845,65
45.772,67
46.988,68
47.868,68
48.765,66
49.915,64
50.844,63
51.768,62
52.890,62
53.864,62
54.693,63
55.863,65
56.789,66
57.670,67
58.885,67
59.763,67
60.640,67
61.859,66
62.756,65
63.663,64
64.836,63
65.711,63
66.637,63
67.828,62
68.735,61
69.631,59
71.122,59
71.707,60
72.584,59
73.803,63
74.681,66
75.558,67
76.778,67
77.654,67
78.555,67
79.751,67
80.628,67
81.506,67
82.724,67
83.603,67
84.529,66
85.698,65
86.631,64
87.502,63
88.672,63
89.598,64
90.476,65
91.646,66
92.578,67
93.449,67
94.694,67
95.548,67
96.473,67
97.642,67
98.519,67
99.418,67
100.616,67
101.493,68
102.419,69
103.590,70
104.467,69
105.393,68
106.563,66
107.785,64
108.367,63
109.537,63
110.463,65
111.341,67
112.511,68
113.519,68
114.315,66
115.533,64
116.444,62
117.291,62
118.507,63
119.385,62
120.311,67
121.484,72
122.358,76
123.285,80
124.455,82
125.332,79
126.258,80
127.431,75
128.355,74
129.232,72
130.408,71
131.328,71
132.232,71
133.435,70
134.595,69
135.180,69
136.451,70
137.276,72
138.154,73
139.404,72
140.253,70
141.225,67
142.349,66
143.244,65
144.150,65
145.320,66
146.246,66
147.127,65
148.297,65
149.269,66
150.102,67
151.316,67
152.194,67
153.145,67
154.290,67
155.167,67
156.094,67
157.269,66
158.141,65
159.068,64
160.286,63
161.164,63
162.044,63
163.211,63
164.141,63
165.015,63
166.234,63
167.115,62
167.989,62
169.208,62
170.128,62
170.963,62
172.182,63
173.059,63
173.985,63
175.155,63
176.033,65
176.959,66
178.178,66
179.006,67
179.933,67
181.108,68
182.078,69
182.906,71
184.174,72
185.003,73
185.880,73
187.099,74
187.976,75
188.854,76
190.073,78
190.974,79
191.876,79
193.046,81
193.952,81
194.850,82
196.020,81
196.946,80
197.824,80
199.067,76
199.920,75
200.798,76
202.017,76
202.897,75
203.772,80
204.990,82
205.868,83
206.745,84
208.014,85
208.842,86
209.788,87
210.938,86
211.815,86
212.742,80
213.912,78
214.886,75
215.719,73
216.885,70
217.834,69
218.689,68
219.908,68
220.785,68
221.667,67
222.887,67
223.760,66
224.637,64
225.904,62
226.733,61
227.708,62
228.865,62
229.712,66
230.633,69
231.852,70
232.680,69
233.607,68
234.780,68
235.752,69
236.630,69
237.751,70
238.677,72
239.554,73
240.773,73
241.650,74
242.528,75
243.747,75
244.626,76
245.550,77
246.720,77
247.628,77
248.524,78
249.694,78
250.572,78
251.498,78
252.668,78
253.594,78
254.472,78
255.664,81
256.569,83
257.469,85
258.664,86
259.594,86
260.450,87
261.638,87
262.516,87
263.393,87
264.612,87
265.489,86
266.416,85
267.586,84
268.463,84
269.399,84
270.559,79
271.486,75
272.364,72
273.584,70
274.460,67
275.337,67
276.556,68
277.456,69
278.314,69
279.529,68
280.407,66
281.287,65
282.945,64
283.381,63
284.307,62
285.477,60
286.391,59
287.576,59
288.451,60
289.451,61
290.255,61
291.424,60
292.351,61
293.253,62
294.447,63
295.569,64
296.202,65
297.422,66
298.298,67
299.228,68
300.395,69
301.296,68
302.198,66
303.368,64
304.246,63
305.172,63
306.342,63
307.268,64
308.146,65
309.316,66
310.246,66
311.120,65
312.338,65
313.216,71
314.120,74
315.312,71
316.190,70
317.116,67
318.289,65
319.163,63
320.113,64
321.260,64
322.481,64
323.063,63
324.282,60
325.279,60
326.050,61
327.312,63
328.133,65
329.011,67
330.230,69
331.111,71
332.033,74
333.203,75
334.130,76
335.007,74
336.177,72
337.123,71
337.981,71
339.173,73
340.077,74
341.101,75
342.179,76
343.102,77
343.929,76
345.149,80
346.025,79
346.951,79
348.121,78
348.999,76
349.936,75
351.099,75
352.074,76
352.899,78
354.166,79
355.044,77
355.873,76
357.042,76
357.975,76
358.846,77
360.090,78
360.942,79
361.820,79
363.039,80
363.916,82
364.794,80
366.086,80
366.890,80
367.816,75
368.986,77
369.864,73
370.790,74
371.963,74
372.841,75
373.764,76
374.935,75
375.860,75
376.739,75
377.907,69
378.834,66
379.734,65
380.930,66
381.809,67
382.685,67
383.904,68
384.781,69
385.660,70
386.949,71
387.755,70
388.681,70
389.851,70
390.729,63
391.655,60
392.826,59
393.751,60
394.634,61
396.045,63
396.728,64
397.674,64
398.826,65
399.702,66
400.576,68
401.795,71
402.672,73
403.599,74
404.769,73
405.670,72
406.572,68
407.745,65
408.620,64
409.546,64
410.716,66
411.594,68
412.522,70
413.690,73
414.616,74
415.494,72
416.762,72
417.594,69
418.468,68
419.637,68
420.565,69
421.490,71
422.664,71
423.537,71
424.710,71
425.634,71
426.511,72
427.389,73
428.607,73
