df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,rr_int
9.794,4165
10.769,685
11.110,960
11.744,250
12.573,660
13.550,955
14.377,900
15.205,895
16.181,855
17.009,865
17.838,870
18.569,800
19.252,720
19.398,725
19.544,300
19.547,10
20.519,335
21.201,660
21.884,675
22.713,755
23.542,775
24.419,845
24.663,1065
26.613,1080
27.319,910
28.027,740
28.855,720
29.691,795
30.659,855
31.634,915
32.609,1005
33.682,1070
34.559,1035
35.388,845
36.216,805
37.196,850
38.167,970
39.144,1020
40.266,945
41.092,1000
42.066,990
42.749,960
43.578,810
44.553,820
45.382,880
46.360,935
47.332,935
48.307,965
49.428,1045
50.306,1035
51.232,940
52.207,945
53.182,960
54.011,955
54.840,870
55.668,840
56.692,880
57.667,940
58.447,965
59.324,850
60.397,910
61.372,1020
62.347,1040
63.176,910
64.151,895
65.272,990
66.247,1085
67.223,1020
68.343,995
69.318,1085
70.296,1030
71.170,915
71.951,805
72.780,835
73.755,900
74.635,940
75.461,880
76.436,895
77.411,935
78.243,940
79.069,890
80.044,830
80.872,890
81.869,975
82.871,925
83.797,910
84.772,980
85.750,1030
86.576,1010
87.405,850
88.379,865
89.355,910
90.183,945
91.012,890
91.987,880
92.996,950
93.791,975
94.620,835
95.599,850
96.570,935
97.447,995
98.276,875
99.107,815
100.090,860
100.908,910
101.591,860
102.566,800
103.541,925
104.516,1015
105.491,995
106.466,960
107.441,990
108.270,955
109.102,870
109.928,790
110.903,825
111.926,940
112.853,1025
113.828,960
114.805,985
115.778,1045
116.752,1000
117.439,865
118.313,780
119.145,805
119.824,800
120.506,750
121.481,710
121.924,675
122.602,665
123.431,690
124.406,875
125.382,1030
126.210,995
126.941,790
127.776,760
128.746,830
129.574,940
130.402,830
131.235,805
132.206,905
133.035,1010
133.864,850
134.626,740
135.424,760
136.448,835
137.230,915
138.056,840
139.187,860
140.202,1085
140.981,1030
141.825,825
142.785,865
143.614,935
144.589,935
145.418,920
146.396,920
147.368,950
148.103,890
149.026,805
150.000,900
150.975,965
151.706,955
152.535,825
153.510,815
154.486,935
155.460,1005
156.435,1010
157.264,890
158.385,920
159.360,1020
160.189,1015
161.173,920
161.993,870
163.117,960
164.089,1065
165.064,925
166.039,975
167.014,1055
167.843,950
168.818,875
169.939,980
170.770,1045
171.743,930
172.571,895
173.547,955
174.375,945
175.351,865
176.179,860
177.154,955
177.983,990
178.129,910
179.641,810
180.518,750
181.354,800
182.175,850
183.004,820
183.836,855
184.664,815
185.344,810
186.078,760
186.904,735
187.733,800
188.415,810
189.146,765
189.831,700
190.513,705
191.194,695
191.926,690
192.608,700
193.437,715
194.122,775
194.948,795
195.826,785
196.849,895
197.778,985
198.605,970
199.287,775
200.119,735
201.044,770
201.383,700
202.069,675
202.748,655
203.479,740
204.309,705
204.844,715
205.529,670
206.116,665
206.804,610
207.494,655
208.066,620
208.988,665
209.866,815
210.743,940
211.523,880
212.547,895
213.473,930
214.351,935
215.152,880
216.008,845
216.934,850
217.958,945
218.743,955
219.615,825
220.591,865
221.663,950
222.395,1005
223.516,930
224.491,990
225.465,1055
226.294,1010
226.977,785
227.807,760
228.780,810
229.707,915
230.438,855
231.416,870
232.242,985
233.120,905
233.948,790
234.777,815
235.459,890
235.802,680
236.581,255
237.312,805
237.945,730
238.921,765
239.652,885
239.896,805
240.482,185
240.871,585
241.310,495
242.001,305
242.821,790
243.601,765
244.381,750
245.210,780
245.892,860
246.575,750
247.403,725
248.135,765
248.963,755
249.646,780
250.329,745
250.621,735
251.167,245
251.889,500
252.135,750
252.571,245
252.865,410
252.872,285
253.256,10
253.838,375
254.569,670
255.203,670
255.789,650
256.471,640
257.153,685
257.884,720
258.567,710
259.496,700
259.591,660
259.992,325
260.712,345
261.398,680
262.033,690
262.760,705
263.442,675
264.124,720
264.807,740
265.636,725
266.514,765
267.394,850
268.317,865
269.292,950
270.286,960
271.242,1035
272.071,960
273.046,905
273.875,905
274.566,820
275.386,820
276.361,825
277.336,905
278.462,1070
279.139,1015
280.017,815
281.191,810
282.605,1080
283.186,1075
284.318,1030
285.141,1100
286.117,905
287.089,920
288.207,1025
289.187,1035
290.161,1025
290.987,1005
291.815,875
292.790,825
293.765,965
294.740,1010
295.576,870
296.397,850
297.128,855
298.055,785
299.078,875
300.064,1030
301.077,1050
301.985,945
302.930,880
303.953,1005
304.783,1025
305.611,860
306.587,840
307.561,905
308.585,1005
309.219,960
310.096,815
310.730,770
311.461,740
312.291,720
313.119,770
314.289,850
315.215,1085
316.079,980
316.878,920
317.165,820
317.168,240
317.555,10
318.286,440
318.968,665
319.651,685
320.794,775
321.994,1115
323.015,1100
323.844,1045
324.675,945
325.501,835
326.476,835
327.751,900
328.429,890
328.963,835
329.694,780
330.419,765
331.210,725
332.087,750
332.863,845
334.667,910
335.595,1760
336.226,815
337.105,785
337.738,850
338.567,660
339.443,830
340.279,890
340.955,780
341.686,760
342.375,715
343.075,680
343.734,675
344.562,755
345.396,800
346.269,770
347.102,925
347.926,875
348.219,820
348.755,265
