df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,ppg_quality
58.026,118
61.056,121
63.076,119
65.096,120
67.106,122
69.126,119
72.156,114
74.176,109
76.196,113
78.216,118
79.226,121
80.236,122
83.266,123
85.286,125
87.306,122
89.326,123
91.346,124
92.356,124
94.376,121
96.396,121
98.416,121
100.436,118
102.456,117
105.486,123
107.506,123
109.526,122
111.546,122
113.566,121
114.576,119
115.586,118
116.596,117
118.616,117
120.636,115
122.656,112
123.666,110
124.676,108
125.686,105
126.696,103
127.706,105
129.726,107
131.746,119
133.766,123
135.786,130
137.806,133
138.816,130
140.836,123
141.846,121
142.856,120
144.876,124
146.896,123
147.906,123
148.916,123
149.926,123
151.946,122
153.966,125
155.986,125
158.006,122
159.016,123
160.026,124
161.036,125
163.056,118
165.076,113
167.096,112
168.106,112
170.126,115
171.136,117
172.146,119
174.166,125
176.186,125
178.206,122
180.226,115
181.236,111
182.246,106
183.256,102
184.266,98
185.276,99
186.286,99
187.296,100
188.306,102
189.316,107
191.336,114
193.356,119
196.386,120
198.406,124
199.416,124
200.426,123
202.446,122
204.466,121
207.496,111
209.516,95
211.536,101
213.556,108
215.576,114
218.606,132
220.626,139
222.646,133
224.666,131
226.686,129
228.706,125
230.726,123
231.736,120
233.756,117
235.776,117
237.796,115
239.816,110
240.826,113
242.846,102
243.856,94
244.866,87
246.886,77
248.906,82
249.916,80
251.936,80
253.956,91
254.966,95
255.976,95
257.996,92
259.006,95
260.016,96
261.016,97
263.036,95
265.056,104
267.076,112
269.096,110
271.116,114
273.136,121
274.146,123
276.166,122
278.186,118
280.206,118
282.226,110
284.246,105
287.276,104
289.296,105
290.306,105
291.316,107
293.336,111
295.356,114
296.366,114
298.386,115
300.406,119
302.426,120
303.436,120
304.446,120
306.466,119
307.476,117
309.496,115
311.516,117
313.536,116
315.556,118
316.566,120
317.576,122
318.586,120
320.606,110
322.626,106
324.646,107
326.666,101
327.676,98
328.686,100
329.696,104
331.716,107
333.736,113
335.756,110
337.776,116
338.786,116
339.796,112
342.826,114
343.836,111
344.846,109
345.856,108
346.866,109
348.886,113
350.906,110
351.916,93
353.936,73
354.946,77
356.966,77
357.976,73
358.986,66
361.006,71
362.016,84
363.026,96
365.046,93
367.066,83
369.086,74
371.106,71
372.116,71
373.126,71
375.146,70
376.156,72
378.176,86
379.186,95
380.196,101
382.216,109
384.236,101
387.266,100
389.286,105
391.306,98
393.326,101
394.336,113
395.346,122
397.366,125
398.376,122
400.396,120
402.416,121
404.436,116
406.456,112
407.466,112
409.486,115
411.506,120
413.526,118
415.546,121
417.566,119
420.596,116
421.606,117
422.616,118
424.636,119
426.656,121
428.676,119
429.686,118
431.706,118
433.726,121
435.746,121
437.766,123
438.776,124
439.786,126
442.816,120
444.836,119
446.856,117
448.876,118
449.886,121
450.896,123
451.906,123
453.926,128
454.936,129
455.946,131
457.966,125
459.986,105
462.006,96
463.016,98
464.026,95
465.036,89
467.056,87
468.066,94
469.076,103
471.096,118
473.116,112
475.136,104
476.146,102
478.166,96
480.186,93
482.206,92
484.226,97
486.246,103
487.256,101
489.276,99
491.296,98
493.316,101
495.336,105
496.346,102
497.356,101
498.366,99
499.376,99
500.386,96
502.406,102
504.426,102
506.446,113
508.466,126
510.486,128
511.496,126
512.506,126
513.516,126
515.536,101
517.556,81
519.576,60
522.606,44
