df_hash,22ZHK4.S8EAUS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JA8X
person_label,V47(2)
date_time_start,2025-10-30_17-18-53.474000_+03
date_time_start_unix,1761830333.474
date_time_end,2025-10-30_17-27-40.229000_+03
length_difference_noticed,no

time,acc_mag
4.916,1.022
4.946,1.013
4.976,0.987
5.006,1.006
5.036,1.001
5.066,1.007
5.096,1.026
5.126,1.033
5.156,1.020
5.186,1.031
5.216,1.035
5.246,1.044
5.276,0.988
5.306,0.968
5.336,1.009
5.366,1.029
5.396,1.021
5.426,1.029
5.456,1.046
5.486,1.049
5.516,1.038
5.546,1.034
5.576,1.035
5.606,1.049
5.636,1.050
5.666,1.034
5.696,1.040
5.726,1.049
5.756,1.036
5.786,1.034
5.816,1.038
5.846,1.033
5.876,1.037
5.906,1.040
5.936,1.024
5.966,1.002
5.996,0.990
6.026,1.030
6.056,1.037
6.086,1.027
6.116,1.042
6.146,1.043
6.176,1.043
6.206,1.044
6.236,1.044
6.266,1.039
6.296,1.031
6.326,1.032
6.356,1.034
6.386,1.028
6.416,1.033
6.446,1.034
6.476,1.035
6.506,1.041
6.536,1.041
6.566,1.044
6.596,1.041
6.626,1.033
6.656,1.031
6.686,1.034
6.716,1.036
6.746,1.034
6.776,1.035
6.806,1.032
6.836,1.036
6.866,1.037
6.896,1.031
6.926,1.030
6.956,1.033
6.986,1.029
7.016,1.028
7.046,1.031
7.076,1.031
7.106,1.033
7.136,1.026
7.166,1.028
7.196,1.039
7.226,1.034
7.256,1.033
7.286,1.034
7.316,1.028
7.346,1.031
7.376,1.029
7.406,1.025
7.436,1.023
7.466,1.020
7.496,1.021
7.526,1.040
7.556,1.044
7.586,1.040
7.616,1.036
7.646,1.038
7.676,1.030
7.706,1.033
7.736,1.028
7.766,1.033
7.796,1.032
7.826,1.039
7.856,1.029
7.886,1.031
7.916,1.044
7.946,1.031
7.976,1.029
8.006,1.031
8.036,1.034
8.066,1.026
8.096,1.035
8.126,1.034
8.156,1.036
8.186,1.028
8.216,1.030
8.246,1.034
8.276,1.039
8.306,1.041
8.336,1.039
8.366,1.035
8.396,1.025
8.426,1.025
8.456,1.022
8.486,1.023
8.516,1.033
8.546,1.037
8.576,1.024
8.606,1.029
8.636,1.031
8.666,1.029
8.696,1.037
8.726,1.026
8.756,1.030
8.786,1.033
8.816,1.030
8.846,1.036
8.876,1.031
8.906,1.026
8.936,1.027
8.966,1.037
8.996,1.030
9.026,1.030
9.056,1.031
9.086,1.033
9.116,1.033
9.146,1.031
9.176,1.030
9.206,1.030
9.236,1.026
9.266,1.032
9.296,1.035
9.326,1.034
9.356,1.037
9.386,1.032
9.416,1.029
9.446,1.035
9.476,1.023
9.506,1.030
9.536,1.034
9.566,1.031
9.596,1.030
9.626,1.030
9.656,1.033
9.686,1.026
9.716,1.033
9.746,1.032
9.776,1.032
9.806,1.032
9.836,1.033
9.866,1.030
9.896,1.030
9.926,1.027
9.956,1.032
9.986,1.030
10.016,1.026
10.046,1.032
10.076,1.031
10.106,1.026
10.136,1.026
10.166,1.027
10.196,1.028
10.226,1.029
10.256,1.026
10.286,1.026
10.316,1.032
10.346,1.033
10.376,1.033
10.406,1.034
10.436,1.032
10.466,1.032
10.496,1.030
10.526,1.033
10.556,1.020
10.586,1.031
10.616,1.028
10.646,1.032
10.676,1.031
10.706,1.028
10.736,1.030
10.766,1.027
10.796,1.028
10.826,1.030
10.856,1.035
10.886,1.028
10.916,1.028
10.946,1.033
10.976,1.030
11.006,1.027
11.036,1.033
11.066,1.027
11.096,1.029
11.126,1.030
11.156,1.033
11.186,1.034
11.216,1.026
11.246,1.027
11.276,1.038
11.306,1.030
11.336,1.033
11.366,1.033
11.396,1.028
11.426,1.033
11.456,1.036
11.486,1.036
11.516,1.032
11.546,1.041
11.576,1.029
11.606,1.048
11.636,1.043
11.666,1.076
11.696,1.038
11.726,1.062
11.756,1.020
11.786,0.984
11.816,0.993
11.846,1.012
11.876,0.978
11.906,0.951
11.936,0.976
11.966,1.012
11.996,0.978
12.026,0.953
12.056,0.939
12.086,1.046
12.116,1.044
12.146,1.055
12.176,1.001
12.206,1.000
12.236,0.992
12.266,0.999
12.296,1.015
12.326,1.027
12.356,1.013
12.386,0.989
12.416,1.012
12.446,0.989
12.476,1.000
12.506,1.016
12.536,1.021
12.566,1.016
12.596,1.005
12.626,0.988
12.656,0.976
12.686,0.979
12.716,0.996
12.746,0.988
12.776,1.007
12.806,1.011
12.836,1.005
12.866,1.010
12.896,0.996
12.926,0.996
12.956,0.981
12.986,0.990
13.016,0.993
13.046,0.976
13.076,0.965
13.106,0.986
13.136,1.011
13.166,1.015
13.196,0.995
13.226,0.981
13.256,0.964
13.286,0.971
13.316,1.008
13.346,1.015
13.376,0.993
13.406,0.979
13.436,1.003
13.466,1.011
13.496,1.019
13.526,1.017
13.556,0.991
13.586,0.972
13.616,1.042
13.646,1.049
13.676,0.969
13.706,0.949
13.736,0.967
13.766,0.975
13.796,0.958
13.826,0.961
13.856,0.964
13.886,0.963
13.916,0.966
13.946,0.954
13.976,0.972
14.006,0.986
14.036,1.007
14.066,0.996
14.096,1.008
14.126,1.001
14.156,0.993
14.186,1.000
14.216,1.011
14.246,0.996
14.276,0.984
