Time_sec,Resistance_Ohm,Stage,HeartRate_BPM,Resistance_Ohm_Normalized,HeartRate_BPM_Normalized
0,,,77.0,,0.5517241379310343
1,12649.34,Calibration,77.0,0.1650643615717886,0.5517241379310343
2,12586.87,Calibration,77.0,0.14877976299092355,0.5517241379310343
3,12586.87,Calibration,77.0,0.14877976299092355,0.5517241379310343
4,12537.15,Calibration,77.0,0.13581881787421768,0.5517241379310343
5,12364.83,Calibration,77.0,0.09089866376096856,0.5517241379310343
6,12524.75,Calibration,77.0,0.13258640195613358,0.5517241379310343
7,12291.78,Calibration,77.0,0.07185608450160874,0.5517241379310343
8,12328.24,Calibration,77.0,0.08136043001558901,0.5517241379310343
9,12171.09,Calibration,77.0,0.04039477182793183,0.5517241379310343
10,12243.35,Calibration,77.0,0.0592314149118649,0.5517241379310343
11,12231.27,Calibration,77.0,0.05608241617876342,0.5517241379310343
12,12524.75,Calibration,77.0,0.13258640195613358,0.5517241379310343
13,12475.3,Calibration,77.0,0.11969584008925649,0.5517241379310343
14,12413.79,Calibration,77.0,0.10366149306334016,0.5517241379310343
15,12450.66,Calibration,77.0,0.1132727168455796,0.5517241379310343
16,12243.35,Calibration,77.0,0.0592314149118649,0.5517241379310343
17,12147.11,Calibration,77.0,0.03414369652828153,0.5517241379310343
18,12195.12,Calibration,77.0,0.046658881062735524,0.5517241379310343
19,12438.36,Calibration,77.0,0.1100663687978023,0.5517241379310343
20,12328.24,Normal,77.0,0.08136043001558901,0.5517241379310343
21,12183.1,Normal,77.0,0.043525523051818116,0.5517241379310343
22,12231.27,Normal,77.0,0.05608241617876342,0.5517241379310343
23,12450.66,Normal,77.0,0.1132727168455796,0.5517241379310343
24,12328.24,Normal,79.0,0.08136043001558901,0.6206896551724137
25,12255.43,Normal,77.0,0.06238041364496638,0.5517241379310343
26,12219.21,Normal,77.0,0.05293863101972329,0.5517241379310343
27,12111.23,Normal,77.0,0.024790544662082414,0.5517241379310343
28,12450.66,Normal,77.0,0.1132727168455796,0.5517241379310343
29,12207.16,Normal,77.0,0.04979745264771385,0.5517241379310343
30,12328.24,Normal,78.0,0.08136043001558901,0.5862068965517242
31,12099.3,Normal,78.0,0.02168064773444156,0.5862068965517242
32,12413.79,Normal,77.0,0.10366149306334016,0.5517241379310343
33,12389.28,Normal,78.0,0.0972722580510621,0.5862068965517242
34,12316.08,Normal,77.0,0.07819057698624166,0.5517241379310343
35,12328.24,Normal,77.0,0.08136043001558901,0.5517241379310343
36,12183.1,Normal,77.0,0.043525523051818116,0.5517241379310343
37,12328.24,Normal,78.0,0.08136043001558901,0.5862068965517242
38,12389.28,Normal,78.0,0.0972722580510621,0.5862068965517242
39,12364.83,Normal,79.0,0.09089866376096856,0.6206896551724137
40,12099.3,Normal,79.0,0.02168064773444156,0.6206896551724137
41,12016.13,Normal,78.0,0.0,0.5862068965517242
42,12291.78,Normal,78.0,0.07185608450160874,0.5862068965517242
43,12328.24,Normal,78.0,0.08136043001558901,0.5862068965517242
44,12207.16,Normal,78.0,0.04979745264771385,0.5862068965517242
45,12183.1,Normal,78.0,0.043525523051818116,0.5862068965517242
46,12195.12,Normal,80.0,0.046658881062735524,0.6551724137931036
47,12051.7,Normal,78.0,0.00927234146824718,0.5862068965517242
48,12243.35,Normal,79.0,0.0592314149118649,0.6206896551724137
49,12328.24,Normal,79.0,0.08136043001558901,0.6206896551724137
50,12303.92,Normal,79.0,0.07502072395689474,0.6206896551724137
51,12111.23,Normal,79.0,0.024790544662082414,0.6206896551724137
52,12537.15,Normal,80.0,0.13581881787421768,0.6551724137931036
53,12487.65,Normal,80.0,0.12291522207218764,0.6551724137931036
54,12231.27,Normal,80.0,0.05608241617876342,0.6551724137931036
55,12195.12,Normal,80.0,0.046658881062735524,0.6551724137931036
56,12487.65,Normal,80.0,0.12291522207218764,0.6551724137931036
57,12475.3,Normal,80.0,0.11969584008925649,0.6551724137931036
58,12450.66,Normal,80.0,0.1132727168455796,0.6551724137931036
59,12328.24,Normal,80.0,0.08136043001558901,0.6551724137931036
60,12303.92,Normal,80.5,0.07502072395689474,0.6724137931034484
61,12475.3,Normal,81.0,0.11969584008925649,0.6896551724137931
62,12462.97,Normal,81.0,0.11648167168038714,0.6896551724137931
63,12462.97,Normal,80.5,0.11648167168038714,0.6724137931034484
64,12364.83,Normal,80.0,0.09089866376096856,0.6551724137931036
65,12413.79,Normal,80.0,0.10366149306334016,0.6551724137931036
66,12426.07,Normal,80.0,0.10686262753705567,0.6551724137931036
67,12364.83,Normal,80.0,0.09089866376096856,0.6551724137931036
68,12328.24,Normal,80.0,0.08136043001558901,0.6551724137931036
69,12231.27,Normal,80.5,0.05608241617876342,0.6724137931034484
70,12438.36,Normal,81.0,0.1100663687978023,0.6896551724137931
71,12255.43,Normal,81.0,0.06238041364496638,0.6896551724137931
72,12340.43,Normal,82.0,0.08453810340602841,0.7241379310344827
73,12171.09,Normal,83.0,0.04039477182793183,0.7586206896551726
74,12377.05,Normal,85.0,0.09408415751249954,0.8275862068965516
75,12316.08,Normal,85.0,0.07819057698624166,0.8275862068965516
76,12364.83,Normal,85.0,0.09089866376096856,0.8275862068965516
77,12063.58,Normal,84.0,0.012369204460734196,0.7931034482758621
78,12328.24,Normal,83.5,0.08136043001558901,0.7758620689655173
79,12389.28,Normal,83.0,0.0972722580510621,0.7586206896551726
80,12377.05,Normal,82.0,0.09408415751249954,0.7241379310344827
81,12377.05,Normal,82.0,0.09408415751249954,0.7241379310344827
82,12099.3,Normal,82.0,0.02168064773444156,0.7241379310344827
83,12389.28,Normal,82.0,0.0972722580510621,0.7241379310344827
84,12291.78,Normal,81.0,0.07185608450160874,0.6896551724137931
85,12171.09,Normal,81.0,0.04039477182793183,0.6896551724137931
86,12075.47,Normal,80.0,0.015468674240252334,0.6551724137931036
87,12231.27,Normal,80.0,0.05608241617876342,0.6551724137931036
88,12328.24,Normal,80.0,0.08136043001558901,0.6551724137931036
89,12413.79,Normal,80.0,0.10366149306334016,0.6551724137931036
90,12413.79,Normal,79.0,0.10366149306334016,0.6206896551724137
91,12255.43,Normal,79.0,0.06238041364496638,0.6206896551724137
92,12099.3,Normal,79.0,0.02168064773444156,0.6206896551724137
93,12267.54,Normal,79.0,0.06553723273916034,0.6206896551724137
94,12377.05,Normal,79.0,0.09408415751249954,0.6206896551724137
95,12111.23,Normal,79.0,0.024790544662082414,0.6206896551724137
96,12328.24,Normal,79.0,0.08136043001558901,0.6206896551724137
97,12426.07,Normal,79.0,0.10686262753705567,0.6206896551724137
98,12377.05,Normal,79.0,0.09408415751249954,0.6206896551724137
99,12377.05,Normal,80.0,0.09408415751249954,0.6551724137931036
100,12219.21,Normal,81.0,0.05293863101972329,0.6896551724137931
101,12328.24,Normal,81.0,0.08136043001558901,0.6896551724137931
102,12123.18,Normal,82.0,0.02790565516378507,0.7241379310344827
103,12075.47,Normal,81.0,0.015468674240252334,0.6896551724137931
104,12352.62,Normal,81.0,0.0877157767964678,0.6896551724137931
105,12219.21,Normal,80.0,0.05293863101972329,0.6551724137931036
106,12255.43,Normal,80.0,0.06238041364496638,0.6551724137931036
107,12123.18,Normal,80.0,0.02790565516378507,0.6551724137931036
108,12291.78,Normal,80.0,0.07185608450160874,0.6551724137931036
109,12231.27,Normal,80.0,0.05608241617876342,0.6551724137931036
110,12051.7,Normal,80.0,0.00927234146824718,0.6551724137931036
111,12219.21,Normal,80.0,0.05293863101972329,0.6551724137931036
112,12279.65,Normal,80.0,0.06869405183335342,0.6551724137931036
113,12364.83,Normal,80.0,0.09089866376096856,0.6551724137931036
114,12413.79,Normal,81.0,0.10366149306334016,0.6896551724137931
115,12450.66,Normal,80.0,0.1132727168455796,0.6551724137931036
116,12413.79,Normal,81.0,0.10366149306334016,0.6896551724137931
117,12377.05,Normal,81.0,0.09408415751249954,0.6896551724137931
118,12051.7,Normal,81.0,0.00927234146824718,0.6896551724137931
119,12401.53,Normal,81.0,0.10046557216368601,0.6896551724137931
120,12279.65,Normal,81.0,0.06869405183335342,0.6896551724137931
121,12364.83,Normal,81.0,0.09089866376096856,0.6896551724137931
122,12364.83,Normal,81.0,0.09089866376096856,0.6896551724137931
123,12413.79,Normal,82.0,0.10366149306334016,0.7241379310344827
124,12075.47,Normal,82.0,0.015468674240252334,0.7241379310344827
125,12063.58,Normal,82.0,0.012369204460734196,0.7241379310344827
126,12340.43,Normal,82.0,0.08453810340602841,0.7241379310344827
127,12389.28,Normal,82.0,0.0972722580510621,0.7241379310344827
128,12401.53,Normal,82.0,0.10046557216368601,0.7241379310344827
129,12243.35,Normal,82.0,0.0592314149118649,0.7241379310344827
130,12063.58,Normal,82.0,0.012369204460734196,0.7241379310344827
131,12426.07,Normal,82.0,0.10686262753705567,0.7241379310344827
132,12316.08,Normal,82.0,0.07819057698624166,0.7241379310344827
133,12255.43,Normal,82.0,0.06238041364496638,0.7241379310344827
134,12328.24,Normal,82.0,0.08136043001558901,0.7241379310344827
135,12267.54,Normal,82.0,0.06553723273916034,0.7241379310344827
136,12389.28,Normal,82.0,0.0972722580510621,0.7241379310344827
137,12099.3,Normal,83.0,0.02168064773444156,0.7586206896551726
138,12207.16,Normal,82.0,0.04979745264771385,0.7241379310344827
139,12413.79,Normal,82.0,0.10366149306334016,0.7241379310344827
140,12450.66,Normal,82.0,0.1132727168455796,0.7241379310344827
141,12364.83,Normal,82.0,0.09089866376096856,0.7241379310344827
142,12171.09,Normal,82.0,0.04039477182793183,0.7241379310344827
143,12364.83,Normal,82.0,0.09089866376096856,0.7241379310344827
144,12291.78,Normal,82.0,0.07185608450160874,0.7241379310344827
145,12231.27,Normal,82.0,0.05608241617876342,0.7241379310344827
146,12147.11,Normal,81.0,0.03414369652828153,0.6896551724137931
147,12413.79,Normal,81.0,0.10366149306334016,0.6896551724137931
148,12051.7,Normal,81.0,0.00927234146824718,0.6896551724137931
149,12051.7,Normal,81.0,0.00927234146824718,0.6896551724137931
150,12328.24,Normal,81.0,0.08136043001558901,0.6896551724137931
151,12267.54,Normal,81.0,0.06553723273916034,0.6896551724137931
152,12087.38,Normal,81.0,0.018573357593831386,0.6896551724137931
153,12255.43,Normal,82.0,0.06238041364496638,0.7241379310344827
154,12438.36,Normal,82.0,0.1100663687978023,0.7241379310344827
155,12303.92,Normal,82.0,0.07502072395689474,0.7241379310344827
156,12364.83,Normal,82.0,0.09089866376096856,0.7241379310344827
157,12075.47,Normal,82.0,0.015468674240252334,0.7241379310344827
158,12389.28,Normal,82.0,0.0972722580510621,0.7241379310344827
159,12389.28,Normal,82.0,0.0972722580510621,0.7241379310344827
160,12389.28,Normal,82.0,0.0972722580510621,0.7241379310344827
