Time_sec,Conductance_microS,Stage,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
1,13346.64,Calibration,,0.15171327431317838,
2,13656.84,Calibration,1335.0,0.2192042504955216,0.6925675675675675
3,13629.54,Calibration,560.0,0.21326452241757865,0.16891891891891891
4,13386.64,Calibration,325.0,0.16041617259587904,0.010135135135135115
5,13835.85,Calibration,380.0,0.2581518960351774,0.047297297297297314
6,13629.54,Calibration,760.0,0.21326452241757865,0.3040540540540541
7,13933.37,Calibration,770.0,0.2793695620484016,0.3108108108108108
8,13602.3,Calibration,760.0,0.20733784868705918,0.3040540540540541
9,14017.6,Calibration,745.0,0.2976956901071981,0.2939189189189189
10,13919.39,Calibration,685.0,0.27632789909859756,0.2533783783783784
11,13919.39,Calibration,690.0,0.27632789909859756,0.25675675675675674
12,13697.92,Calibration,750.0,0.22814212703185488,0.2972972972972973
13,13933.37,Calibration,675.0,0.2793695620484016,0.2466216216216216
14,14045.8,Calibration,690.0,0.30383123339650187,0.25675675675675674
15,14088.24,Calibration,660.0,0.3130650084744473,0.23648648648648646
16,14003.52,Calibration,660.0,0.29463226991168767,0.23648648648648646
17,13933.37,Calibration,685.0,0.2793695620484016,0.2533783783783784
18,13933.37,Calibration,665.0,0.2793695620484016,0.23986486486486486
19,14074.08,Calibration,670.0,0.3099841824823715,0.24324324324324326
20,14074.08,Normal,675.0,0.3099841824823715,0.2466216216216216
21,14130.82,Normal,695.0,0.32232924369638205,0.26013513513513514
22,14130.82,Normal,740.0,0.32232924369638205,0.2905405405405405
23,14074.08,Normal,630.0,0.3099841824823715,0.21621621621621623
24,14130.82,Normal,610.0,0.32232924369638205,0.2027027027027027
25,13863.64,Normal,635.0,0.26419823461708347,0.21959459459459457
26,14159.29,Normal,650.0,0.32852353154909464,0.22972972972972971
27,13961.38,Normal,640.0,0.28546376657086237,0.22297297297297297
28,13877.55,Normal,625.0,0.2672246674948924,0.21283783783783783
29,14173.55,Normal,620.0,0.33162611478687687,0.20945945945945948
30,14102.41,Normal,665.0,0.3161480101910943,0.23986486486486486
31,13697.92,Normal,615.0,0.22814212703185488,0.20608108108108109
32,13711.64,Normal,620.0,0.23112722114282125,0.20945945945945948
33,14230.77,Normal,660.0,0.3440756107802807,0.23648648648648646
34,13849.74,Normal,690.0,0.2611739774638453,0.25675675675675674
35,14003.52,Normal,640.0,0.29463226991168767,0.22297297297297297
36,13947.37,Normal,610.0,0.2824155764473466,0.2027027027027027
37,13989.46,Normal,620.0,0.29157320116531826,0.20945945945945948
38,14130.82,Normal,610.0,0.32232924369638205,0.2027027027027027
39,14159.29,Normal,670.0,0.32852353154909464,0.24324324324324326
40,13877.55,Normal,695.0,0.2672246674948924,0.26013513513513514
41,14346.02,Normal,675.0,0.3691508364573117,0.2466216216216216
42,14302.67,Normal,655.0,0.35971907044343476,0.23310810810810811
43,14317.1,Normal,640.0,0.36285864099891896,0.22297297297297297
44,14273.86,Normal,610.0,0.3534508079553196,0.2027027027027027
45,14045.8,Normal,625.0,0.30383123339650187,0.21283783783783783
46,14360.5,Normal,625.0,0.3723012856356491,0.21283783783783783
47,14302.67,Normal,640.0,0.35971907044343476,0.22297297297297297
48,14116.61,Normal,605.0,0.319237539081453,0.19932432432432434
49,13849.74,Normal,640.0,0.2611739774638453,0.22297297297297297
50,14288.26,Normal,615.0,0.35658385133709203,0.20608108108108109
51,14273.86,Normal,630.0,0.3534508079553196,0.21621621621621623
52,14302.67,Normal,600.0,0.35971907044343476,0.19594594594594594
53,13891.48,Normal,605.0,0.2702554518218432,0.19932432432432434
54,14074.08,Normal,585.0,0.3099841824823715,0.1858108108108108
55,14173.55,Normal,590.0,0.33162611478687687,0.1891891891891892
56,14230.77,Normal,625.0,0.3440756107802807,0.21283783783783783
57,13877.55,Normal,605.0,0.2672246674948924,0.19932432432432434
58,14216.44,Normal,610.0,0.3409577974705029,0.2027027027027027
59,14173.55,Normal,595.0,0.33162611478687687,0.19256756756756754
60,14273.86,Normal,620.0,0.3534508079553196,0.20945945945945948
61,14302.67,Normal,600.0,0.35971907044343476,0.19594594594594594
62,14230.77,Normal,615.0,0.3440756107802807,0.20608108108108109
63,14216.44,Normal,655.0,0.3409577974705029,0.23310810810810811
64,14116.61,Normal,615.0,0.319237539081453,0.20608108108108109
65,14230.77,Normal,625.0,0.3440756107802807,0.21283783783783783
66,14216.44,Normal,595.0,0.3409577974705029,0.19256756756756754
67,14159.29,Normal,590.0,0.32852353154909464,0.1891891891891892
68,14216.44,Normal,630.0,0.3409577974705029,0.21621621621621623
69,13794.31,Normal,680.0,0.2491139361685928,0.25
70,13766.69,Normal,680.0,0.24310458490438824,0.25
71,14230.77,Normal,720.0,0.3440756107802807,0.27702702702702703
72,14245.11,Normal,675.0,0.3471955998146288,0.2466216216216216
73,14230.77,Normal,635.0,0.3440756107802807,0.21959459459459457
74,13766.69,Normal,660.0,0.24310458490438824,0.23648648648648646
75,13780.49,Normal,690.0,0.24610708481191956,0.25675675675675674
76,14145.05,Normal,615.0,0.325425299760453,0.20608108108108109
77,14159.29,Normal,695.0,0.32852353154909464,0.26013513513513514
78,14202.13,Normal,650.0,0.3378443356098666,0.22972972972972971
79,14173.55,Normal,655.0,0.33162611478687687,0.23310810810810811
80,13739.13,Normal,675.0,0.2371082879876072,0.2466216216216216
81,14159.29,Normal,700.0,0.32852353154909464,0.26351351351351354
82,14130.82,Normal,800.0,0.32232924369638205,0.3310810810810811
83,13711.64,Normal,785.0,0.23112722114282125,0.320945945945946
84,13961.38,Normal,770.0,0.28546376657086237,0.3108108108108108
85,13933.37,Normal,750.0,0.2793695620484016,0.2972972972972973
86,14245.11,Normal,715.0,0.3471955998146288,0.27364864864864863
87,14173.55,Normal,700.0,0.33162611478687687,0.26351351351351354
88,13877.55,Normal,665.0,0.2672246674948924,0.23986486486486486
89,13891.48,Normal,685.0,0.2702554518218432,0.2533783783783784
90,13697.92,Normal,655.0,0.22814212703185488,0.23310810810810811
91,13919.39,Normal,670.0,0.27632789909859756,0.24324324324324326
92,13891.48,Normal,685.0,0.2702554518218432,0.2533783783783784
93,14173.55,Normal,655.0,0.33162611478687687,0.23310810810810811
94,13766.69,Normal,690.0,0.24310458490438824,0.25675675675675674
95,13863.64,Normal,700.0,0.26419823461708347,0.26351351351351354
96,13947.37,Normal,670.0,0.2824155764473466,0.24324324324324326
97,14074.08,Normal,700.0,0.3099841824823715,0.26351351351351354
98,13905.43,Normal,665.0,0.273290587597935,0.23986486486486486
99,13989.46,Normal,665.0,0.29157320116531826,0.23986486486486486
100,13697.92,Normal,695.0,0.22814212703185488,0.26013513513513514
101,13670.52,Normal,655.0,0.22218064170820506,0.23310810810810811
102,13989.46,Normal,655.0,0.29157320116531826,0.23310810810810811
103,13947.37,Normal,640.0,0.2824155764473466,0.22297297297297297
104,13905.43,Normal,655.0,0.273290587597935,0.23310810810810811
105,13863.64,Normal,740.0,0.26419823461708347,0.2905405405405405
106,13835.85,Normal,700.0,0.2581518960351774,0.26351351351351354
107,13480.5,Normal,695.0,0.18083752341623605,0.26013513513513514
108,13919.39,Normal,615.0,0.27632789909859756,0.20608108108108109
109,13961.38,Normal,640.0,0.28546376657086237,0.22297297297297297
110,13725.38,Normal,695.0,0.23411666670292863,0.26013513513513514
111,13877.55,Normal,600.0,0.2672246674948924,0.19594594594594594
112,13520.97,Normal,580.0,0.1896426807537579,0.1824324324324324
113,13891.48,Normal,625.0,0.2702554518218432,0.21283783783783783
114,13711.64,Normal,670.0,0.23112722114282125,0.24324324324324326
115,13919.39,Normal,695.0,0.27632789909859756,0.26013513513513514
116,13697.92,Normal,695.0,0.22814212703185488,0.26013513513513514
117,13520.97,Normal,640.0,0.1896426807537579,0.22297297297297297
118,13684.21,Normal,640.0,0.22515920864545924,0.22297297297297297
119,13493.98,Normal,630.0,0.18377040013750578,0.21621621621621623
120,13780.49,Normal,635.0,0.24610708481191956,0.21959459459459457
121,13919.39,Normal,660.0,0.27632789909859756,0.23648648648648646
122,13725.38,Normal,670.0,0.23411666670292863,0.24324324324324326
123,13766.69,Normal,630.0,0.24310458490438824,0.21621621621621623
124,13507.46,Normal,635.0,0.18670327685877597,0.21959459459459457
125,13480.5,Normal,650.0,0.18083752341623605,0.22972972972972971
126,13480.5,Normal,695.0,0.18083752341623605,0.26013513513513514
127,13766.69,Normal,705.0,0.24310458490438824,0.2668918918918919
128,13835.85,Normal,675.0,0.2581518960351774,0.2466216216216216
129,13629.54,Normal,685.0,0.21326452241757865,0.2533783783783784
130,13507.46,Normal,650.0,0.18670327685877597,0.22972972972972971
131,13739.13,Normal,660.0,0.2371082879876072,0.23648648648648646
132,13821.99,Normal,640.0,0.2551363417802217,0.22297297297297297
133,13426.77,Normal,655.0,0.1691473552979983,0.23310810810810811
134,13400.0,Normal,670.0,0.1633229406223009,0.24324324324324326
135,13780.49,Normal,650.0,0.24610708481191956,0.22972972972972971
136,13739.13,Normal,670.0,0.2371082879876072,0.24324324324324326
137,13905.43,Normal,645.0,0.273290587597935,0.22635135135135137
138,13919.39,Normal,645.0,0.27632789909859756,0.22635135135135137
139,13905.43,Normal,635.0,0.273290587597935,0.21959459459459457
140,13835.85,Normal,645.0,0.2581518960351774,0.22635135135135137
141,13739.13,Normal,625.0,0.2371082879876072,0.21283783783783783
142,13835.85,Normal,640.0,0.2581518960351774,0.22297297297297297
143,13821.99,Normal,635.0,0.2551363417802217,0.21959459459459457
144,13561.57,Normal,650.0,0.19847612251069924,0.22972972972972971
145,13697.92,Normal,665.0,0.22814212703185488,0.23986486486486486
146,13766.69,Normal,662.5,0.24310458490438824,0.23817567567567566
147,13656.84,Normal,660.0,0.2192042504955216,0.23648648648648646
148,13739.13,Normal,665.0,0.2371082879876072,0.23986486486486486
149,13656.84,Normal,670.0,0.2192042504955216,0.24324324324324326
150,13520.97,Normal,655.0,0.1896426807537579,0.23310810810810811
151,13780.49,Normal,640.0,0.24610708481191956,0.22297297297297297
152,13400.0,Normal,680.0,0.1633229406223009,0.25
153,13711.64,Normal,660.0,0.23112722114282125,0.23648648648648646
154,13293.51,Normal,657.5,0.1401536496691813,0.2347972972972973
155,13480.5,Normal,655.0,0.18083752341623605,0.23310810810810811
156,13629.54,Normal,620.0,0.21326452241757865,0.20945945945945948
157,13480.5,Normal,657.5,0.18083752341623605,0.2347972972972973
158,13670.52,Normal,695.0,0.22218064170820506,0.26013513513513514
159,13359.95,Normal,675.0,0.15460916371674704,0.2466216216216216
160,13267.04,Normal,650.0,0.1343945067306045,0.22972972972972971
161,13240.64,Normal,645.0,0.12865059386402145,0.22635135135135137
162,13629.54,Normal,635.0,0.21326452241757865,0.21959459459459457
163,13588.71,Normal,635.0,0.2043810389955114,0.21959459459459457
164,13359.95,Normal,645.0,0.15460916371674704,0.22635135135135137
165,13493.98,Normal,665.0,0.18377040013750578,0.23986486486486486
166,13413.38,Normal,695.0,0.16623406009786423,0.26013513513513514
167,13602.3,Normal,660.0,0.20733784868705918,0.23648648648648646
168,13467.05,Normal,655.0,0.1779111738686776,0.23310810810810811
169,13227.45,Normal,645.0,0.12578081315530154,0.22635135135135137
170,13083.43,Normal,630.0,0.09444602788843781,0.21621621621621623
171,13520.97,Normal,640.0,0.1896426807537579,0.22297297297297297
172,13174.87,Normal,650.0,0.11434085336269151,0.22972972972972971
173,13520.97,Normal,655.0,0.1896426807537579,0.23310810810810811
174,13070.42,Normal,655.0,0.09161541022198927,0.23310810810810811
175,13520.97,Normal,625.0,0.1896426807537579,0.21283783783783783
176,13214.29,Normal,640.0,0.12291755962029294,0.22297297297297297
177,,Normal,625.0,,0.21283783783783783
178,13057.43,Normal,610.0,0.08878914400468263,0.2027027027027027
179,13493.98,Normal,640.0,0.18377040013750578,0.22297297297297297
180,13096.45,Normal,635.0,0.09727882127945708,0.21959459459459457
181,13440.18,Normal,605.0,0.1720650019472738,0.19932432432432434
182,13480.5,Normal,620.0,0.18083752341623605,0.20945945945945948
183,13018.55,Normal,610.0,0.08032992687389706,0.2027027027027027
184,13214.29,Normal,645.0,0.12291755962029294,0.22635135135135137
185,13413.38,Normal,645.0,0.16623406009786423,0.22635135135135137
186,13253.83,Normal,610.0,0.13152037457274224,0.2027027027027027
187,13440.18,Normal,640.0,0.1720650019472738,0.22297297297297297
188,13413.38,Normal,620.0,0.16623406009786423,0.20945945945945948
189,13333.33,Normal,660.0,0.14881738490960972,0.23648648648648646
190,13426.77,Normal,630.0,0.1691473552979983,0.21621621621621623
191,13005.62,Normal,640.0,0.07751671500401436,0.22297297297297297
192,13400.0,Normal,635.0,0.1633229406223009,0.21959459459459457
193,13306.77,Normal,615.0,0.14303866044989677,0.20608108108108109
194,13400.0,Normal,655.0,0.1633229406223009,0.23310810810810811
195,13201.13,Normal,630.0,0.12005430608528389,0.21621621621621623
196,13031.5,Normal,600.0,0.08314749019292167,0.19594594594594594
197,13440.18,Normal,625.0,0.1720650019472738,0.21283783783783783
198,13413.38,Normal,710.0,0.16623406009786423,0.2702702702702703
199,13227.45,Normal,670.0,0.12578081315530154,0.24324324324324326
200,13174.87,Normal,712.5,0.11434085336269151,0.2719594594594595
201,13346.64,Normal,755.0,0.15171327431317838,0.3006756756756757
202,13096.45,Normal,660.0,0.09727882127945708,0.23648648648648646
203,13386.64,Normal,650.0,0.16041617259587904,0.22972972972972971
204,13005.62,Normal,642.5,0.07751671500401436,0.22466216216216217
205,13400.0,Normal,635.0,0.1633229406223009,0.21959459459459457
206,13293.51,Normal,675.0,0.1401536496691813,0.2466216216216216
207,13400.0,Normal,665.0,0.1633229406223009,0.23986486486486486
208,13400.0,Normal,670.0,0.1633229406223009,0.24324324324324326
209,13227.45,Normal,640.0,0.12578081315530154,0.22297297297297297
210,13044.46,Normal,660.0,0.08596722923651656,0.23648648648648646
211,13253.83,Normal,637.5,0.13152037457274224,0.22128378378378377
212,13018.55,Normal,615.0,0.08032992687389706,0.20608108108108109
213,13096.45,Normal,630.0,0.09727882127945708,0.21621621621621623
214,12928.33,Normal,620.0,0.060700539797266195,0.20945945945945948
215,13306.77,Normal,645.0,0.14303866044989677,0.22635135135135137
216,12979.8,Normal,620.0,0.07189899416253098,0.20945945945945948
217,13306.77,Normal,630.0,0.14303866044989677,0.21621621621621623
218,13306.77,Normal,620.0,0.14303866044989677,0.20945945945945948
219,13267.04,Normal,600.0,0.1343945067306045,0.19594594594594594
220,13070.42,Normal,615.0,0.09161541022198927,0.20608108108108109
221,13280.27,Normal,620.0,0.13727299033760731,0.20945945945945948
222,13333.33,Normal,610.0,0.14881738490960972,0.2027027027027027
223,12864.32,Normal,635.0,0.046773726820374506,0.21959459459459457
224,13267.04,Normal,640.0,0.1343945067306045,0.22297297297297297
225,12941.18,Normal,640.0,0.06349634587058395,0.22297297297297297
226,13280.27,Normal,635.0,0.13727299033760731,0.21959459459459457
227,13174.87,Normal,630.0,0.11434085336269151,0.21621621621621623
228,12966.91,Normal,645.0,0.06909448519093075,0.22635135135135137
229,12838.82,Normal,620.0,0.04122562916515271,0.20945945945945948
230,13201.13,Normal,595.0,0.12005430608528389,0.19256756756756754
231,13148.67,Normal,730.0,0.10864045498752262,0.28378378378378377
232,13174.87,Normal,800.0,0.11434085336269151,0.3310810810810811
233,13174.87,Normal,740.0,0.11434085336269151,0.2905405405405405
