Time_sec,Conductance_microS,Stage,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
1,32.182052584186636,Calibration,670.0,1.0000000000000002,0.2222222222222222
2,30.74712122390761,Calibration,1220.0,0.8977556375559754,0.5525525525525525
3,29.83513403284789,Calibration,1400.0,0.8327730526824484,0.6606606606606606
4,29.95874979740395,Calibration,1230.0,0.8415811499788985,0.5585585585585586
5,29.711757328627787,Calibration,1060.0,0.8239819893517419,0.45645645645645644
6,29.83513403284789,Calibration,1066.6666666666667,0.8327730526824484,0.46046046046046046
7,30.830673930784517,Calibration,1073.3333333333333,0.903709088349218,0.4644644644644644
8,30.998082458619105,Calibration,1080.0,0.9156375879764143,0.4684684684684684
9,30.62200956937799,Calibration,1220.0,0.8888409523621064,0.5525525525525525
10,29.588608859007024,Calibration,1255.0,0.8152071886115284,0.5735735735735736
11,29.711757328627787,Calibration,955.0,0.8239819893517419,0.39339339339339335
12,29.383884584802768,Calibration,1360.0,0.8006197989479842,0.6366366366366365
13,28.733105652204145,Calibration,1180.0,0.7542493042348359,0.5285285285285286
14,29.424780844232274,Calibration,685.0,0.8035338142712691,0.23123123123123124
15,29.383884584802768,Calibration,922.5,0.8006197989479842,0.3738738738738739
16,29.179810955676743,Calibration,1160.0,0.786078770241516,0.5165165165165164
17,27.928771578118027,Calibration,375.0,0.6969374168000613,0.04504504504504506
18,28.209142583111184,Calibration,425.0,0.7169149261408159,0.07507507507507505
19,27.450981468665937,Calibration,530.0,0.6628930391557604,0.13813813813813813
20,27.968749956298826,Normal,635.0,0.6997860295642615,0.20120120120120122
21,27.292509379753163,Normal,1065.0,0.6516012950733754,0.4594594594594595
22,27.490660735281708,Normal,1495.0,0.6657203390738464,0.7177177177177176
23,27.808985639439815,Normal,1305.0,0.6884022092849567,0.6036036036036037
24,27.848893020426885,Normal,932.5,0.6912457632268263,0.37987987987987987
25,28.57142857142857,Normal,560.0,0.7427291921909436,0.15615615615615613
26,28.24929779308011,Normal,1210.0,0.7197761388480777,0.5465465465465464
27,28.65221964447753,Normal,1860.0,0.748485865982959,0.9369369369369369
28,28.69264268994673,Normal,620.0,0.7513661629967763,0.1921921921921922
29,28.048775698989516,Normal,985.0,0.705488170633175,0.4114114114114114
30,27.808985639439815,Normal,415.0,0.6884022092849567,0.06906906906906907
31,28.209142583111184,Normal,647.5,0.7169149261408159,0.20870870870870872
32,27.490660735281708,Normal,880.0,0.6657203390738464,0.3483483483483483
33,26.976740923742955,Normal,1025.0,0.6291015815968928,0.43543543543543545
34,26.858738880146365,Normal,1170.0,0.620693483447669,0.5225225225225225
35,26.858738880146365,Normal,665.0,0.620693483447669,0.21921921921921922
36,27.968749956298826,Normal,1235.0,0.6997860295642615,0.5615615615615615
37,27.016132953954784,Normal,1127.5,0.6319084148196337,0.496996996996997
38,26.976740923742955,Normal,1020.0,0.6291015815968928,0.4324324324324324
39,27.05553771393152,Normal,1145.0,0.6347161550869438,0.5075075075075075
40,27.450981468665937,Normal,1270.0,0.6628930391557604,0.5825825825825826
41,27.450981468665937,Normal,1320.0,0.6628930391557604,0.6126126126126126
42,28.57142857142857,Normal,915.0,0.7427291921909436,0.3693693693693693
43,28.490742787853367,Normal,510.0,0.7369800206777228,0.12612612612612611
44,28.611803914152,Normal,1012.5,0.7456060902011823,0.42792792792792794
45,27.60984854341483,Normal,1515.0,0.6742129274937567,0.7297297297297296
46,28.088830364250335,Normal,1127.5,0.7083422191443909,0.496996996996997
47,27.928771578118027,Normal,740.0,0.6969374168000613,0.26426426426426425
48,27.88882176979116,Normal,1195.0,0.6940908397475205,0.5375375375375375
49,27.968749956298826,Normal,1132.5,0.6997860295642615,0.49999999999999994
50,28.57142857142857,Normal,1070.0,0.7427291921909436,0.4624624624624624
51,28.65221964447753,Normal,1965.0,0.748485865982959,1.0
52,28.69264268994673,Normal,670.0,0.7513661629967763,0.2222222222222222
