Time_sec,Conductance_microS,Stage,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
0,,,1575.0,,0.7589285714285715
1,13656.836475771406,Calibration,1060.0,0.0872587786715941,0.45238095238095244
2,13480.504494400197,Calibration,545.0,0.08137183029123835,0.14583333333333334
3,13188.001556184185,Calibration,697.5,0.07160644522047765,0.23660714285714288
4,13306.773014396598,Calibration,850.0,0.07557170120024304,0.32738095238095244
5,13201.128432458407,Calibration,560.0,0.07204469381509293,0.1547619047619048
6,13057.438365626555,Calibration,525.0,0.0672475152225821,0.13392857142857148
7,13280.26539282361,Calibration,555.0,0.07468672844219482,0.15178571428571433
8,13240.63126033597,Calibration,595.0,0.07336351928727847,0.1755952380952381
9,13253.828036882753,Calibration,565.0,0.07380410154418882,0.15773809523809526
10,12992.6994022059,Calibration,570.0,0.06508616631189973,0.16071428571428573
11,12724.750913000878,Calibration,595.0,0.05614054616813474,0.1755952380952381
12,12649.341285552555,Calibration,535.0,0.05362295077382234,0.1398809523809524
13,12636.809256210045,Calibration,575.0,0.05320456149884928,0.1636904761904762
14,12915.508037966429,Calibration,575.0,0.06250908657200627,0.1636904761904762
15,12762.639160626748,Calibration,580.0,0.05740546791551804,0.1666666666666667
16,12864.317470772272,Calibration,760.0,0.06080005895098317,0.27380952380952384
17,13057.438365626555,Calibration,345.0,0.0672475152225821,0.0267857142857143
18,12649.341285552555,Calibration,710.0,0.05362295077382234,0.2440476190476191
19,12586.865102790633,Calibration,1075.0,0.051537146145183566,0.46130952380952384
20,12649.341285552555,Normal,840.0,0.05362295077382234,0.3214285714285714
21,13174.866044549492,Normal,605.0,0.07116790832920206,0.1815476190476191
22,13057.438365626555,Normal,535.0,0.0672475152225821,0.1398809523809524
23,13109.475922481048,Normal,530.0,0.06898482009864615,0.13690476190476195
24,13057.438365626555,Normal,560.0,0.0672475152225821,0.1547619047619048
25,12889.886852573209,Normal,550.0,0.06165370801458009,0.1488095238095238
26,12524.752041221464,Normal,580.0,0.04946346453416722,0.1666666666666667
27,12915.508037966429,Normal,595.0,0.06250908657200627,0.1755952380952381
28,12954.039069381834,Normal,570.0,0.06379546803962466,0.16071428571428573
29,13057.438365626555,Normal,600.0,0.0672475152225821,0.17857142857142858
30,13018.544917234602,Normal,615.0,0.06594903424801946,0.18750000000000003
31,13070.426069749023,Normal,565.0,0.0676811174718947,0.15773809523809526
32,12586.865102790633,Normal,635.0,0.051537146145183566,0.19940476190476195
33,12636.809256210045,Normal,650.0,0.05320456149884928,0.20833333333333334
34,12450.66424293736,Normal,390.0,0.04698999919497526,0.053571428571428575
35,12586.865102790633,Normal,585.0,0.051537146145183566,0.16964285714285718
36,12686.974283503127,Normal,630.0,0.05487935085853901,0.19642857142857148
37,12787.985431926994,Normal,497.5,0.05825166830196371,0.11755952380952381
38,12851.554266973048,Normal,365.0,0.06037395177887683,0.03869047619047622
39,12877.089468729919,Normal,1120.0,0.06122645972131413,0.48809523809523814
40,12624.3020339013,Normal,435.0,0.05278700042149592,0.08035714285714288
41,12243.348800763984,Normal,692.5,0.04006864949406069,0.2336309523809524
42,12219.20272146083,Normal,950.0,0.03926251823335419,0.386904761904762
43,12586.865102790633,Normal,530.0,0.051537146145183566,0.13690476190476195
44,12712.1498915018,Normal,535.0,0.055719853548860776,0.1398809523809524
45,12661.866131154142,Normal,520.0,0.05404110021531955,0.13095238095238096
46,12674.41580448953,Normal,1205.0,0.054460078545519486,0.5386904761904763
47,12561.977657266538,Normal,555.0,0.050706263930965,0.15178571428571433
48,12219.20272146083,Normal,595.0,0.03926251823335419,0.1755952380952381
49,12075.471698113208,Normal,590.0,0.03446397228313375,0.17261904761904764
50,12075.471698113208,Normal,570.0,0.03446397228313375,0.16071428571428573
51,12004.29753851879,Normal,630.0,0.03208778050958655,0.19642857142857148
52,12291.7772926623,Normal,610.0,0.041685463583750304,0.18452380952380956
53,12340.422906292999,Normal,615.0,0.043309526411988986,0.18750000000000003
54,12462.96940216382,Normal,625.0,0.04740081427579562,0.19345238095238096
55,11992.478317599203,Normal,605.0,0.031693188769004066,0.1815476190476191
56,12255.427622508318,Normal,605.0,0.04047190816302959,0.1815476190476191
57,12027.977074675697,Normal,615.0,0.03287833594906192,0.18750000000000003
58,11980.682347782436,Normal,580.0,0.03129937328035853,0.1666666666666667
59,12524.752041221464,Normal,615.0,0.04946346453416722,0.18750000000000003
60,12450.66424293736,Normal,645.0,0.04698999919497526,0.20535714285714288
61,12413.786254462755,Normal,615.0,0.04575880555197792,0.18750000000000003
62,12328.236840223586,Normal,615.0,0.042902687327255884,0.18750000000000003
63,12123.18121973751,Normal,630.0,0.036056783121358627,0.19642857142857148
64,12135.141793064282,Normal,580.0,0.03645609399637195,0.1666666666666667
65,11992.478317599203,Normal,645.0,0.031693188769004066,0.20535714285714288
66,11886.691303815509,Normal,595.0,0.028161426211731067,0.1755952380952381
67,11793.509795689235,Normal,610.0,0.025050505980033166,0.18452380952380956
68,12135.141793064282,Normal,620.0,0.03645609399637195,0.1904761904761905
69,12316.074817691304,Normal,550.0,0.04249665095035188,0.1488095238095238
70,12243.348800763984,Normal,590.0,0.04006864949406069,0.17261904761904764
71,11747.20945039506,Normal,570.0,0.023504741334165247,0.16071428571428573
72,11875.003710938661,Normal,610.0,0.02777122895187173,0.18452380952380956
73,11875.003710938661,Normal,595.0,0.02777122895187173,0.1755952380952381
74,11678.13654310809,Normal,600.0,0.02119870112230221,0.17857142857142858
75,12027.977074675697,Normal,595.0,0.03287833594906192,0.1755952380952381
76,12195.121951219513,Normal,580.0,0.0384585673546341,0.1666666666666667
77,12123.18121973751,Normal,560.0,0.036056783121358627,0.1547619047619048
78,11851.655202165533,Normal,565.0,0.02699172505906211,0.15773809523809526
79,12123.18121973751,Normal,565.0,0.036056783121358627,0.15773809523809526
80,11655.215417518953,Normal,550.0,0.02043346567202481,0.1488095238095238
81,11758.77116137855,Normal,585.0,0.023890735951926145,0.16964285714285718
82,11586.720228212042,Normal,570.0,0.018146712919535624,0.16071428571428573
83,11863.32500527918,Normal,555.0,0.027381328397065363,0.15178571428571433
84,11875.003710938661,Normal,540.0,0.02777122895187173,0.14285714285714288
85,12027.977074675697,Normal,580.0,0.03287833594906192,0.1666666666666667
86,12087.382102696814,Normal,585.0,0.034861608244730724,0.16964285714285718
87,12004.29753851879,Normal,610.0,0.03208778050958655,0.18452380952380956
88,12027.977074675697,Normal,570.0,0.03287833594906192,0.16071428571428573
89,11575.346826329283,Normal,570.0,0.017767005113429324,0.16071428571428573
90,11439.78895877329,Normal,555.0,0.01324132484461149,0.15178571428571433
91,11863.32500527918,Normal,560.0,0.027381328397065363,0.1547619047619048
92,11770.3279448772,Normal,570.0,0.024276566062666316,0.16071428571428573
93,11875.003710938661,Normal,570.0,0.02777122895187173,0.16071428571428573
94,11839.994316802728,Normal,535.0,0.026602419445490133,0.1398809523809524
95,11921.835676570136,Normal,535.0,0.02933474205981268,0.1398809523809524
96,11473.52140729624,Normal,615.0,0.014367502760003759,0.18750000000000003
97,11473.52140729624,Normal,610.0,0.014367502760003759,0.18452380952380956
98,11666.664722222547,Normal,630.0,0.020815707539080852,0.19642857142857148
99,11439.78895877329,Normal,595.0,0.01324132484461149,0.1755952380952381
100,11328.12013244838,Normal,580.0,0.009513194467140496,0.1666666666666667
101,11575.346826329283,Normal,580.0,0.017767005113429324,0.1666666666666667
102,11428.57142857143,Normal,555.0,0.012866820907549648,0.15178571428571433
103,11666.664722222547,Normal,560.0,0.020815707539080852,0.1547619047619048
104,11875.003710938661,Normal,555.0,0.02777122895187173,0.15178571428571433
105,11770.3279448772,Normal,560.0,0.024276566062666316,0.1547619047619048
106,11428.57142857143,Normal,540.0,0.012866820907549648,0.14285714285714288
107,11805.107125444609,Normal,550.0,0.025437689751740045,0.1488095238095238
108,11518.653884032496,Normal,550.0,0.015874277417430305,0.1488095238095238
109,11283.790721790243,Normal,535.0,0.008033230649762024,0.1398809523809524
110,11261.679769631077,Normal,535.0,0.007295043322713801,0.1398809523809524
111,11394.985522670893,Normal,570.0,0.011745535405019547,0.16071428571428573
112,11272.724403306516,Normal,560.0,0.007663775006108042,0.1547619047619048
113,11655.215417518953,Normal,570.0,0.02043346567202481,0.16071428571428573
114,11428.57142857143,Normal,535.0,0.012866820907549648,0.1398809523809524
115,11747.20945039506,Normal,510.0,0.023504741334165247,0.12500000000000003
116,11563.982357988516,Normal,955.0,0.017387595558951252,0.38988095238095244
117,11875.003710938661,Normal,1400.0,0.02777122895187173,0.6547619047619048
118,11473.52140729624,Normal,300.0,0.014367502760003759,0.0
119,11383.816766085334,Normal,680.0,0.011372659804231466,0.22619047619047625
120,11406.163206226855,Normal,495.0,0.012118709038039466,0.11607142857142858
121,11609.493779633232,Normal,325.0,0.01890702151818796,0.014880952380952384
122,11758.77116137855,Normal,530.0,0.023890735951926145,0.13690476190476195
123,11643.761447272971,Normal,650.0,0.020051068043053177,0.20833333333333334
124,11747.20945039506,Normal,1010.0,0.023504741334165247,0.42261904761904767
125,11541.293594351231,Normal,490.0,0.01663011765104072,0.11309523809523811
126,11507.347441341297,Normal,460.0,0.015496805083875465,0.09523809523809526
127,11206.628945153638,Normal,565.0,0.00545713870963932,0.15773809523809526
128,11428.57142857143,Normal,350.0,0.012866820907549648,0.029761904761904767
129,11184.681460272011,Normal,615.0,0.004724408835160232,0.18750000000000003
130,11462.263934674265,Normal,515.0,0.013991665321420654,0.1279761904761905
131,11406.163206226855,Normal,517.5,0.012118709038039466,0.12946428571428573
132,11620.907406933964,Normal,520.0,0.019288072273867807,0.13095238095238096
133,11666.664722222547,Normal,620.0,0.020815707539080852,0.1904761904761905
134,11462.263934674265,Normal,520.0,0.013991665321420654,0.13095238095238096
135,11586.720228212042,Normal,455.0,0.018146712919535624,0.0922619047619048
136,11151.864982140289,Normal,580.0,0.003628811137656729,0.1666666666666667
137,11339.244103309586,Normal,680.0,0.009884574869806262,0.22619047619047625
138,11151.864982140289,Normal,1037.5,0.003628811137656729,0.43898809523809523
139,11328.12013244838,Normal,1395.0,0.009513194467140496,0.6517857142857143
140,11383.816766085334,Normal,665.0,0.011372659804231466,0.2172619047619048
141,11507.347441341297,Normal,575.0,0.015496805083875465,0.1636904761904762
142,11609.493779633232,Normal,345.0,0.01890702151818796,0.0267857142857143
143,11417.362840365859,Normal,830.0,0.01249261550436781,0.31547619047619047
144,11228.612300720202,Normal,580.0,0.006191066148331981,0.1666666666666667
145,11261.679769631077,Normal,570.0,0.007295043322713801,0.16071428571428573
146,11086.511374206344,Normal,595.0,0.0014469419532618377,0.1755952380952381
147,11162.794851272503,Normal,560.0,0.003993711338318218,0.1547619047619048
148,11507.347441341297,Normal,575.0,0.015496805083875465,0.1636904761904762
149,11507.347441341297,Normal,575.0,0.015496805083875465,0.1636904761904762
150,11507.347441341297,Normal,590.0,0.015496805083875465,0.17261904761904764
151,11228.612300720202,Normal,620.0,0.006191066148331981,0.1904761904761905
152,11484.78782428734,Normal,615.0,0.014743638811685389,0.18750000000000003
153,11217.616144393156,Normal,590.0,0.005823952910130603,0.17261904761904764
154,11119.129238751053,Normal,595.0,0.0025359088176895583,0.1755952380952381
155,11043.171068658707,Normal,610.0,0.0,0.18452380952380956
156,11317.017965766021,Normal,590.0,0.009142542009991705,0.17261904761904764
157,11383.816766085334,Normal,550.0,0.011372659804231466,0.1488095238095238
158,11609.493779633232,Normal,555.0,0.01890702151818796,0.15178571428571433
159,11328.12013244838,Normal,525.0,0.009513194467140496,0.13392857142857148
160,11361.50608124613,Normal,555.0,0.01062780428251936,0.15178571428571433
161,11632.329967324786,Normal,585.0,0.019669421266088893,0.16964285714285718
162,11484.78782428734,Normal,330.0,0.014743638811685389,0.017857142857142877
163,11272.724403306516,Normal,555.0,0.007663775006108042,0.15178571428571433
164,11507.347441341297,Normal,540.0,0.015496805083875465,0.14285714285714288
165,11747.20945039506,Normal,545.0,0.023504741334165247,0.14583333333333334
166,11758.77116137855,Normal,350.0,0.023890735951926145,0.029761904761904767
167,11851.655202165533,Normal,560.0,0.02699172505906211,0.1547619047619048
