df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,rr_int
11.115,6445
11.259,10
11.797,195
11.942,535
11.960,185
12.240,15
12.245,15
12.256,20
12.533,25
12.770,475
13.211,185
13.217,525
13.355,15
13.358,140
13.501,115
13.505,10
13.599,10
13.602,10
13.605,10
14.720,400
14.723,730
14.866,10
15.403,175
15.451,585
15.696,10
16.280,195
17.109,610
17.255,785
17.791,220
17.938,550
18.480,150
19.206,605
19.211,700
20.034,10
20.573,715
21.399,665
21.545,815
21.553,140
21.691,20
21.698,45
21.742,15
21.760,10
21.860,10
21.935,185
21.939,10
21.942,10
22.082,25
22.910,255
22.913,745
22.959,10
23.641,100
23.788,645
24.324,160
25.153,590
25.163,755
25.835,10
25.981,745
25.985,160
26.030,10
26.128,10
26.131,15
26.176,10
26.181,10
26.184,10
26.567,15
27.252,435
28.078,680
28.224,795
28.228,170
28.324,75
28.328,15
28.622,10
29.628,290
29.641,1015
29.686,10
29.735,15
29.739,105
29.881,205
30.176,240
30.564,455
31.393,10
31.542,775
31.751,215
31.783,30
32.135,15
32.271,515
32.379,160
32.421,15
32.432,40
32.442,20
32.953,25
33.635,475
33.639,755
33.782,10
34.317,155
34.464,580
34.610,160
34.613,15
34.760,10
35.052,25
35.098,510
35.292,10
35.298,165
35.439,80
35.750,15
36.414,410
36.418,710
36.706,10
37.097,175
37.100,495
37.829,10
37.979,700
37.991,10
38.023,130
38.071,15
38.075,20
38.120,30
38.124,15
38.127,10
38.220,15
38.559,15
39.193,415
39.198,700
39.875,10
40.168,730
40.753,180
40.851,590
41.435,200
41.582,555
42.131,130
42.946,590
42.951,740
43.239,10
43.921,360
44.360,680
44.604,420
45.189,245
45.871,515
45.876,745
46.700,10
46.846,770
46.850,155
46.895,10
46.898,70
46.903,10
47.041,10
47.045,10
47.382,10
47.529,470
48.163,195
48.797,525
49.480,730
49.771,735
49.775,160
50.307,80
50.990,470
51.137,720
51.721,150
52.404,575
52.702,735
52.953,290
53.090,365
53.093,10
54.598,1045
54.652,450
54.744,130
54.747,20
54.795,10
55.182,15
55.186,485
55.865,10
55.869,705
56.161,10
56.207,165
56.210,10
56.213,75
56.217,10
56.596,10
56.600,415
57.425,10
57.572,735
58.109,245
58.302,465
58.306,185
58.351,10
58.355,25
58.358,15
58.410,10
58.805,10
59.472,430
60.204,705
60.889,730
60.935,730
61.569,10
61.861,695
62.311,255
62.398,480
63.085,155
63.129,585
63.226,10
63.237,145
63.275,20
63.279,25
63.282,20
63.327,10
63.330,10
63.377,15
63.811,30
63.814,405
64.359,10
64.494,675
65.176,10
65.180,705
65.907,10
65.911,700
66.054,10
66.057,155
66.590,70
66.736,480
67.273,160
67.957,580
68.247,755
68.254,160
68.296,15
68.302,15
68.307,15
68.784,15
69.515,550
70.197,705
70.908,750
70.931,695
71.176,10
71.221,245
71.226,15
71.233,10
71.611,15
72.440,425
73.122,735
73.415,775
73.805,255
73.808,475
74.634,10
74.780,740
74.785,170
74.940,60
75.024,20
75.317,20
76.063,465
76.876,750
76.884,745
77.037,10
77.071,185
77.075,15
77.078,15
77.559,15
78.388,545
78.534,785
78.538,165
78.542,15
79.119,20
79.270,580
79.947,10
80.776,785
81.605,800
82.288,795
82.434,785
83.116,150
83.262,635
83.267,165
83.799,15
83.808,590
83.945,10
84.627,150
84.630,595
84.774,10
85.359,155
85.408,595
85.505,10
86.045,135
86.090,590
86.334,10
86.337,160
86.340,15
86.870,75
86.873,465
87.552,10
87.698,695
88.137,155
88.820,525
88.823,680
89.016,10
89.502,145
89.505,560
89.798,10
89.824,170
89.832,10
90.353,25
90.477,515
91.160,170
91.165,685
92.427,10
92.431,1335
93.987,10
93.991,1515
94.085,10
94.088,135
94.133,20
94.236,15
94.296,15
94.306,15
94.331,20
94.377,55
94.381,45
94.385,35
94.670,20
94.673,300
95.392,10
95.648,690
96.040,10
96.327,700
96.766,200
96.771,485
97.448,10
97.595,730
97.741,280
97.744,10
98.131,400
98.813,15
98.817,700
99.107,10
99.123,150
99.127,20
99.155,10
99.158,15
99.161,10
99.164,10
99.545,20
99.643,465
100.373,10
100.377,735
100.520,10
100.523,135
100.582,10
100.590,15
100.596,20
100.620,10
101.056,10
101.740,535
101.836,690
101.890,10
102.083,195
102.088,20
102.091,10
102.470,15
102.473,490
103.306,10
103.396,760
103.415,10
103.447,160
103.454,10
103.457,15
103.460,25
103.553,10
103.643,10
103.981,10
104.810,530
105.010,790
105.102,185
105.108,10
105.154,20
105.164,15
105.168,15
105.171,15
105.236,15
105.346,265
105.349,15
105.492,10
105.495,15
105.498,165
106.324,770
106.760,10
106.766,390
106.909,15
106.915,15
107.053,30
107.735,305
107.738,705
108.274,10
108.279,410
108.418,10
109.100,255
109.106,700
109.831,10
109.838,715
109.936,10
110.514,40
110.520,635
110.677,10
110.806,105
110.812,120
110.855,15
110.861,10
110.866,15
110.880,25
110.953,30
110.960,15
110.965,15
110.970,15
111.781,270
112.171,610
112.177,325
112.317,10
112.320,125
112.466,65
113.250,10
113.441,780
113.585,15
