df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,acc_mag
4.430,1.029
4.460,1.036
4.490,1.038
4.520,1.044
4.550,1.044
4.580,1.041
4.610,1.039
4.640,1.045
4.670,1.039
4.700,1.040
4.730,1.043
4.760,1.038
4.790,1.042
4.820,1.041
4.850,1.043
4.880,1.041
4.910,1.035
4.940,1.031
4.970,1.040
5.000,1.035
5.030,1.037
5.060,1.041
5.090,1.041
5.120,1.040
5.150,1.037
5.180,1.037
5.210,1.038
5.240,1.042
5.270,1.044
5.300,1.046
5.330,1.038
5.360,1.042
5.390,1.037
5.420,1.040
5.450,1.041
5.480,1.039
5.510,1.036
5.540,1.035
5.570,1.038
5.600,1.038
5.630,1.037
5.660,1.036
5.690,1.042
5.720,1.044
5.750,1.040
5.780,1.043
5.810,1.039
5.840,1.035
5.870,1.037
5.900,1.037
5.930,1.041
5.960,1.042
5.990,1.038
6.020,1.033
6.050,1.035
6.080,1.035
6.110,1.038
6.140,1.043
6.170,1.036
6.200,1.038
6.230,1.043
6.260,1.035
6.290,1.041
6.320,1.040
6.350,1.039
6.380,1.034
6.410,1.042
6.440,1.041
6.470,1.038
6.500,1.040
6.530,1.038
6.560,1.037
6.590,1.036
6.620,1.038
6.650,1.041
6.680,1.040
6.710,1.040
6.740,1.040
6.770,1.039
6.800,1.036
6.830,1.036
6.860,1.042
6.890,1.036
6.920,1.040
6.950,1.038
6.980,1.043
7.010,1.037
7.040,1.041
7.070,1.043
7.100,1.038
7.130,1.036
7.160,1.036
7.190,1.040
7.220,1.040
7.250,1.035
7.280,1.037
7.310,1.035
7.340,1.034
7.370,1.037
7.400,1.037
7.430,1.042
7.460,1.038
7.490,1.044
7.520,1.046
7.550,1.033
7.580,1.041
7.610,1.041
7.640,1.053
7.670,1.044
7.700,1.034
7.730,1.037
7.760,1.042
7.790,1.043
7.820,1.045
7.850,1.039
7.880,1.039
7.910,1.039
7.940,1.042
7.970,1.039
8.000,1.032
8.030,1.026
8.060,1.034
8.090,1.032
8.120,1.034
8.150,1.025
8.180,1.027
8.210,1.031
8.240,1.037
8.270,1.035
8.300,1.033
8.330,1.038
8.360,1.036
8.390,1.033
8.420,1.031
8.450,1.036
8.480,1.034
8.510,1.028
8.540,1.035
8.570,1.034
8.600,1.029
8.630,1.032
8.660,1.037
8.690,1.037
8.720,1.034
8.750,1.038
8.780,1.040
8.810,1.035
8.840,1.031
8.870,1.036
8.900,1.029
8.930,1.032
8.960,1.033
8.990,1.033
9.020,1.036
9.050,1.033
9.080,1.032
9.110,1.036
9.140,1.031
9.170,1.033
9.200,1.035
9.230,1.039
9.260,1.039
9.290,1.034
9.320,1.037
9.350,1.038
9.380,1.035
9.410,1.039
9.440,1.035
9.470,1.033
9.500,1.036
9.530,1.034
9.560,1.032
9.590,1.029
9.620,1.035
9.650,1.040
9.680,1.034
9.710,1.036
9.740,1.036
9.770,1.040
9.800,1.033
9.830,1.035
9.860,1.036
9.890,1.034
9.920,1.039
9.950,1.034
9.980,1.036
10.010,1.036
10.040,1.034
10.070,1.038
10.100,1.033
10.130,1.033
10.160,1.033
10.190,1.031
10.220,1.037
10.250,1.033
10.280,1.035
10.310,1.030
10.340,1.033
10.370,1.036
10.400,1.042
10.430,1.036
10.460,1.035
10.490,1.039
10.520,1.030
10.550,1.036
10.580,1.033
10.610,1.035
10.640,1.037
10.670,1.033
10.700,1.034
10.730,1.034
10.760,1.037
10.790,1.034
10.820,1.033
10.850,1.036
10.880,1.035
10.910,1.037
10.940,1.034
10.970,1.031
11.000,1.032
11.030,1.035
11.060,1.037
11.090,1.039
11.120,1.039
11.150,1.040
11.180,1.035
11.210,1.037
11.240,1.035
11.270,1.038
11.300,1.029
11.330,1.030
11.360,1.038
11.390,1.032
11.420,1.031
11.450,1.038
11.480,1.034
11.510,1.032
11.540,1.039
11.570,1.041
11.600,1.037
11.630,1.036
11.660,1.033
11.690,1.034
11.720,1.034
11.750,1.038
11.780,1.038
11.810,1.038
11.840,1.038
11.870,1.033
11.900,1.034
11.930,1.031
11.960,1.032
11.990,1.031
12.020,1.038
12.050,1.027
12.080,1.026
12.110,1.035
12.140,1.041
12.170,1.043
12.200,1.033
12.230,1.039
12.260,1.036
12.290,1.032
12.320,1.030
12.350,1.030
12.380,1.034
12.410,1.033
12.440,1.031
12.470,1.033
12.500,1.030
12.530,1.032
12.560,1.034
12.590,1.033
12.620,1.038
12.650,1.036
12.680,1.038
12.710,1.029
12.740,1.032
12.770,1.034
12.800,1.037
12.830,1.043
12.860,1.038
12.890,1.032
12.920,1.036
12.950,1.030
12.980,1.039
13.010,1.036
13.040,1.030
13.070,1.028
13.100,1.032
13.130,1.038
13.160,1.036
13.190,1.035
13.220,1.032
13.250,1.035
13.280,1.038
13.310,1.038
13.340,1.038
13.370,1.037
13.400,1.039
13.430,1.038
13.460,1.029
13.490,1.036
13.520,1.038
13.550,1.034
13.580,1.033
13.610,1.029
13.640,1.040
13.670,1.036
13.700,1.035
13.730,1.040
13.760,1.030
13.790,1.034
