df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,acc_mag
4.589,1.015
4.619,1.017
4.649,1.016
4.679,1.018
4.709,1.020
4.739,1.014
4.769,1.015
4.799,1.019
4.829,1.017
4.859,1.022
4.889,1.017
4.919,1.020
4.949,1.015
4.979,1.018
5.009,1.022
5.039,1.020
5.069,1.018
5.099,1.017
5.129,1.016
5.159,1.014
5.189,1.021
5.219,1.021
5.249,1.019
5.279,1.021
5.309,1.020
5.339,1.017
5.369,1.018
5.399,1.013
5.429,1.019
5.459,1.020
5.489,1.022
5.519,1.009
5.549,1.015
5.579,1.020
5.609,1.021
5.639,1.023
5.669,1.015
5.699,1.010
5.729,1.019
5.759,1.021
5.789,1.025
5.819,1.018
5.849,1.010
5.879,1.017
5.909,1.029
5.939,1.015
5.969,1.018
5.999,1.018
6.029,1.016
6.059,1.010
6.089,1.021
6.119,1.024
6.149,1.022
6.179,1.017
6.209,1.017
6.239,1.016
6.269,1.020
6.299,1.022
6.329,1.018
6.359,1.015
6.389,1.014
6.419,1.024
6.449,1.016
6.479,1.021
6.509,1.015
6.539,1.011
6.569,1.015
6.599,1.021
6.629,1.021
6.659,1.019
6.689,1.018
6.719,1.005
6.749,1.020
6.779,1.023
6.809,1.013
6.839,1.017
6.869,1.016
6.899,1.016
6.929,1.012
6.959,1.021
6.989,1.021
7.019,1.018
7.049,1.018
7.079,1.019
7.109,1.016
7.139,1.017
7.169,1.017
7.199,1.020
7.229,1.014
7.259,1.023
7.289,1.010
7.319,1.021
7.349,1.020
7.379,1.015
7.409,1.020
7.439,1.014
7.469,1.014
7.499,1.020
7.529,1.018
7.559,1.017
7.589,1.012
7.619,1.020
7.649,1.020
7.679,1.014
7.709,1.014
7.739,1.021
7.769,1.019
7.799,1.019
7.829,1.017
7.859,1.018
7.889,1.019
7.919,1.017
7.949,1.010
7.979,1.018
8.009,1.021
8.039,1.019
8.069,1.020
8.099,1.016
8.129,1.020
8.159,1.019
8.189,1.014
8.219,1.023
8.249,1.014
8.279,1.016
8.309,1.022
8.339,1.020
8.369,1.017
8.399,1.021
8.429,1.021
8.459,1.013
8.489,1.016
8.519,1.020
8.549,1.014
8.579,1.014
8.609,1.018
8.639,1.018
8.669,1.023
8.699,1.021
8.729,1.020
8.759,1.021
8.789,1.014
8.819,1.017
8.849,1.014
8.879,1.015
8.909,1.018
8.939,1.024
8.969,1.025
8.999,1.020
9.029,1.013
9.059,1.020
9.089,1.011
9.119,1.021
9.149,1.018
9.179,1.019
9.209,1.019
9.239,1.019
9.269,1.023
9.299,1.025
9.329,1.017
9.359,1.015
9.389,1.018
9.419,1.023
9.449,1.017
9.479,1.019
9.509,1.018
9.539,1.015
9.569,1.016
9.599,1.021
9.629,1.022
9.659,1.023
9.689,1.019
9.719,1.017
9.749,1.015
9.779,1.014
9.809,1.021
9.839,1.019
9.869,1.021
9.899,1.011
9.929,1.020
9.959,1.020
9.989,1.019
10.019,1.024
10.049,1.017
10.079,1.013
10.109,1.016
10.139,1.015
10.169,1.025
10.199,1.026
10.229,1.016
10.259,1.021
10.289,1.023
10.319,1.013
10.349,1.016
10.379,1.019
10.409,1.016
10.439,1.020
10.469,1.020
10.499,1.021
10.529,1.019
10.559,1.019
10.589,1.016
10.619,1.018
10.649,1.018
10.679,1.017
10.709,1.021
10.739,1.011
10.769,1.021
10.799,1.018
10.829,1.021
10.859,1.020
10.889,1.014
10.919,1.016
10.949,1.015
10.979,1.020
11.009,1.021
11.039,1.021
11.069,1.011
11.099,1.016
11.129,1.021
11.159,1.018
11.189,1.017
11.219,1.018
11.249,1.016
11.279,1.017
11.309,1.022
11.339,1.021
11.369,1.021
11.399,1.016
11.429,1.017
11.459,1.019
11.489,1.015
11.519,1.013
11.549,1.023
11.579,1.020
11.609,1.023
11.639,1.022
11.669,1.017
11.699,1.025
11.729,1.018
11.759,1.013
11.789,1.012
11.819,1.015
11.849,1.021
11.879,1.023
11.909,1.024
11.939,1.012
11.969,1.023
11.999,1.022
12.029,1.015
12.059,1.011
12.089,1.020
12.119,1.021
12.149,1.017
12.179,1.019
12.209,1.018
12.239,1.020
12.269,1.019
12.299,1.019
12.329,1.025
12.359,1.018
12.389,1.015
12.419,1.020
12.449,1.020
12.479,1.012
12.509,1.021
12.539,1.013
12.569,1.018
12.599,1.022
12.629,1.019
12.659,1.018
12.689,1.021
12.719,1.017
12.749,1.019
12.779,1.020
12.809,1.021
12.839,1.012
12.869,1.021
12.899,1.018
12.929,1.017
12.959,1.014
12.989,1.017
13.019,1.023
13.049,1.019
13.079,1.021
13.109,1.021
13.139,1.017
13.169,1.016
13.199,1.016
13.229,1.016
13.259,1.022
13.289,1.013
13.319,1.018
13.349,1.021
13.379,1.018
13.409,1.015
13.439,1.021
13.469,1.017
13.499,1.018
13.529,1.024
13.559,1.014
13.589,1.015
13.619,1.021
13.649,1.022
13.679,1.021
13.709,1.016
13.739,1.017
13.769,1.015
13.799,1.021
13.829,1.021
13.859,1.018
13.889,1.021
13.919,1.015
13.949,1.014
