df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,battery
6.535,82
16.578,82
26.575,82
36.567,82
46.559,82
56.557,82
66.644,82
76.540,82
86.534,82
96.533,82
106.668,82
116.564,82
126.558,82
136.552,82
146.546,82
156.637,82
166.533,82
176.528,82
186.521,81
196.661,81
206.557,81
216.561,81
226.545,81
236.636,81
246.631,81
256.526,81
266.520,81
276.514,81
286.508,81
296.502,81
306.544,81
316.538,81
326.531,81
336.533,81
346.524,81
356.514,81
366.548,81
376.501,81
386.495,81
396.489,81
406.531,81
416.525,81
426.519,81
436.519,81
446.506,81
456.500,81
466.523,80
476.488,80
486.482,80
