df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,acc_mag
3.660,0.946
3.690,0.947
3.720,0.949
3.750,0.952
3.780,0.957
3.810,0.951
3.840,0.948
3.870,0.938
3.900,0.937
3.930,0.945
3.960,0.942
3.990,0.950
4.020,0.952
4.050,0.946
4.080,0.939
4.110,0.951
4.140,0.943
4.170,0.945
4.200,0.947
4.230,0.948
4.260,0.951
4.290,0.952
4.320,0.952
4.350,0.948
4.380,0.947
4.410,0.950
4.440,0.945
4.470,0.948
4.500,0.949
4.530,0.947
4.560,0.943
4.590,0.949
4.620,0.947
4.650,0.948
4.680,0.948
4.710,0.944
4.740,0.950
4.770,0.946
4.800,0.947
4.830,0.949
4.860,0.938
4.890,0.948
4.920,0.953
4.950,0.953
4.980,0.948
5.010,0.944
5.040,0.944
5.070,0.943
5.100,0.951
5.130,0.949
5.160,0.950
5.190,0.949
5.220,0.944
5.250,0.948
5.280,0.949
5.310,0.947
5.340,0.947
5.370,0.946
5.400,0.948
5.430,0.948
5.460,0.946
5.490,0.946
5.520,0.939
5.550,0.954
5.580,0.954
5.610,0.951
5.640,0.948
5.670,0.942
5.700,0.945
5.730,0.944
5.760,0.952
5.790,0.950
5.820,0.950
5.850,0.949
5.880,0.947
5.910,0.947
5.940,0.944
5.970,0.954
6.000,0.950
6.030,0.942
6.060,0.953
6.090,0.952
6.120,0.949
6.150,0.939
6.180,0.945
6.210,0.947
6.240,0.949
6.270,0.948
6.300,0.945
6.330,0.943
6.360,0.948
6.390,0.944
6.420,0.944
6.450,0.951
6.480,0.951
6.510,0.944
6.540,0.950
6.570,0.952
6.600,0.950
6.630,0.942
6.660,0.946
6.690,0.951
6.720,0.944
6.750,0.951
6.780,0.950
6.810,0.943
6.840,0.946
6.870,0.951
6.900,0.944
6.930,0.955
6.960,0.952
6.990,0.948
7.020,0.945
7.050,0.948
7.080,0.947
7.110,0.945
7.140,0.942
7.170,0.955
7.200,0.946
7.230,0.948
7.260,0.949
7.290,0.947
7.320,0.951
7.350,0.949
7.380,0.941
7.410,0.943
7.440,0.947
7.470,0.953
7.500,0.949
7.530,0.943
7.560,0.947
7.590,0.953
7.620,0.947
7.650,0.948
7.680,0.946
7.710,0.952
7.740,0.957
7.770,0.942
7.800,0.945
7.830,0.947
7.860,0.945
7.890,0.948
7.920,0.949
7.950,0.955
7.980,0.953
8.010,0.938
8.040,0.943
8.070,0.950
8.100,0.946
8.130,0.940
8.160,0.949
8.190,0.945
8.220,0.955
8.250,0.953
8.280,0.952
8.310,0.951
8.340,0.948
8.370,0.944
8.400,0.944
8.430,0.945
8.460,0.947
8.490,0.945
8.520,0.944
8.550,0.952
8.580,0.953
8.610,0.944
8.640,0.938
8.670,0.944
8.700,0.949
8.730,0.946
8.760,0.951
8.790,0.957
8.820,0.942
8.850,0.947
8.880,0.951
8.910,0.946
8.940,0.952
8.970,0.956
9.000,0.950
9.030,0.944
9.060,0.946
9.090,0.948
9.120,0.950
9.150,0.949
9.180,0.947
9.210,0.949
9.240,0.946
9.270,0.942
9.300,0.941
9.330,0.947
9.360,0.951
9.390,0.946
9.420,0.948
9.450,0.953
9.480,0.943
9.510,0.948
9.540,0.952
9.570,0.950
9.600,0.951
9.630,0.945
9.660,0.949
9.690,0.946
9.720,0.949
9.750,0.953
9.780,0.947
9.810,0.951
9.840,0.946
9.870,0.948
9.900,0.945
9.930,0.944
9.960,0.950
9.990,0.949
10.020,0.939
10.050,0.952
10.080,0.948
10.110,0.944
10.140,0.942
10.170,0.943
10.200,0.951
10.230,0.962
10.260,0.951
10.290,0.943
10.320,0.943
10.350,0.939
10.380,0.953
10.410,0.948
10.440,0.947
10.470,0.948
10.500,0.954
10.530,0.957
10.560,0.954
10.590,0.946
10.620,0.949
10.650,0.960
10.680,0.955
10.710,0.940
10.740,0.942
10.770,0.932
10.800,0.931
10.830,0.946
10.860,0.952
10.890,0.949
10.920,0.956
10.950,0.958
10.980,0.966
11.010,0.957
11.040,0.960
11.070,0.946
11.100,0.945
11.130,0.944
11.160,0.948
11.190,0.949
11.220,0.955
11.250,0.964
11.280,0.951
11.310,0.960
11.340,0.952
11.370,0.950
11.400,0.948
11.430,0.935
11.460,0.952
11.490,0.945
11.520,0.943
11.550,0.955
11.580,0.953
11.610,0.968
11.640,1.008
11.670,0.986
11.700,0.951
11.730,0.938
11.760,0.936
11.790,0.926
11.820,0.923
11.850,0.938
11.880,0.944
11.910,0.952
11.940,0.953
11.970,0.954
12.000,0.952
12.030,0.948
12.060,0.954
12.090,0.959
12.120,0.961
12.150,0.955
12.180,0.950
12.210,0.958
12.240,0.947
12.270,0.950
12.300,0.952
12.330,0.954
12.360,0.957
12.390,0.963
12.420,0.958
12.450,0.959
12.480,0.965
12.510,0.963
12.540,0.960
12.570,0.960
12.600,0.968
12.630,0.973
12.660,0.959
12.690,0.959
12.720,0.953
12.750,0.956
12.780,0.961
12.810,0.964
12.840,0.966
12.870,0.964
12.900,0.957
12.930,0.955
12.960,0.957
12.990,0.946
13.020,0.955
13.050,0.962
