df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,perfusion_ir
25.275,0.360
26.038,0.360
26.668,0.360
27.548,0.360
28.329,0.360
28.772,0.360
30.235,0.360
30.825,0.360
31.644,0.360
32.229,0.360
35.750,0.360
36.424,0.360
37.104,0.360
37.890,0.360
38.566,0.350
39.298,0.350
43.441,0.350
44.175,0.350
46.318,0.350
46.906,0.350
47.533,0.350
48.174,0.350
48.909,0.350
49.633,0.350
50.413,0.350
51.095,0.350
51.780,0.350
52.558,0.350
53.338,0.350
53.776,0.350
54.461,0.350
55.141,0.350
55.726,0.350
56.409,0.340
57.286,0.340
58.069,0.350
58.797,0.350
59.578,0.350
60.309,0.350
60.991,0.350
61.723,0.360
62.405,0.360
63.185,0.360
63.868,0.360
64.499,0.350
65.038,0.350
65.725,0.350
66.501,0.350
67.185,0.350
67.914,0.350
68.649,0.350
69.230,0.350
69.913,0.350
70.745,0.350
71.619,0.350
72.068,0.350
72.841,0.350
73.526,0.350
74.203,0.350
74.990,0.350
75.714,0.350
78.441,0.350
78.929,0.350
80.983,0.350
81.711,0.350
82.393,0.350
83.124,0.350
83.806,0.350
84.489,0.350
85.270,0.350
87.123,0.340
87.804,0.340
88.535,0.330
89.337,0.330
90.046,0.330
90.729,0.330
91.560,0.330
92.105,0.330
92.927,0.330
93.508,0.330
94.236,0.330
95.120,0.330
95.604,0.330
96.528,0.330
97.210,0.330
97.811,0.330
98.673,0.330
99.379,0.330
100.135,0.330
100.772,0.330
101.455,0.330
102.137,0.330
102.868,0.330
103.648,0.330
104.432,0.330
105.062,0.330
105.741,0.330
106.573,0.320
107.307,0.320
108.133,0.330
108.815,0.330
109.449,0.320
110.193,0.330
110.912,0.320
111.641,0.320
112.132,0.320
112.866,0.320
113.544,0.320
114.233,0.320
115.104,0.320
115.787,0.320
116.616,0.320
117.298,0.320
118.130,0.320
118.953,0.330
119.637,0.330
120.234,0.330
120.905,0.330
121.638,0.330
122.318,0.330
123.099,0.330
123.833,0.330
124.611,0.340
125.244,0.340
126.024,0.340
126.614,0.340
127.587,0.340
128.218,0.340
128.852,0.340
129.694,0.340
130.364,0.340
131.197,0.340
131.826,0.340
132.652,0.340
134.702,0.330
135.499,0.330
137.042,0.330
139.002,0.330
145.524,0.340
145.965,0.340
146.650,0.340
147.384,0.340
148.157,0.330
148.891,0.330
149.522,0.330
150.253,0.340
150.985,0.340
151.664,0.330
152.447,0.330
153.033,0.330
153.858,0.330
154.638,0.330
155.372,0.330
156.201,0.330
156.832,0.330
157.518,0.330
158.443,0.330
159.617,0.330
163.074,0.330
163.761,0.330
164.586,0.330
165.366,0.330
166.051,0.330
166.679,0.330
167.218,0.330
167.958,0.330
168.630,0.330
170.036,0.330
170.826,0.330
171.411,0.330
172.065,0.330
172.776,0.330
173.556,0.320
174.190,0.320
174.969,0.320
175.600,0.320
176.383,0.320
177.120,0.320
177.895,0.320
178.579,0.320
179.309,0.320
180.137,0.320
180.730,0.320
181.502,0.320
182.233,0.320
182.918,0.320
183.647,0.320
184.183,0.320
184.872,0.330
185.597,0.330
186.231,0.330
186.913,0.330
187.544,0.330
188.186,0.330
188.912,0.330
189.643,0.330
190.424,0.330
191.106,0.330
191.702,0.330
192.520,0.330
193.349,0.320
194.031,0.320
194.613,0.320
195.296,0.320
196.225,0.310
196.727,0.310
197.382,0.320
198.028,0.320
198.811,0.310
199.439,0.310
200.271,0.310
200.758,0.310
201.490,0.310
202.096,0.310
203.199,0.310
203.586,0.310
204.260,0.310
205.000,0.300
205.631,0.300
206.234,0.300
206.852,0.300
207.635,0.300
208.315,0.300
209.053,0.300
209.629,0.300
210.509,0.300
211.045,0.300
211.635,0.300
214.993,0.300
215.481,0.300
216.167,0.300
216.849,0.290
217.529,0.300
218.260,0.300
219.040,0.300
219.629,0.300
220.210,0.300
220.995,0.300
221.575,0.300
222.413,0.310
223.037,0.310
223.669,0.310
224.448,0.310
224.993,0.310
225.969,0.310
226.453,0.320
227.181,0.310
227.827,0.310
228.546,0.320
229.184,0.320
230.009,0.320
230.640,0.320
231.273,0.320
231.861,0.320
233.324,0.320
233.961,0.320
234.637,0.320
235.420,0.320
236.054,0.320
239.222,0.320
250.684,0.320
251.651,0.320
262.675,0.320
263.354,0.320
264.552,0.320
268.521,0.320
271.739,0.330
272.519,0.330
276.809,0.320
277.635,0.330
278.025,0.330
278.643,0.330
281.586,0.330
282.129,0.340
282.754,0.340
285.051,0.340
287.409,0.340
288.119,0.350
294.940,0.350
297.110,0.350
297.580,0.350
298.941,0.340
299.670,0.340
300.453,0.340
301.138,0.340
304.501,0.330
306.254,0.340
308.141,0.340
320.197,0.340
320.880,0.330
321.321,0.320
322.014,0.320
322.729,0.320
323.518,0.320
324.203,0.310
324.831,0.320
325.606,0.320
326.193,0.320
326.875,0.320
327.458,0.320
330.194,0.320
331.322,0.320
333.405,0.320
334.919,0.320
336.731,0.320
337.552,0.320
338.137,0.320
338.776,0.310
338.946,0.310
341.449,0.320
351.690,0.320
352.226,0.320
352.957,0.320
