df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,omega
25.304,0.836
26.041,0.835
26.672,0.836
27.552,0.837
28.332,0.840
28.777,0.843
30.239,0.843
30.868,0.843
31.648,0.840
32.330,0.837
35.768,0.840
36.434,0.840
37.107,0.842
37.893,0.849
38.573,0.855
39.301,0.855
43.444,0.850
44.185,0.850
46.320,0.850
46.910,0.850
47.536,0.850
48.177,0.850
48.918,0.853
49.635,0.853
50.415,0.853
51.098,0.853
51.783,0.856
52.560,0.856
53.341,0.856
53.780,0.856
54.464,0.856
55.144,0.856
55.824,0.844
56.412,0.844
57.289,0.836
58.072,0.836
58.800,0.828
59.580,0.828
60.312,0.828
60.994,0.824
61.739,0.824
62.408,0.823
63.189,0.809
63.870,0.797
64.502,0.797
65.041,0.797
65.729,0.797
66.509,0.797
67.190,0.797
67.917,0.793
68.657,0.793
69.233,0.794
69.917,0.793
70.788,0.793
71.623,0.793
72.107,0.796
72.848,0.796
73.534,0.797
74.207,0.798
74.997,0.799
75.719,0.801
78.445,0.805
78.933,0.805
81.130,0.808
81.714,0.805
82.396,0.808
83.128,0.812
83.810,0.812
84.495,0.805
85.275,0.814
87.140,0.821
87.811,0.821
88.538,0.821
89.343,0.817
90.051,0.821
90.733,0.821
91.566,0.823
92.111,0.823
92.932,0.822
93.605,0.824
94.240,0.820
95.124,0.816
95.607,0.818
96.532,0.818
97.213,0.822
97.847,0.822
98.677,0.818
99.602,0.818
100.140,0.818
100.775,0.818
101.460,0.816
102.140,0.818
102.872,0.822
103.651,0.822
104.437,0.822
105.066,0.824
105.745,0.824
106.576,0.824
107.311,0.824
108.136,0.821
108.820,0.824
109.454,0.826
110.200,0.826
110.915,0.824
111.644,0.826
112.138,0.820
112.869,0.820
113.551,0.820
114.244,0.820
115.108,0.815
115.790,0.815
116.620,0.812
117.302,0.811
118.370,0.811
118.956,0.810
119.642,0.810
120.467,0.805
120.911,0.805
121.642,0.811
122.417,0.805
123.106,0.805
123.837,0.799
124.616,0.799
125.250,0.798
126.029,0.798
126.621,0.798
127.592,0.798
128.221,0.797
128.857,0.797
129.705,0.797
130.461,0.796
131.201,0.796
131.832,0.796
132.655,0.798
134.707,0.805
135.503,0.798
137.046,0.804
139.238,0.804
145.528,0.812
145.972,0.826
146.654,0.825
147.390,0.825
148.161,0.825
148.898,0.825
149.527,0.825
150.257,0.825
151.082,0.809
151.668,0.809
152.451,0.825
153.037,0.825
153.861,0.825
154.642,0.826
155.378,0.826
156.206,0.825
156.838,0.825
157.615,0.825
158.447,0.825
159.621,0.825
163.078,0.825
163.854,0.824
164.589,0.824
165.369,0.815
166.057,0.815
166.683,0.798
167.222,0.798
167.964,0.815
168.644,0.815
170.095,0.830
170.831,0.815
171.414,0.830
172.081,0.815
172.781,0.806
173.560,0.799
174.193,0.806
174.973,0.808
175.604,0.806
176.393,0.803
177.126,0.802
177.899,0.800
178.591,0.800
179.319,0.800
180.141,0.801
180.777,0.801
181.505,0.801
182.236,0.801
183.062,0.801
183.654,0.801
184.188,0.801
184.877,0.801
185.601,0.801
186.234,0.801
186.917,0.803
187.548,0.804
188.189,0.803
188.919,0.801
189.647,0.801
190.430,0.801
191.118,0.799
191.708,0.801
192.523,0.802
193.353,0.802
194.034,0.799
194.617,0.802
195.299,0.805
196.231,0.808
196.730,0.805
197.392,0.809
198.032,0.808
198.818,0.810
199.443,0.810
200.276,0.812
200.762,0.812
201.493,0.812
202.124,0.812
203.203,0.812
203.592,0.812
204.264,0.812
205.005,0.812
205.637,0.816
206.267,0.812
206.858,0.810
207.639,0.812
208.320,0.812
209.070,0.810
209.632,0.810
210.512,0.810
211.048,0.810
211.642,0.811
214.998,0.813
215.487,0.811
216.170,0.811
216.853,0.809
217.532,0.807
218.264,0.807
219.045,0.807
219.635,0.804
220.213,0.806
221.136,0.806
221.580,0.804
222.644,0.808
223.042,0.808
223.676,0.804
224.454,0.804
224.997,0.804
225.973,0.804
226.457,0.808
227.185,0.804
227.844,0.804
228.550,0.804
229.226,0.804
230.014,0.801
230.643,0.804
231.289,0.804
231.866,0.804
233.329,0.807
233.965,0.809
234.641,0.809
235.423,0.807
236.057,0.809
239.228,0.809
250.923,0.810
251.658,0.817
262.679,0.810
263.357,0.810
264.556,0.817
268.525,0.810
271.743,0.810
272.522,0.806
276.813,0.799
277.639,0.798
278.029,0.798
278.661,0.794
281.592,0.794
282.136,0.793
282.757,0.784
285.056,0.784
287.534,0.776
288.122,0.776
294.966,0.775
297.133,0.775
297.584,0.775
298.945,0.764
299.674,0.765
300.458,0.775
301.145,0.769
304.504,0.760
306.257,0.769
308.156,0.775
320.200,0.775
320.895,0.769
321.328,0.769
322.098,0.760
322.733,0.755
323.524,0.755
324.216,0.755
324.835,0.737
325.613,0.721
326.198,0.720
326.879,0.715
327.461,0.709
330.203,0.709
331.327,0.709
333.408,0.708
334.923,0.708
336.735,0.708
337.555,0.709
338.141,0.709
338.780,0.709
338.951,0.709
341.456,0.709
351.703,0.709
352.233,0.713
352.961,0.713
353.641,0.719
