df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,ppg_quality
56.740,88
58.760,91
59.770,91
60.780,89
61.790,87
63.810,86
65.830,87
67.840,87
70.870,86
71.880,88
72.890,88
74.910,89
76.930,89
77.940,86
78.950,90
81.980,94
84.000,94
86.020,94
88.040,95
90.060,91
91.070,87
92.080,87
93.090,88
95.110,89
97.130,90
99.150,90
101.160,89
102.170,88
103.180,88
104.190,86
106.210,87
108.230,86
110.250,86
112.270,87
115.300,88
117.320,87
118.330,87
119.340,87
120.350,86
121.360,87
123.380,86
124.390,86
126.410,87
128.430,90
130.450,90
132.460,91
134.480,92
135.490,91
136.500,92
137.510,91
139.530,90
141.550,88
143.570,82
145.590,78
147.610,77
148.620,76
149.630,76
150.640,78
152.660,82
154.680,89
156.700,91
158.720,91
159.730,88
161.750,83
163.770,80
164.780,80
165.790,81
167.810,81
168.820,81
170.840,86
172.860,88
174.880,88
176.900,86
177.910,85
178.920,87
180.940,87
181.950,88
182.960,88
183.970,90
185.990,91
188.010,91
189.020,91
190.030,89
191.040,90
192.050,89
193.060,89
195.080,88
196.090,90
197.100,87
198.110,89
199.120,86
200.130,88
202.150,89
203.160,90
204.170,88
206.190,87
208.210,88
210.230,87
212.250,85
213.260,84
214.270,81
215.280,79
217.300,76
219.320,76
221.340,78
223.360,81
224.370,84
225.380,88
226.390,88
227.400,89
228.410,91
230.430,94
232.450,95
233.460,92
234.470,95
236.490,94
237.500,91
239.520,76
241.540,70
243.560,58
245.580,45
247.600,44
248.610,43
250.630,46
252.650,40
254.670,42
256.690,25
257.700,19
258.710,20
259.720,22
261.740,33
263.760,37
264.770,45
265.780,58
267.800,70
269.820,62
271.840,48
272.850,43
274.870,48
276.890,38
278.910,22
279.920,27
281.940,37
282.950,43
283.960,40
285.980,29
288.000,47
290.020,61
292.040,69
294.060,61
295.070,55
296.080,58
297.090,65
298.100,67
299.110,68
301.130,65
303.150,62
305.170,68
306.180,69
308.200,70
310.220,67
312.240,63
314.260,78
315.270,78
316.280,67
317.290,61
319.310,57
321.330,63
323.350,56
324.360,50
326.380,67
327.390,75
328.400,79
330.420,83
331.430,83
332.440,86
334.460,87
336.480,87
338.500,88
340.520,85
341.530,76
342.540,67
343.550,61
345.570,52
347.590,46
349.610,47
352.640,55
354.660,61
356.680,70
357.690,73
359.710,75
360.720,74
363.750,88
365.770,88
367.790,85
369.810,78
370.820,74
372.840,67
374.860,56
376.880,52
377.890,43
378.900,35
380.920,25
381.930,20
382.940,13
383.950,12
385.970,12
387.990,12
390.010,16
392.030,22
393.040,22
394.050,17
395.060,17
397.080,11
399.100,41
401.120,31
403.140,37
405.160,41
407.180,36
410.210,29
411.220,41
412.230,51
414.250,43
416.270,49
418.290,49
419.300,52
421.320,42
422.330,41
423.340,50
424.350,56
425.360,58
427.380,65
429.400,65
431.420,62
432.430,57
434.450,50
436.470,54
438.490,56
439.500,54
440.510,57
441.520,62
442.530,67
443.540,74
445.560,78
447.580,81
449.600,86
451.620,89
452.630,91
453.640,92
456.670,96
457.680,94
458.690,94
460.710,84
462.730,80
464.750,73
465.760,67
467.780,70
468.790,71
469.800,75
471.820,82
472.830,82
473.840,84
475.860,94
476.870,93
478.890,87
480.910,83
481.920,78
482.930,67
483.940,64
484.950,58
487.980,56
490.000,50
491.010,50
492.020,50
494.040,58
496.060,49
497.070,55
498.080,61
