df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,quality
12.924,66
13.850,81
15.020,84
16.239,83
16.824,83
17.702,84
18.920,87
19.798,84
20.919,86
22.089,82
22.796,87
23.841,83
24.965,86
25.746,85
26.769,85
27.843,86
29.026,87
29.840,83
30.962,82
31.936,84
32.665,81
33.789,83
34.959,82
35.599,85
36.763,86
37.738,88
38.615,89
39.737,87
40.664,88
41.635,86
42.710,86
43.734,86
44.562,81
45.684,81
46.610,85
47.634,85
48.853,77
49.879,82
50.461,82
51.699,82
52.655,80
53.436,81
54.654,72
55.531,43
56.553,37
57.677,52
58.507,32
59.382,37
60.649,65
61.481,82
62.503,80
63.625,65
64.645,77
65.331,84
66.551,88
67.427,88
68.451,87
69.523,87
70.401,84
71.327,85
72.497,85
73.469,87
74.311,86
75.474,85
76.348,86
77.275,81
78.590,76
79.566,75
80.248,74
81.418,76
82.296,73
83.222,68
84.395,69
85.321,80
86.198,67
87.558,72
88.309,82
89.169,78
90.437,72
91.266,80
92.143,82
93.457,87
94.531,87
95.165,86
96.337,83
97.359,85
98.389,83
99.310,87
100.236,84
101.114,87
102.291,88
103.170,88
104.088,78
105.452,84
106.211,83
107.061,72
108.231,75
109.157,84
110.044,76
111.205,72
112.377,69
113.008,77
114.277,75
115.305,62
115.983,53
117.202,78
118.086,93
119.053,91
120.178,87
121.056,81
121.983,81
123.151,87
124.026,85
124.954,85
126.126,84
127.001,83
127.930,86
129.100,84
130.071,82
130.900,86
132.070,85
133.237,80
133.911,82
135.092,86
135.970,83
136.847,84
138.169,85
138.944,85
139.870,78
141.040,78
141.917,80
142.844,75
144.111,82
144.891,74
145.817,69
146.987,78
147.914,82
148.794,82
149.993,85
150.933,88
152.060,86
152.981,85
154.007,86
154.741,83
155.961,75
156.883,79
157.713,86
158.931,82
159.809,74
160.686,76
161.905,81
162.783,80
163.713,81
164.879,76
165.948,83
166.786,80
167.853,84
168.793,82
169.710,78
171.219,78
171.898,88
172.631,88
173.801,85
174.726,84
175.649,87
177.068,84
177.701,86
178.635,84
179.756,85
180.674,89
181.646,88
182.815,86
183.745,82
184.525,84
185.744,85
186.622,73
187.594,67
188.720,68
189.890,66
190.616,59
191.793,76
192.569,84
193.446,84
194.665,87
195.566,86
196.421,85
197.664,87
198.516,85
199.588,86
200.613,86
201.637,87
202.416,84
203.632,86
204.464,86
205.391,84
206.659,86
207.483,83
208.369,84
209.535,82
210.567,87
211.529,83
212.508,84
213.434,83
214.313,84
215.625,85
216.554,86
217.285,85
218.511,82
219.573,76
220.405,80
221.431,83
222.357,86
223.233,84
224.644,85
225.329,85
226.398,83
227.618,83
228.302,77
229.326,85
230.399,81
231.520,79
232.160,82
233.375,86
234.251,87
235.153,87
236.538,86
237.370,84
238.102,78
239.322,80
240.201,53
241.075,38
242.294,36
243.172,0
244.049,0
245.414,26
246.389,42
247.218,50
248.244,51
249.120,69
250.046,66
251.216,56
252.385,58
253.021,57
254.433,59
255.067,61
256.054,52
257.164,61
258.093,59
258.967,51
260.433,37
261.065,48
261.992,52
263.111,42
264.037,36
265.155,50
266.092,56
267.013,59
267.888,58
269.062,62
269.989,72
270.862,71
272.032,65
272.960,76
274.033,78
275.055,75
275.934,68
276.955,70
278.076,72
278.905,65
279.785,59
281.250,66
282.071,73
282.805,76
284.025,75
284.996,76
285.775,74
286.950,75
287.827,76
288.750,73
289.927,67
290.803,71
291.729,68
292.899,67
293.818,68
294.746,76
295.871,78
296.842,79
297.820,85
298.845,85
299.774,87
300.697,85
302.266,82
302.747,85
303.644,86
304.799,83
305.862,75
306.597,68
307.781,63
308.790,68
309.569,59
310.987,53
311.666,47
312.641,54
313.762,51
314.743,51
315.517,52
316.736,69
317.614,73
318.491,68
319.710,81
320.611,84
321.465,84
322.829,85
323.612,84
324.438,83
325.660,84
326.629,84
327.558,85
328.728,75
329.603,61
330.437,69
331.605,70
332.483,66
333.455,71
334.598,77
335.603,82
336.383,87
337.606,78
338.479,70
339.431,74
340.528,77
341.552,75
342.379,80
343.500,80
344.426,73
345.644,63
346.519,64
347.544,66
348.281,74
349.498,69
350.614,59
351.252,70
352.567,77
353.350,84
354.226,80
355.492,65
356.325,64
357.199,65
358.610,65
359.296,65
360.247,74
361.393,80
362.269,82
363.195,79
364.606,74
365.242,71
366.169,65
367.340,66
368.216,58
369.388,33
370.315,43
371.580,50
372.118,48
373.380,46
374.215,76
375.096,66
376.306,52
377.235,56
378.068,53
379.299,46
380.162,39
381.188,49
382.256,55
383.277,70
384.013,78
385.325,72
386.109,60
386.985,57
388.253,47
389.127,44
390.255,44
391.178,34
392.152,33
392.982,0
394.395,35
395.029,32
396.052,30
397.125,50
398.043,35
398.929,35
400.129,28
400.978,28
401.934,29
403.073,0
403.950,0
405.169,2
406.047,0
407.019,0
407.851,0
409.024,38
409.901,61
410.824,45
411.994,58
412.930,60
413.798,57
414.968,58
415.895,61
416.869,67
418.280,58
419.118,61
419.794,64
420.963,68
421.844,58
422.862,53
424.084,57
424.815,66
425.790,64
427.155,66
427.835,71
