df_hash,22ZHK4.L745P3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HN75
person_label,V121
date_time_start,2026-04-06_13-33-18.934000_+03
date_time_start_unix,1775464398.934
date_time_end,2026-04-06_13-41-40.504000_+03
length_difference_noticed,no

time,rr_int
9.704,5300
10.386,665
11.071,690
11.751,720
12.434,675
13.165,655
13.701,670
14.384,680
15.116,685
15.802,680
16.480,685
17.212,720
17.894,670
18.576,700
19.259,680
19.990,690
20.672,675
21.355,690
22.094,690
22.623,665
23.306,660
23.845,650
24.572,680
25.256,695
25.937,700
26.620,660
27.302,670
28.033,670
28.719,755
29.440,700
30.132,700
30.813,660
31.495,690
32.177,680
32.908,705
33.592,695
34.274,695
34.964,720
35.687,715
36.370,705
37.052,705
37.744,700
38.466,705
39.149,685
39.832,725
40.514,705
41.248,705
41.928,655
42.610,715
43.341,700
44.023,760
44.852,690
45.389,745
46.120,685
46.805,705
47.485,645
48.168,685
48.857,685
49.581,730
50.264,690
50.946,700
51.775,735
52.506,785
53.189,755
53.725,645
54.411,625
54.992,595
55.678,605
56.363,675
57.089,710
57.920,790
58.746,805
59.428,795
60.257,770
60.940,740
61.675,720
62.356,690
63.036,685
63.719,690
64.450,695
64.986,705
65.718,690
66.400,695
67.134,670
67.765,705
68.456,685
69.179,720
69.861,695
70.690,720
71.372,730
72.060,730
72.787,730
73.476,690
74.151,730
74.850,700
75.666,730
76.248,725
76.938,625
77.613,710
78.344,655
78.880,710
79.571,640
80.394,640
80.977,655
81.662,715
82.341,735
83.072,745
83.755,685
84.437,695
85.120,665
85.705,640
86.387,685
87.070,670
87.752,695
88.484,680
89.315,755
89.995,740
90.677,690
91.409,735
92.094,705
92.839,755
93.462,680
94.187,720
94.873,690
95.552,725
96.381,690
97.113,755
97.796,740
98.624,710
99.355,760
100.038,735
100.720,755
101.432,715
102.085,725
102.816,690
103.499,680
104.380,695
105.010,750
105.693,720
106.522,790
107.253,785
108.082,765
108.764,710
109.349,710
110.179,685
110.714,720
111.396,645
111.981,630
112.815,665
113.493,705
114.176,765
115.053,765
115.735,765
116.568,775
117.246,765
118.124,755
118.807,750
119.489,740
120.220,715
120.854,700
121.585,705
122.296,725
122.950,695
123.781,735
124.511,720
125.193,740
125.876,670
126.563,755
127.435,745
128.118,750
128.800,700
129.629,760
130.336,755
131.046,755
131.725,675
132.408,740
133.244,735
133.968,750
134.655,710
135.481,770
136.164,740
136.893,735
137.576,680
138.280,750
138.991,685
139.672,680
140.354,740
141.045,690
141.621,640
142.305,665
142.986,670
143.719,710
144.547,730
145.229,765
145.912,705
146.599,740
147.326,710
148.008,725
148.837,690
149.373,735
150.202,685
150.938,725
151.615,685
152.298,710
153.012,705
153.712,760
154.540,720
155.223,785
156.052,785
156.734,745
157.465,720
158.148,730
158.831,725
159.610,640
160.244,705
160.927,655
161.526,710
162.341,665
163.023,715
163.754,705
164.388,755
165.119,695
165.954,745
166.630,745
167.167,715
167.907,665
168.581,690
169.263,685
169.978,700
170.677,665
171.359,670
172.043,690
172.725,725
173.456,720
174.138,680
174.820,710
175.552,695
176.234,775
177.077,705
177.745,725
178.428,710
179.159,750
179.988,740
180.720,720
181.353,735
182.084,750
182.851,685
183.449,700
184.132,695
184.865,750
185.546,685
186.082,635
186.813,615
187.496,665
188.180,660
188.861,725
189.592,745
190.274,735
190.957,680
191.688,725
192.468,705
193.053,720
193.882,685
194.564,730
195.272,685
195.929,690
196.712,700
197.376,705
197.928,715
198.757,675
199.293,710
200.122,690
200.707,710
201.389,670
202.073,705
202.905,700
203.486,720
204.173,645
204.851,705
205.533,680
206.216,680
206.801,650
207.488,685
208.166,675
208.897,675
209.579,680
210.286,700
210.847,685
211.539,640
212.212,680
212.895,645
213.482,660
214.162,630
214.698,655
215.430,660
216.156,640
216.797,660
217.477,675
218.208,705
218.744,710
219.578,675
220.158,710
220.987,690
221.523,725
222.401,670
222.937,710
223.620,680
224.302,665
224.986,670
225.720,695
226.403,740
227.081,685
227.765,740
228.495,700
229.178,715
229.860,655
230.542,680
231.225,680
231.810,680
232.492,660
233.175,690
233.911,685
234.588,675
235.271,690
235.953,685
236.544,660
237.221,650
237.904,715
238.595,630
239.171,665
239.853,610
241.121,685
241.661,1270
241.952,640
242.001,220
243.074,10
243.760,1110
244.290,625
245.090,695
245.706,680
246.394,605
246.532,700
246.678,280
246.682,10
247.659,355
248.336,650
248.873,645
249.497,635
250.141,605
250.677,610
251.407,650
252.090,660
252.777,645
253.211,585
253.893,610
254.448,615
255.161,645
255.405,690
255.849,200
256.380,425
257.795,665
258.921,1310
259.158,1200
259.162,255
259.259,10
259.500,270
260.670,590
261.255,590
262.232,595
262.669,700
263.205,670
263.888,670
264.486,680
265.160,545
265.692,635
266.228,620
266.813,565
267.349,570
267.934,570
268.470,590
269.153,555
269.738,655
270.420,590
270.958,640
271.687,635
272.370,630
272.906,640
273.492,620
274.320,620
274.710,740
275.441,515
275.978,610
276.660,620
277.343,660
277.927,655
278.635,685
279.052,690
279.293,350
280.024,315
281.002,700
281.389,695
282.081,645
282.656,705
283.339,655
284.051,680
284.606,660
285.001,635
285.289,290
285.972,385
286.803,680
287.387,685
288.067,680
288.757,695
289.433,785
290.166,625
290.701,690
291.383,610
292.114,680
