df_hash,22ZHK4.34VB5M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FPTK
person_label,V77
date_time_start,2025-11-03_14-11-39.549000_+03
date_time_start_unix,1762164699.549
date_time_end,2025-11-03_14-19-57.483000_+03
length_difference_noticed,no

time,acc_mag
4.798,0.979
4.828,0.983
4.858,0.986
4.888,0.974
4.918,0.980
4.948,0.977
4.978,0.974
5.008,0.984
5.038,0.984
5.068,0.979
5.098,0.980
5.128,0.981
5.158,0.977
5.188,0.977
5.218,0.980
5.248,0.978
5.278,0.978
5.308,0.977
5.338,0.979
5.368,0.987
5.398,0.976
5.428,0.977
5.458,0.974
5.488,0.975
5.518,0.977
5.548,0.979
5.578,0.985
5.608,0.979
5.638,0.980
5.668,0.978
5.698,0.980
5.728,0.977
5.758,0.974
5.788,0.977
5.818,0.983
5.848,0.981
5.878,0.973
5.908,0.978
5.938,0.979
5.968,0.977
5.998,0.981
6.028,0.979
6.058,0.980
6.088,0.979
6.118,0.980
6.148,0.976
6.178,0.983
6.208,0.984
6.238,0.970
6.268,0.978
6.298,0.979
6.328,0.980
6.358,0.983
6.388,0.976
6.418,0.979
6.448,0.977
6.478,0.978
6.508,0.980
6.538,0.979
6.568,0.978
6.598,0.979
6.628,0.980
6.658,0.977
6.688,0.982
6.718,0.974
6.748,0.976
6.778,0.977
6.808,0.982
6.838,0.982
6.868,0.972
6.898,0.981
6.928,0.978
6.958,0.973
6.988,0.982
7.018,0.979
7.048,0.974
7.078,0.978
7.108,0.978
7.138,0.970
7.168,0.979
7.198,0.982
7.228,0.975
7.258,0.976
7.288,0.975
7.318,0.982
7.348,0.978
7.378,0.972
7.408,0.980
7.438,0.981
7.468,0.977
7.498,0.982
7.528,0.980
7.558,0.977
7.588,0.978
7.618,0.979
7.648,0.978
7.678,0.978
7.708,0.979
7.738,0.974
7.768,0.977
7.798,0.978
7.828,0.981
7.858,0.982
7.888,0.972
7.918,0.980
7.948,0.980
7.978,0.978
8.008,0.979
8.038,0.979
8.068,0.973
8.098,0.976
8.128,0.981
8.158,0.980
8.188,0.979
8.218,0.985
8.248,0.979
8.278,0.979
8.308,0.978
8.338,0.979
8.368,0.981
8.398,0.975
8.428,0.976
8.458,0.979
8.488,0.979
8.518,0.980
8.548,0.979
8.578,0.980
8.608,0.979
8.638,0.978
8.668,0.984
8.698,0.979
8.728,0.979
8.758,0.976
8.788,0.972
8.818,0.980
8.848,0.982
8.878,0.985
8.908,0.979
8.938,0.982
8.968,0.976
8.998,0.978
9.028,0.979
9.058,0.976
9.088,0.979
9.118,0.979
9.148,0.981
9.178,0.974
9.208,0.980
9.238,0.983
9.268,0.971
9.298,0.977
9.328,0.982
9.358,0.983
9.388,0.972
9.418,0.978
9.448,0.979
9.478,0.977
9.508,0.983
9.538,0.981
9.568,0.979
9.598,0.977
9.628,0.979
9.658,0.979
9.688,0.981
9.718,0.986
9.748,0.976
9.778,0.978
9.808,0.981
9.838,0.979
9.868,0.986
9.898,0.975
9.928,0.983
9.958,0.978
9.988,0.978
10.018,0.981
10.048,0.978
10.078,0.982
10.108,0.981
10.138,0.979
10.168,0.974
10.198,0.984
10.228,0.980
10.258,0.978
10.288,0.978
10.318,0.980
10.348,0.978
10.378,0.983
10.408,0.976
10.438,0.980
10.468,0.978
10.498,0.980
10.528,0.979
10.558,0.977
10.588,0.977
10.618,0.982
10.648,0.982
10.678,0.979
10.708,0.981
10.738,0.977
10.768,0.977
10.798,0.980
10.828,0.984
10.858,0.979
10.888,0.974
10.918,0.979
10.948,0.978
10.978,0.979
11.008,0.979
11.038,0.977
11.068,0.980
11.098,0.979
11.128,0.978
11.158,0.972
11.188,0.980
11.218,0.985
11.248,0.975
11.278,0.977
11.308,0.981
11.338,0.983
11.368,0.978
11.398,0.978
11.428,0.979
11.458,0.975
11.488,0.981
11.518,0.980
11.548,0.979
11.578,0.980
11.608,0.979
11.638,0.981
11.668,0.980
11.698,0.981
11.728,0.971
11.758,0.978
11.788,0.985
11.818,0.981
11.848,0.977
11.878,0.980
11.908,0.978
11.938,0.970
11.968,0.982
11.998,0.987
12.028,0.978
12.058,0.976
12.088,0.979
12.118,0.981
12.148,0.986
12.178,0.982
12.208,0.971
12.238,0.977
12.268,0.983
12.298,0.986
12.328,0.978
12.358,0.978
12.388,0.981
12.418,0.975
12.448,0.982
12.478,0.980
12.508,0.978
12.538,0.977
12.568,0.982
12.598,0.980
12.628,0.980
12.658,0.983
12.688,0.978
12.718,0.977
12.748,0.976
12.778,0.980
12.808,0.985
12.838,0.977
12.868,0.981
12.898,0.980
12.928,0.980
12.958,0.979
12.988,0.976
13.018,0.979
13.048,0.983
13.078,0.982
13.108,0.976
13.138,0.984
13.168,0.979
13.198,0.980
13.228,0.978
13.258,0.978
13.288,0.983
13.318,0.975
13.348,0.978
13.378,0.983
13.408,0.979
13.438,0.981
13.468,0.980
13.498,0.978
13.528,0.981
13.558,0.982
13.588,0.975
13.618,0.979
13.648,0.987
13.678,0.976
13.708,0.981
13.738,0.980
13.768,0.984
13.798,0.990
13.828,0.974
13.858,0.977
13.888,0.981
13.918,0.979
13.948,0.981
13.978,0.978
14.008,0.979
14.038,0.980
14.068,0.981
14.098,0.977
14.128,0.979
14.158,0.982
