df_hash,22ZHK4.34VB5M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FPTK
person_label,V77
date_time_start,2025-11-03_14-11-39.549000_+03
date_time_start_unix,1762164699.549
date_time_end,2025-11-03_14-19-57.483000_+03
length_difference_noticed,no

time,quality
16.832,64
18.001,92
18.687,90
19.809,91
20.736,90
21.745,88
22.782,87
23.657,91
24.584,89
25.756,83
26.632,76
27.611,78
28.873,77
29.677,76
30.532,76
31.704,80
32.678,68
33.555,69
34.725,84
35.647,81
36.586,83
37.699,87
38.580,92
39.794,89
40.915,84
41.549,80
42.507,66
43.645,60
44.671,54
45.460,68
46.670,77
47.594,76
48.471,78
49.641,87
50.520,88
51.786,87
52.615,86
53.590,76
54.467,64
55.590,38
56.515,34
57.398,30
58.563,29
59.463,33
60.561,53
61.590,94
62.508,89
63.392,88
64.605,82
65.436,87
66.509,72
67.531,72
68.556,77
69.390,73
70.458,75
71.478,78
72.307,91
73.482,95
74.407,97
75.285,95
76.455,92
77.332,87
78.255,94
79.477,91
80.350,89
81.328,84
82.447,91
83.288,94
84.351,93
85.378,96
86.305,92
87.178,92
88.522,90
89.278,93
90.163,94
91.374,92
92.253,89
93.126,90
94.347,92
95.277,90
96.441,92
97.514,94
98.196,87
99.119,84
100.340,83
101.199,84
102.291,78
103.363,78
104.190,85
105.078,86
106.432,79
107.458,84
108.138,87
109.268,91
110.141,97
111.022,92
112.236,78
113.118,77
114.040,77
115.213,82
116.188,79
117.062,85
118.229,83
119.062,93
119.968,99
121.159,94
122.085,78
123.010,78
124.177,81
125.010,76
126.127,76
127.153,86
128.077,90
128.964,91
130.079,91
131.007,90
131.893,87
133.052,88
133.995,86
134.856,90
136.075,90
137.008,92
137.885,91
139.048,92
139.928,90
140.980,92
142.023,94
142.960,92
143.920,92
145.061,90
145.874,89
146.901,93
148.019,96
148.898,98
149.779,100
150.992,89
151.919,89
152.752,89
153.921,86
154.846,80
155.772,93
156.894,92
157.820,83
158.744,84
159.914,72
161.083,69
161.817,62
162.891,60
163.815,70
164.835,69
165.910,77
166.743,76
167.955,75
168.842,84
169.764,90
170.687,93
171.810,87
172.833,84
173.616,77
174.782,83
175.714,77
176.830,84
177.806,91
178.683,86
179.610,91
180.779,93
181.656,94
182.536,93
183.753,95
184.873,94
185.710,93
186.729,91
187.606,99
188.581,93
189.745,89
190.629,90
191.506,93
192.724,94
193.600,93
194.482,93
195.696,92
196.574,86
197.539,93
198.624,90
199.547,83
200.474,91
201.695,87
202.522,49
203.497,45
204.617,0
205.592,32
206.613,32
207.595,29
208.469,41
209.398,65
210.565,72
211.493,81
212.368,79
213.539,74
214.514,71
215.343,68
216.561,66
217.441,71
218.416,65
219.535,62
220.412,61
221.356,69
222.558,69
223.387,64
224.362,68
225.497,68
226.363,62
227.338,70
228.505,78
229.383,84
230.552,77
231.622,79
232.452,80
233.280,84
234.549,81
235.375,75
236.358,88
237.378,86
238.304,66
239.181,24
240.402,22
241.278,27
242.204,0
243.374,23
244.297,0
245.520,0
246.347,0
247.225,0
248.200,0
249.321,0
250.199,0
251.225,0
252.489,31
253.611,26
254.098,29
255.270,0
256.195,5
257.073,0
258.245,0
259.169,0
260.046,38
261.281,28
262.188,0
263.214,22
264.244,54
265.164,52
266.088,45
267.215,42
268.090,36
269.069,46
270.237,35
271.067,25
272.016,22
273.206,0
274.087,25
274.971,23
276.146,28
277.061,22
277.998,13
279.136,0
280.039,0
280.911,2
282.137,0
283.057,37
283.934,0
285.107,25
285.982,30
287.005,0
288.123,27
288.968,0
289.940,11
291.177,13
291.929,11
293.099,0
294.025,3
294.952,0
295.830,25
297.049,0
297.926,0
298.851,26
300.021,28
300.899,33
302.020,35
303.003,38
303.890,0
304.845,0
305.970,23
306.847,30
307.773,29
308.942,34
309.869,42
310.949,54
311.920,53
312.842,58
313.743,72
314.942,61
315.841,69
316.694,64
317.938,38
318.791,36
319.719,40
320.887,38
321.765,15
322.690,16
323.860,16
324.740,26
325.713,0
327.074,42
327.711,37
328.637,23
329.807,30
330.734,43
331.660,39
333.171,25
333.709,15
334.682,21
335.756,22
336.687,0
337.559,16
338.785,20
339.656,0
340.581,23
341.751,38
342.629,43
343.511,49
344.726,51
345.648,55
346.577,65
347.744,49
348.674,43
349.502,34
350.739,43
351.599,43
352.577,40
353.690,38
354.767,58
355.896,43
356.622,41
357.597,30
358.622,30
359.786,33
360.529,39
361.519,44
362.662,48
363.542,48
364.380,55
365.590,61
366.854,39
367.540,33
368.566,27
369.441,27
370.371,30
371.537,34
372.561,10
373.437,8
374.649,0
375.440,0
376.358,0
377.536,0
378.413,0
379.289,26
380.508,30
381.389,0
382.311,35
383.533,29
384.359,22
385.285,22
386.457,0
387.337,0
388.324,0
389.430,32
390.308,33
391.476,36
392.405,24
393.331,0
394.405,31
395.378,25
396.354,28
397.180,28
398.400,47
399.277,0
400.155,0
401.471,0
402.251,12
403.177,46
404.373,3
405.370,0
406.203,0
407.612,0
408.203,27
409.124,31
410.303,0
411.173,0
412.098,0
413.459,27
414.196,28
415.121,31
416.243,30
417.171,39
418.096,0
419.266,22
420.145,24
421.027,0
422.630,0
423.218,0
424.041,0
425.257,27
426.089,4
426.967,0
428.279,8
429.084,0
430.002,0
431.357,0
432.133,4
