df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,heart_rate
8.849,46
9.726,46
10.946,46
11.823,44
12.700,45
13.919,45
14.796,45
15.711,76
16.893,72
17.770,69
18.648,70
19.866,74
20.744,75
21.670,75
22.840,76
24.013,77
24.646,75
25.863,77
26.691,76
27.864,75
28.788,74
29.961,73
30.592,73
31.779,74
32.688,75
33.565,76
34.737,76
35.662,76
36.539,76
37.709,76
38.635,76
39.513,75
40.735,74
41.609,74
42.510,74
43.705,75
44.591,75
45.460,74
46.679,74
47.557,74
48.483,74
49.653,74
50.826,74
51.457,74
52.775,74
53.504,74
54.507,72
55.601,71
56.534,70
57.404,69
58.574,69
59.500,69
60.378,69
61.600,69
62.474,69
63.352,69
64.571,69
65.452,69
66.325,69
67.544,69
68.422,69
69.423,69
70.518,69
71.450,69
72.374,69
73.492,69
74.369,70
75.295,70
76.470,70
77.392,70
78.269,70
79.439,70
80.414,70
81.243,72
82.413,74
83.339,75
84.217,75
85.436,75
86.560,74
87.195,74
88.409,74
89.340,74
90.164,75
91.383,74
92.261,77
93.138,76
94.382,76
95.234,75
96.161,75
97.336,75
98.212,75
99.134,74
100.308,74
101.182,76
102.108,78
103.283,80
104.254,80
105.277,80
106.254,78
107.179,77
108.056,75
109.275,74
110.152,72
111.030,71
112.248,71
113.126,71
114.004,71
115.274,70
116.100,70
116.977,70
118.234,72
119.073,73
120.100,74
121.170,74
122.047,74
122.978,73
124.144,72
125.021,71
125.982,71
127.117,71
127.995,71
128.921,72
130.092,73
131.017,74
131.895,75
133.113,76
134.095,77
134.869,76
136.143,76
136.966,73
137.844,72
139.069,72
139.939,73
140.816,72
142.035,71
142.912,71
143.790,71
145.009,72
145.886,74
146.789,76
147.982,77
148.861,76
149.835,75
150.956,73
151.834,72
152.788,73
153.930,74
154.945,75
155.734,75
156.904,75
157.852,75
158.707,75
159.877,75
160.806,76
161.682,75
162.901,75
163.779,74
164.655,74
165.875,74
166.751,74
167.686,74
168.850,74
169.741,75
170.606,76
172.240,77
172.703,77
173.650,76
174.893,75
175.721,75
176.602,76
177.769,78
178.697,79
179.573,79
180.791,79
181.669,79
182.546,80
183.765,80
184.643,81
185.521,81
186.739,81
187.616,81
188.516,81
189.713,81
190.885,80
191.516,80
192.836,81
193.564,81
194.495,82
195.660,81
196.586,79
197.464,77
198.929,75
199.560,74
200.438,73
201.608,73
202.537,73
203.411,74
204.582,75
205.508,76
206.385,77
207.604,78
208.482,79
209.359,79
210.627,79
211.509,78
212.337,78
213.600,78
214.429,78
215.355,78
216.536,78
217.444,78
218.333,78
219.941,78
220.377,81
221.303,76
222.473,78
223.426,76
224.380,76
225.449,75
226.373,75
227.250,75
228.451,75
229.347,75
230.247,75
231.394,75
232.320,75
233.198,67
234.417,62
235.296,60
236.172,63
237.391,63
238.306,64
239.146,63
240.405,63
241.242,63
242.122,63
243.387,63
244.216,63
245.142,59
246.312,57
247.189,57
248.124,58
249.292,57
250.261,57
251.089,57
252.263,57
253.198,61
254.068,61
255.237,60
256.159,59
257.037,59
258.207,59
259.204,59
260.011,59
261.253,59
262.131,59
262.984,59
264.203,59
265.081,59
265.958,59
267.226,55
268.054,54
268.981,52
270.151,51
271.028,52
272.201,52
273.124,51
274.051,51
274.930,51
276.104,51
277.035,51
277.902,51
279.072,51
280.021,51
280.876,51
282.117,51
282.974,51
283.850,51
285.068,51
285.946,51
286.876,71
288.043,63
288.920,61
289.800,61
291.016,62
291.942,61
292.810,61
293.990,60
294.867,60
295.793,60
296.964,60
297.841,60
298.767,60
299.937,60
302.911,56
303.837,56
304.766,59
305.885,59
306.811,58
307.689,58
308.859,58
309.785,58
310.662,58
311.881,58
312.759,58
313.660,58
314.855,60
315.743,57
316.610,57
317.829,57
318.708,57
319.682,57
320.802,57
321.730,54
322.606,54
323.776,54
324.654,54
325.580,54
326.750,64
327.676,60
328.554,59
329.725,59
330.650,59
331.527,55
332.697,53
333.624,54
334.521,58
335.720,56
336.598,55
337.475,55
338.694,61
339.572,64
340.474,61
341.668,60
342.545,60
343.470,60
344.647,60
345.519,60
346.445,60
347.615,60
348.508,60
349.468,60
350.638,60
351.466,61
352.393,60
353.563,58
354.440,57
355.366,57
356.536,57
357.463,57
358.340,55
359.510,55
360.459,55
361.314,55
362.533,55
363.410,55
364.288,55
365.680,55
366.384,55
367.267,55
368.480,55
369.358,61
370.335,62
371.454,61
372.380,58
373.258,59
374.431,59
375.305,59
376.250,58
377.401,58
378.386,58
379.205,58
380.524,58
381.302,58
382.184,58
383.349,58
384.571,58
385.153,58
386.462,58
387.273,58
388.175,58
389.394,58
390.223,58
391.105,54
392.319,53
393.222,54
394.074,54
395.395,53
396.171,53
397.243,53
398.272,53
399.144,53
400.070,53
401.240,53
402.120,53
403.047,53
404.214,53
405.140,53
406.018,55
407.239,57
408.115,60
408.992,58
410.167,59
411.088,61
411.966,60
413.136,61
414.062,60
414.939,60
416.158,57
417.036,58
417.935,58
419.132,58
420.009,57
420.887,57
422.106,57
422.983,57
423.864,57
425.081,57
