df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,ppg_quality
57.695,68
58.705,64
59.715,66
60.725,65
62.745,60
63.755,62
64.765,63
66.785,61
68.805,59
71.835,55
73.855,59
75.875,60
77.895,65
79.915,70
81.935,69
82.945,68
84.965,66
86.985,56
87.995,49
89.005,41
90.015,32
91.025,30
93.045,31
94.055,31
96.075,42
98.095,57
100.115,74
102.135,76
103.145,75
104.155,72
105.165,69
106.175,67
107.185,68
109.205,69
111.225,76
113.245,80
115.265,82
116.275,86
118.295,87
119.305,83
120.315,81
122.335,77
124.355,76
126.375,70
127.385,67
129.405,65
130.415,66
131.425,67
133.445,69
135.465,68
136.475,70
137.485,74
138.495,86
139.505,89
140.515,90
142.535,90
143.545,90
144.555,88
146.575,91
147.585,92
148.595,84
149.605,80
151.625,82
153.645,78
155.665,80
157.685,79
158.695,80
159.705,83
160.715,82
162.735,78
164.755,82
166.775,77
168.795,82
169.805,80
170.815,78
172.835,74
173.845,70
174.855,70
175.865,74
177.885,49
179.905,36
181.925,34
182.935,36
184.955,36
186.975,46
187.985,57
188.995,62
191.015,63
192.025,66
193.035,64
194.045,64
196.065,63
198.085,57
200.105,59
202.125,55
203.135,52
205.155,50
207.175,49
209.195,50
211.215,44
213.235,62
215.255,60
217.275,51
218.285,41
220.305,32
222.325,31
224.345,24
226.365,34
227.375,34
229.395,49
231.415,23
233.435,8
236.465,3
237.475,9
249.595,24
251.615,52
253.635,59
255.655,45
257.675,30
259.695,38
261.715,30
263.735,25
264.745,35
265.755,40
267.775,49
268.785,41
270.805,20
271.815,20
272.825,23
274.845,16
275.855,12
277.875,26
279.895,41
281.915,49
283.935,32
285.955,53
286.965,59
287.975,39
288.985,30
291.005,3
293.025,7
295.045,8
296.055,13
297.065,5
300.095,20
302.115,28
303.125,16
304.135,16
306.155,13
307.165,24
309.185,37
311.205,25
313.225,22
315.245,47
317.265,53
319.285,61
321.305,55
322.315,46
324.335,84
326.355,84
328.375,83
330.395,81
332.415,103
333.425,89
335.445,57
337.465,64
339.485,73
341.505,58
343.525,47
344.535,48
346.555,66
348.575,53
349.585,43
351.605,33
352.615,38
353.625,46
355.645,53
357.665,55
359.685,66
360.695,77
362.715,81
363.725,75
364.735,65
366.755,47
368.775,26
370.795,24
372.815,13
373.825,9
374.835,16
375.845,21
377.865,25
379.885,45
381.905,58
382.915,66
384.935,73
386.945,70
388.965,68
390.985,52
393.005,20
394.015,14
395.025,18
397.045,23
398.055,10
400.075,2
402.095,30
404.115,32
405.125,20
406.135,11
408.155,5
411.185,7
413.205,9
415.225,18
417.245,19
419.265,44
420.275,36
422.295,1
424.315,17
426.335,21
428.355,9
429.365,1
432.395,34
433.405,24
435.425,31
437.445,48
439.465,71
440.475,82
441.485,85
442.495,83
444.515,104
445.525,108
446.535,105
448.555,104
449.565,107
450.575,106
452.595,93
453.605,81
454.615,69
455.625,62
457.645,44
459.665,24
461.685,36
462.695,49
464.715,57
465.725,55
466.735,57
467.745,63
468.755,65
469.765,67
470.775,56
471.785,46
472.795,32
475.825,28
476.835,27
477.845,23
479.865,24
481.885,19
482.895,33
483.905,42
484.915,51
485.925,41
487.945,36
489.965,39
491.985,55
