df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,quality
8.852,100
9.730,100
10.955,100
11.826,100
12.704,0
13.923,0
14.800,0
15.714,50
16.896,57
17.774,83
18.651,72
19.870,58
20.747,70
21.673,75
22.844,73
24.016,57
24.842,49
25.866,55
26.694,38
27.868,50
28.791,67
29.965,72
30.595,75
31.911,69
32.758,62
33.569,68
34.884,65
35.665,67
36.543,71
37.714,70
38.642,68
39.518,59
41.074,67
41.612,62
42.514,68
43.709,71
44.732,67
45.464,78
46.682,74
47.560,76
48.486,69
49.656,67
50.829,59
51.460,64
52.779,64
53.508,58
54.581,83
55.604,85
56.822,82
57.407,70
58.577,69
59.504,70
60.381,68
61.697,69
62.478,75
63.355,79
64.575,79
65.695,61
66.328,45
67.547,43
68.471,42
69.640,38
70.521,52
71.545,76
72.617,89
73.496,85
74.373,79
75.299,81
76.563,86
77.395,83
78.273,84
79.443,84
80.418,79
81.247,79
82.416,82
83.346,85
84.222,77
85.441,76
86.565,71
87.242,71
88.413,66
89.385,71
90.168,53
91.398,45
92.309,49
93.142,45
94.384,46
95.238,65
96.164,66
97.386,70
98.355,65
99.138,71
100.654,58
101.185,45
102.112,70
103.574,77
104.258,78
105.280,72
106.301,55
107.185,53
108.059,74
109.280,85
110.155,80
111.033,80
112.253,77
113.130,82
114.152,78
115.289,78
116.103,84
116.980,74
118.294,68
119.078,76
120.104,73
121.173,76
122.050,78
123.268,69
124.151,69
125.027,71
126.194,78
127.120,79
127.998,82
128.924,92
130.240,88
131.023,88
131.899,78
133.119,69
134.286,70
134.918,46
136.185,39
137.014,53
137.988,51
139.162,56
139.942,64
140.819,61
142.038,72
142.916,85
143.795,89
145.013,78
145.889,65
146.792,66
147.985,67
148.868,54
149.838,72
151.005,86
151.837,86
152.798,85
153.933,78
154.952,76
155.737,76
156.907,73
157.884,74
158.713,70
159.883,78
160.852,80
161.690,79
163.046,82
163.875,85
164.658,82
165.878,86
166.755,85
167.778,87
168.899,86
169.972,69
170.704,67
172.244,74
172.897,68
173.654,70
174.901,82
175.724,67
176.894,65
177.775,63
178.744,69
179.576,70
180.795,64
181.673,63
182.549,59
183.768,67
184.647,61
185.532,70
186.743,74
187.665,72
188.644,65
189.718,69
190.889,81
191.519,63
192.843,54
193.567,64
194.639,51
195.663,30
196.590,51
197.467,77
198.932,81
199.564,88
200.441,81
201.611,76
202.732,75
203.415,75
204.585,76
205.557,71
206.390,73
207.608,82
208.485,78
209.363,79
210.630,80
211.518,60
212.530,41
213.606,0
214.435,28
215.361,0
216.574,0
217.448,0
218.524,0
219.946,25
220.380,29
221.306,29
222.478,44
223.697,80
224.397,73
225.498,38
226.378,27
227.254,28
228.665,30
229.350,29
230.250,26
231.398,23
232.324,31
233.201,30
234.420,31
235.346,29
236.175,0
237.394,0
238.309,33
239.149,0
240.408,5
241.246,15
242.266,27
243.390,19
244.232,2
245.145,37
246.319,44
247.193,36
248.165,0
249.295,0
250.267,25
251.093,26
252.308,0
253.283,29
254.112,38
255.282,24
256.163,0
257.040,0
258.210,0
259.212,0
260.060,0
261.279,0
262.255,0
262.988,2
264.208,8
265.086,0
265.963,5
267.231,71
268.058,62
268.984,63
270.154,68
271.032,16
272.204,11
273.128,24
274.062,28
275.126,31
276.247,26
277.073,25
277.905,0
279.077,0
280.024,27
280.879,36
282.120,42
283.021,38
283.853,42
285.071,27
285.950,45
286.921,50
288.047,39
288.923,32
289.849,37
291.020,37
291.946,0
292.813,0
293.993,32
294.916,21
295.799,23
296.967,0
297.890,0
298.819,0
299.941,0
300.887,0
302.914,30
303.841,27
304.864,33
305.889,0
306.814,0
307.692,24
308.862,16
309.788,0
310.679,15
311.885,16
312.762,0
313.663,0
314.858,34
315.830,42
316.613,0
317.834,12
318.755,18
319.685,7
320.805,4
321.977,41
322.610,34
323.782,27
324.657,25
325.585,26
326.753,26
327.680,0
328.557,2
329.743,10
330.653,0
331.531,49
332.701,51
333.627,45
334.699,45
335.723,0
336.613,0
337.478,0
338.697,35
339.576,39
340.477,24
341.673,0
342.550,0
343.666,22
344.939,0
345.523,29
346.449,22
347.618,21
348.541,23
349.471,20
350.641,0
351.516,25
352.396,31
353.566,34
354.444,33
355.370,48
356.539,47
357.466,41
358.343,48
359.514,42
360.633,45
361.318,34
362.536,0
363.413,0
364.293,0
365.711,35
366.397,49
367.313,40
368.487,25
369.363,30
370.349,46
371.503,31
372.384,42
373.261,27
374.526,0
375.309,0
376.329,0
377.405,1
378.623,0
379.209,0
380.528,21
381.305,28
382.228,27
383.352,29
384.574,19
385.156,20
386.468,0
387.276,19
388.179,6
389.399,0
390.229,1
391.201,49
392.325,57
393.246,0
394.079,29
395.539,0
396.177,0
397.246,0
398.317,2
399.149,2
400.076,28
401.246,0
402.218,0
403.240,0
404.218,0
405.155,0
406.023,26
407.245,28
408.124,35
408.995,27
410.259,30
411.091,36
411.969,33
413.146,41
414.067,37
414.943,39
416.164,41
417.041,37
417.941,0
419.137,0
420.059,0
420.893,0
422.109,38
422.992,39
424.156,31
