df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,rr_int
230.176,25
230.179,150
231.735,1365
231.882,430
232.613,655
232.711,10
233.100,155
233.104,415
233.838,10
233.981,615
234.368,10
234.373,650
234.515,10
235.636,20
236.464,1130
237.293,865
237.830,880
238.423,480
238.854,630
239.926,350
241.437,1200
241.440,1500
242.022,10
242.025,600
242.119,15
243.342,15
244.265,1240
244.364,910
245.483,230
247.290,995
247.875,1815
248.701,695
248.754,760
248.847,10
248.850,165
248.947,20
248.993,15
249.091,245
250.402,530
250.797,700
251.869,385
251.873,1135
252.016,190
252.162,170
252.314,25
252.454,25
252.459,185
253.722,300
254.119,970
255.087,455
255.090,910
255.233,10
255.526,30
256.062,395
256.891,500
257.329,875
257.867,500
259.279,470
260.110,1380
261.766,840
261.912,1720
262.058,240
262.741,750
262.744,15
262.792,10
262.795,10
263.034,210
263.179,240
263.862,605
264.009,245
264.106,10
265.230,1120
265.244,15
265.523,295
267.031,975
267.616,585
267.619,615
268.737,10
268.740,1100
270.395,10
271.467,1590
271.614,1115
271.906,155
272.348,320
273.418,480
273.426,1020
273.563,10
273.567,185
275.270,15
275.367,1705
275.371,15
275.416,10
275.419,25
275.436,15
275.659,10
275.663,270
276.492,10
276.929,815
277.025,435
277.079,10
277.269,135
277.368,15
278.048,300
278.585,620
279.285,645
280.291,645
280.294,955
280.342,10
280.925,15
281.658,660
281.705,780
282.196,10
283.026,555
283.170,785
283.610,10
283.797,590
283.996,355
284.142,215
284.145,10
285.556,685
286.239,730
286.245,620
286.926,650
287.360,120
287.512,390
287.604,235
287.608,10
289.163,1345
289.554,235
291.503,415
291.506,1950
292.333,10
293.600,895
294.285,1255
295.599,635
296.671,1260
297.062,1135
297.793,470
298.475,715
298.478,675
299.303,10
300.135,840
300.962,800
300.969,815
301.405,10
301.546,595
302.766,1030
303.204,255
304.033,315
304.570,955
305.543,540
305.547,950
305.836,10
305.982,325
305.986,110
306.668,10
307.250,445
307.645,750
308.079,480
309.152,345
309.590,1105
309.882,530
309.886,260
310.028,115
310.033,15
311.979,815
313.248,1130
314.175,1045
314.270,1165
314.465,10
314.611,465
314.614,10
315.294,590
315.297,10
315.732,10
315.835,410
315.981,270
316.028,10
318.072,955
318.078,1215
318.170,10
318.759,10
319.001,595
319.487,10
319.584,815
319.635,100
321.436,670
322.801,1105
322.948,1440
323.240,110
324.459,295
324.751,1325
324.755,240
324.802,10
324.805,15
324.897,15
324.901,10
326.460,10
326.555,1450
327.845,315
329.042,1280
330.035,1240
331.430,880
331.966,1460
332.262,510
333.087,300
333.770,845
333.972,935
335.866,1120
335.870,745
336.549,10
337.524,720
338.358,1050
339.474,750
339.477,1095
339.620,215
341.034,1300
341.285,10
341.378,280
342.009,15
342.691,710
343.375,695
343.384,685
343.672,10
343.770,370
344.057,10
344.642,360
345.226,580
345.238,480
346.494,10
346.738,1310
346.742,330
346.745,10
346.836,10
346.982,255
347.810,810
348.546,10
349.078,635
350.199,540
350.882,1165
351.418,705
352.149,565
352.539,735
353.272,345
354.245,685
355.464,1105
355.784,1170
355.788,250
356.878,10
357.272,1240
357.706,285
358.830,530
358.836,895
359.949,10
360.047,1350
360.193,15
360.198,205
360.251,15
360.259,10
360.265,10
360.339,10
360.343,10
360.349,10
360.436,15
360.638,305
361.608,1055
362.143,10
362.825,530
363.654,730
364.385,760
365.068,730
365.897,760
366.728,790
367.847,795
368.968,1210
368.973,1070
370.359,10
370.481,1340
370.651,340
370.918,245
372.186,325
372.576,1010
372.724,560
374.530,1410
374.672,490
374.676,15
376.339,1430
377.890,285
378.279,1565
379.693,395
380.375,1420
380.379,635
381.619,10
381.623,1245
382.179,10
383.154,575
383.691,1015
384.132,535
384.291,280
384.746,240
386.323,455
386.762,1645
387.055,445
387.298,225
388.419,315
388.447,1035
388.565,120
388.594,80
389.687,715
389.833,425
389.838,155
389.882,10
389.894,15
389.906,25
390.042,10
390.906,10
392.271,990
392.632,1165
393.831,530
394.274,1335
394.467,560
394.473,10
395.244,665
395.272,185
396.512,10
396.515,1200
396.560,15
396.564,15
396.567,15
396.609,10
396.612,10
396.661,10
397.048,15
398.023,415
398.177,985
398.325,325
400.120,395
400.399,1375
400.406,320
400.413,10
400.433,10
400.463,10
400.466,10
400.476,15
400.662,180
401.923,690
402.313,615
402.606,370
402.610,310
402.654,15
402.658,10
402.661,10
402.753,20
402.788,145
402.904,10
404.267,1270
404.702,190
405.532,455
405.561,835
405.567,15
405.570,10
405.579,15
406.067,30
406.506,565
407.188,355
407.192,665
407.530,15
408.748,250
409.480,1365
410.503,585
410.530,875
411.380,255
412.476,890
413.038,1085
413.184,650
413.331,230
416.109,1420
416.353,1320
416.358,295
416.646,10
417.474,295
417.480,840
417.622,10
417.767,235
419.424,335
419.961,1410
420.810,610
421.382,720
422.204,680
423.471,845
423.861,1130
424.545,550
424.642,585
424.982,25
426.107,400
426.253,1185
426.640,10
427.371,515
427.374,710
428.908,10
429.033,1595
430.251,10
430.396,1275
430.832,120
432.051,450
432.344,1295
432.782,355
432.785,345
433.465,10
433.904,700
433.908,435
434.150,10
434.245,260
434.248,15
434.439,15
434.586,270
434.732,280
434.976,240
436.537,840
437.364,715
437.368,810
438.047,10
438.050,645
438.730,10
439.316,715
440.144,605
441.411,900
441.803,1150
442.137,770
443.618,715
444.433,820
444.437,845
444.579,15
444.584,15
444.631,25
444.642,10
444.648,10
444.651,30
444.729,25
445.317,10
446.241,745
447.358,900
448.236,1165
449.308,820
449.312,1045
449.454,125
449.458,20
449.462,15
450.820,15
450.823,1450
450.966,10
450.969,10
451.015,50
451.018,20
451.025,10
451.033,10
451.649,10
451.941,640
452.917,410
453.062,875
453.355,235
453.501,215
453.505,150
453.552,10
453.556,10
454.330,15
454.333,780
454.920,10
455.552,515
455.841,805
456.378,190
457.033,585
457.255,520
458.327,395
459.163,1105
460.034,810
460.278,790
460.570,340
460.574,315
461.268,10
462.520,670
462.524,1245
463.349,10
463.641,830
465.006,275
465.835,1320
465.838,850
466.956,10
467.253,1155
467.395,415
467.400,10
467.541,10
467.545,25
467.548,95
468.760,250
468.763,1050
468.860,10
469.199,10
469.202,330
469.591,25
470.564,490
471.834,990
472.514,975
473.489,930
474.075,1030
474.171,615
475.439,815
475.446,480
475.588,10
475.736,40
476.560,285
477.389,790
477.535,780
477.827,150
477.834,320
478.093,10
479.046,280
479.729,905
480.705,740
481.143,940
481.581,450
482.429,455
482.815,845
484.751,435
486.700,1950
486.705,1985
487.529,735
487.675,150
490.991,1415
491.143,2065
491.237,10
491.241,15
