df_hash,22ZHK4.BKX4E3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5MD9
person_label,V100
date_time_start,2025-11-04_19-27-19.165000_+03
date_time_start_unix,1762270039.165
date_time_end,2025-11-04_19-35-36.362000_+03
length_difference_noticed,no

time,battery
8.215,80
18.259,80
28.205,80
38.246,80
48.191,80
58.185,80
68.178,80
78.175,80
88.197,80
98.208,80
108.204,80
118.231,80
128.288,80
138.192,80
148.178,80
158.347,80
168.165,80
178.165,80
188.153,80
198.147,80
208.220,80
218.183,80
228.177,80
238.171,80
248.170,80
258.159,79
268.152,79
278.146,79
288.140,79
298.183,79
308.176,79
318.210,79
328.164,79
338.160,79
348.152,79
358.243,79
368.188,79
378.133,79
388.275,79
398.171,79
408.163,79
418.158,79
428.159,79
438.146,79
448.161,79
458.133,79
468.126,79
478.142,79
488.261,79
