df_hash,22ZHK4.YBNJA6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V8T1
person_label,V73
date_time_start,2025-11-03_13-10-52.149000_+03
date_time_start_unix,1762161052.149
date_time_end,2025-11-03_13-19-39.096000_+03
length_difference_noticed,no

time,ppg_med
5.685,730
5.710,838
5.735,1011
5.760,1105
5.785,1070
5.810,1033
5.835,1133
5.860,1316
5.885,1387
5.910,1276
5.935,1158
5.960,1221
5.985,1390
6.010,1401
6.035,1162
6.060,907
6.085,893
6.110,1019
6.135,928
6.160,500
6.185,52
6.210,-76
6.235,-19
6.260,-247
6.285,-915
6.310,-1603
6.335,-1866
6.360,-1880
6.385,-2253
6.410,-3185
6.435,-4128
6.460,-4507
6.485,-4547
6.510,-5030
6.535,-6205
6.560,-7371
6.585,-7791
6.610,-7755
6.635,-8252
6.660,-9593
6.685,-10888
6.710,-11211
6.735,-10927
6.760,-11276
6.785,-12649
6.810,-13926
6.835,-13949
6.860,-13178
6.885,-13162
6.910,-14387
6.935,-15459
6.960,-14933
6.985,-13384
7.010,-12748
7.035,-13633
7.060,-14304
7.085,-12958
7.110,-10315
7.135,-8801
7.160,-9183
7.185,-9295
7.210,-6872
7.235,-2818
7.260,-198
7.285,-2
7.310,507
7.335,4220
7.360,9993
7.385,13882
7.410,14572
7.435,15599
7.460,20757
7.485,28585
7.510,32767
7.535,32767
7.560,32767
7.585,32767
7.610,32767
7.635,32767
7.660,32767
7.685,32767
7.710,32767
7.735,32767
7.760,32767
7.785,32767
7.810,32767
7.835,32767
7.860,32767
7.885,32767
7.910,32767
7.935,20493
7.960,-32768
7.985,-32768
8.010,-32768
8.035,-32768
8.060,-32768
8.085,-32768
8.110,-32768
8.135,-32768
8.160,-32768
8.185,-32768
8.210,-32768
8.235,-32768
8.260,-32768
8.285,-32768
8.310,-32768
8.335,-32768
8.360,-32768
8.385,-31429
8.410,-24079
8.435,-17362
8.460,-14916
8.485,-14681
8.510,-12209
8.535,-6732
8.560,-1789
8.585,-164
8.610,-311
8.635,1200
8.660,5014
8.685,8415
8.710,9226
8.735,8637
8.760,9338
8.785,11853
8.810,14056
8.835,14213
8.860,13225
8.885,13182
8.910,14486
8.935,15494
8.960,14934
8.985,13617
9.010,13216
9.035,13962
9.060,14426
9.085,13544
9.110,12009
9.135,11238
9.160,11458
9.185,11513
9.210,10519
9.235,9023
9.260,8179
9.285,8178
9.310,8083
9.335,7159
9.360,5825
9.385,5007
9.410,4883
9.435,4719
9.460,3917
9.485,2787
9.510,2066
9.535,1927
9.560,1827
9.585,1300
9.610,549
9.635,100
9.660,67
9.685,51
9.710,-274
9.735,-737
9.760,-948
9.785,-846
9.810,-753
9.835,-915
9.860,-1178
9.885,-1228
9.910,-1018
9.935,-807
9.960,-805
9.985,-918
10.010,-910
10.035,-723
10.060,-522
10.085,-449
10.110,-440
10.135,-344
10.160,-149
10.185,-2
10.210,-11
10.235,-110
10.260,-152
10.285,-90
10.310,-19
10.335,-28
10.360,-86
10.385,-91
10.410,-4
10.435,115
10.460,206
10.485,291
10.510,405
10.535,490
10.560,553
10.585,599
10.610,644
10.635,698
10.660,752
10.685,784
10.710,788
10.735,789
10.760,817
10.785,878
10.810,938
10.835,955
10.860,909
10.885,806
10.910,642
10.935,396
10.960,59
10.985,-316
11.010,-626
11.035,-772
11.060,-735
11.085,-578
11.110,-390
11.135,-228
11.160,-105
11.185,-23
11.210,11
11.235,0
11.260,-33
11.285,-50
11.310,-34
11.335,-2
11.360,10
11.385,-4
11.410,-29
11.435,-43
11.460,-45
11.485,-49
11.510,-56
11.535,-53
11.560,-28
11.585,10
11.610,42
11.635,61
11.660,90
11.685,161
11.710,291
11.735,462
11.760,634
11.785,756
11.810,793
11.835,730
11.860,590
11.885,431
11.910,327
11.935,326
11.960,425
11.985,572
12.010,700
12.035,767
12.060,767
12.085,720
12.110,647
12.135,570
12.160,502
12.185,455
12.210,424
12.235,393
12.260,342
12.285,261
12.310,161
12.335,62
12.360,-18
12.385,-77
12.410,-116
12.435,-134
12.460,-125
12.485,-83
12.510,-12
12.535,72
12.560,154
12.585,227
12.610,297
12.635,371
12.660,437
12.685,458
12.710,400
12.735,269
12.760,118
12.785,16
12.810,-9
12.835,6
12.860,11
12.885,-2
12.910,11
12.935,99
12.960,239
12.985,343
13.010,342
13.035,250
13.060,153
13.085,123
13.110,153
13.135,184
13.160,185
13.185,184
13.210,213
13.235,254
13.260,244
13.285,160
13.310,62
13.335,51
13.360,166
13.385,354
13.410,530
13.435,666
13.460,792
13.485,931
13.510,1053
13.535,1107
13.560,1102
13.585,1108
13.610,1183
13.635,1304
13.660,1393
13.685,1401
13.710,1358
13.735,1323
13.760,1297
13.785,1216
13.810,1023
13.835,744
13.860,460
13.885,230
13.910,45
13.935,-133
13.960,-305
13.985,-428
14.010,-476
14.035,-479
14.060,-495
14.085,-529
14.110,-531
14.135,-453
14.160,-325
14.185,-239
14.210,-257
14.235,-344
14.260,-405
14.285,-378
14.310,-293
14.335,-216
14.360,-173
14.385,-119
14.410,-10
14.435,123
14.460,190
14.485,131
14.510,-7
14.535,-98
14.560,-43
14.585,144
14.610,354
14.635,476
14.660,487
14.685,438
14.710,396
14.735,384
14.760,383
14.785,375
14.810,360
