df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,acc_mag
4.821,1.007
4.851,1.011
4.881,1.005
4.911,1.007
4.941,1.012
4.971,1.006
5.001,1.003
5.031,1.008
5.061,1.006
5.091,1.006
5.121,1.001
5.151,1.006
5.181,1.013
5.211,1.007
5.241,1.011
5.271,1.010
5.301,1.007
5.331,1.000
5.361,1.002
5.391,1.003
5.421,1.009
5.451,1.015
5.481,1.014
5.511,1.009
5.541,1.001
5.571,1.008
5.601,1.006
5.631,1.003
5.661,1.011
5.691,1.007
5.721,1.005
5.751,1.013
5.781,1.006
5.811,1.011
5.841,1.010
5.871,1.008
5.901,1.007
5.931,1.008
5.961,1.002
5.991,1.008
6.021,1.013
6.051,1.008
6.081,1.007
6.111,1.009
6.141,1.009
6.171,1.009
6.201,1.005
6.231,1.009
6.261,1.009
6.291,1.005
6.321,1.014
6.351,1.006
6.381,1.004
6.411,1.008
6.441,1.010
6.471,1.008
6.501,1.009
6.531,1.016
6.561,1.006
6.591,1.015
6.621,1.011
6.651,1.009
6.681,1.009
6.711,1.007
6.741,1.010
6.771,1.012
6.801,1.011
6.831,1.006
6.861,1.011
6.891,1.007
6.921,1.011
6.951,1.009
6.981,1.007
7.011,1.009
7.041,1.007
7.071,1.014
7.101,1.005
7.131,1.005
7.161,1.010
7.191,1.007
7.221,1.013
7.251,1.007
7.281,1.007
7.311,1.005
7.341,1.013
7.371,1.011
7.401,1.008
7.431,1.008
7.461,1.005
7.491,1.007
7.521,1.009
7.551,1.010
7.581,1.011
7.611,1.006
7.641,1.010
7.671,1.007
7.701,1.009
7.731,1.010
7.761,1.005
7.791,1.008
7.821,1.008
7.851,1.012
7.881,1.013
7.911,1.003
7.941,1.011
7.971,1.013
8.001,1.005
8.031,1.003
8.061,1.013
8.091,1.007
8.121,1.004
8.151,1.011
8.181,1.009
8.211,1.007
8.241,1.003
8.271,1.008
8.301,1.007
8.331,1.009
8.361,1.008
8.391,1.007
8.421,1.011
8.451,1.003
8.481,1.001
8.511,1.003
8.541,1.013
8.571,1.011
8.601,1.017
8.631,1.010
8.661,1.003
8.691,1.010
8.721,1.007
8.751,1.014
8.781,1.004
8.811,1.008
8.841,1.009
8.871,1.009
8.901,1.008
8.931,1.007
8.961,1.005
8.991,1.008
9.021,1.009
9.051,1.012
9.081,1.007
9.111,1.008
9.141,1.009
9.171,1.009
9.201,1.007
9.231,1.002
9.261,1.009
9.291,1.008
9.321,1.010
9.351,1.010
9.381,1.011
9.411,1.006
9.441,1.007
9.471,1.010
9.501,1.005
9.531,1.010
9.561,1.012
9.591,1.007
9.621,1.006
9.651,1.006
9.681,1.010
9.711,1.008
9.741,1.008
9.771,1.008
9.801,1.008
9.831,1.011
9.861,1.011
9.891,1.004
9.921,1.007
9.951,1.009
9.981,1.011
10.011,1.009
10.041,1.009
10.071,1.008
10.101,1.006
10.131,1.006
10.161,1.015
10.191,1.008
10.221,1.014
10.251,1.010
10.281,1.004
10.311,1.001
10.341,1.005
10.371,1.003
10.401,1.007
10.431,1.012
10.461,1.015
10.491,1.015
10.521,1.010
10.551,1.014
10.581,1.010
10.611,1.011
10.641,1.007
10.671,1.007
10.701,1.007
10.731,1.005
10.761,1.011
10.791,1.005
10.821,1.005
10.851,1.007
10.881,1.006
10.911,1.008
10.941,1.014
10.971,1.008
11.001,1.010
11.031,1.010
11.061,1.010
11.091,1.009
11.121,1.007
11.151,1.009
11.181,1.009
11.211,1.012
11.241,1.010
11.271,1.008
11.301,1.005
11.331,1.008
11.361,1.007
11.391,1.011
11.421,1.012
11.451,1.009
11.481,1.008
11.511,1.002
11.541,1.013
11.571,1.008
11.601,1.008
11.631,1.009
11.661,1.009
11.691,1.009
11.721,1.006
11.751,1.008
11.781,1.006
11.811,1.013
11.841,1.009
11.871,1.005
11.901,1.010
11.931,1.006
11.961,1.007
11.991,1.009
12.021,1.008
12.051,1.012
12.081,1.010
12.111,1.009
12.141,1.008
12.171,1.009
12.201,1.010
12.231,1.004
12.261,1.008
12.291,1.008
12.321,1.005
12.351,1.014
12.381,1.008
12.411,1.008
12.441,1.006
12.471,1.007
12.501,1.006
12.531,1.008
12.561,1.008
12.591,1.007
12.621,1.010
12.651,1.012
12.681,1.008
12.711,1.005
12.741,1.009
12.771,1.010
12.801,1.011
12.831,1.011
12.861,1.010
12.891,1.007
12.921,1.009
12.951,1.007
12.981,1.009
13.011,1.007
13.041,1.010
13.071,1.007
13.101,1.006
13.131,1.006
13.161,1.012
13.191,1.012
13.221,1.005
13.251,1.007
13.281,1.009
13.311,1.008
13.341,1.009
13.371,1.012
13.401,1.007
13.431,1.011
13.461,1.013
13.491,1.013
13.521,1.007
13.551,1.005
13.581,1.006
13.611,1.007
13.641,1.011
13.671,1.009
13.701,1.011
13.731,1.005
13.761,1.008
13.791,1.010
13.821,1.006
13.851,1.011
13.881,1.008
13.911,1.004
13.941,1.010
13.971,1.017
14.001,1.016
14.031,1.004
14.061,1.007
14.091,1.007
14.121,1.007
14.151,1.005
14.181,1.014
