df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,temperature
5.020,33.188
5.944,33.188
7.067,33.188
8.188,33.188
8.972,33.219
9.989,33.250
10.966,33.281
11.989,33.219
12.969,33.219
14.039,33.250
14.963,33.281
15.985,33.375
16.960,33.438
18.032,33.469
18.959,33.469
19.984,33.469
20.957,33.500
21.982,33.625
23.361,33.656
23.980,33.656
24.955,33.688
25.979,33.625
26.954,33.719
27.978,33.750
28.956,33.781
29.977,33.781
30.952,33.750
31.976,33.781
32.959,33.781
33.974,33.812
34.949,33.875
35.981,33.844
36.948,33.812
38.369,33.812
38.947,33.812
40.168,33.812
40.946,33.875
41.969,33.875
42.944,33.844
43.968,33.875
45.043,33.875
46.016,33.906
46.961,33.938
47.965,33.969
48.941,34.031
49.965,34.031
50.939,34.062
51.970,34.094
52.987,34.094
54.065,34.094
55.132,34.125
55.961,34.125
57.009,34.125
57.959,34.156
59.181,34.156
60.007,34.188
60.982,34.188
62.113,34.188
62.980,34.219
63.956,34.250
65.028,34.281
66.299,34.281
66.978,34.281
68.002,34.281
69.272,34.344
70.198,34.344
70.976,34.344
71.951,34.375
72.975,34.375
73.950,34.344
74.996,34.312
76.026,34.344
76.972,34.344
77.947,34.344
78.971,34.312
79.945,34.344
81.018,34.344
81.949,34.344
82.969,34.375
83.943,34.406
84.967,34.406
86.065,34.406
86.966,34.406
87.941,34.438
88.967,34.438
89.940,34.469
91.018,34.500
91.971,34.531
92.962,34.562
93.937,34.562
94.961,34.562
95.985,34.531
96.959,34.562
97.983,34.594
98.961,34.656
100.133,34.656
100.957,34.688
102.176,34.688
102.956,34.688
104.028,34.719
104.967,34.719
105.978,34.750
106.958,34.719
108.000,34.750
108.952,34.719
109.976,34.688
110.999,34.719
112.190,34.719
112.950,34.719
114.022,34.750
115.068,34.750
115.972,34.781
116.956,34.812
117.971,34.781
118.946,34.781
119.975,34.781
120.994,34.781
121.969,34.781
123.190,34.812
123.967,34.812
124.942,34.875
126.015,34.875
126.941,34.875
128.026,34.875
128.940,34.875
130.061,34.906
130.994,34.875
131.963,34.906
132.954,34.875
134.255,34.875
134.941,34.875
136.062,34.906
137.253,34.875
137.963,34.969
139.023,34.969
140.006,34.969
141.030,35.000
141.956,35.031
143.126,35.062
144.107,35.062
145.019,35.031
145.954,35.031
146.944,35.031
148.001,35.000
148.976,35.000
149.951,35.062
151.222,35.000
151.950,35.031
152.974,35.062
153.998,35.031
155.073,35.062
155.948,35.062
156.979,35.062
157.946,35.094
158.970,35.125
160.091,35.125
160.993,35.125
161.944,35.125
162.968,35.156
163.991,35.156
164.966,35.125
166.331,35.125
166.965,35.156
167.940,35.188
168.964,35.156
169.947,35.125
171.111,35.125
171.950,35.125
172.964,35.125
173.937,35.125
174.960,35.156
175.935,35.156
176.959,35.125
177.934,35.125
178.961,35.125
179.933,35.156
180.956,35.188
182.155,35.188
182.955,35.156
183.930,35.156
185.003,35.219
185.929,35.219
187.014,35.219
187.928,35.188
188.952,35.188
189.927,35.219
190.950,35.188
191.925,35.188
192.970,35.219
193.925,35.219
194.948,35.219
195.972,35.188
196.947,35.219
198.068,35.250
198.945,35.250
199.920,35.250
200.944,35.281
201.967,35.281
202.943,35.281
203.967,35.250
204.944,35.281
205.967,35.281
206.940,35.250
207.964,35.250
209.037,35.281
209.964,35.312
210.942,35.281
211.962,35.312
212.936,35.312
213.964,35.344
214.936,35.344
215.962,35.375
216.934,35.406
217.958,35.438
219.179,35.406
219.957,35.438
220.981,35.438
221.956,35.438
222.980,35.438
223.954,35.406
224.929,35.406
225.953,35.406
226.928,35.438
227.952,35.406
229.027,35.375
230.243,35.344
231.023,35.375
231.950,35.344
232.925,35.375
233.948,35.375
235.023,35.406
235.947,35.406
236.922,35.375
237.949,35.375
238.969,35.438
239.945,35.438
241.212,35.406
241.945,35.406
242.918,35.406
243.942,35.406
244.939,35.438
245.941,35.406
247.159,35.406
247.940,35.438
248.915,35.406
249.938,35.406
250.962,35.438
252.034,35.406
252.961,35.344
253.936,35.375
254.959,35.375
256.131,35.375
256.959,35.438
258.131,35.438
258.957,35.438
259.932,35.469
261.056,35.594
261.931,35.562
262.955,35.656
263.930,35.688
264.954,35.656
265.984,35.656
266.952,35.625
267.976,35.656
268.951,35.625
269.926,35.625
270.950,35.562
272.176,35.562
273.094,35.562
273.924,35.562
274.952,35.594
275.922,35.562
277.002,35.531
278.018,35.500
278.993,35.531
279.920,35.562
281.142,35.531
281.919,35.531
282.942,35.562
283.917,35.531
284.941,35.531
286.065,35.562
286.989,35.594
288.012,35.594
288.939,35.594
289.914,35.594
290.955,35.594
291.936,35.625
292.941,35.625
294.008,35.625
294.939,35.656
295.915,35.625
296.934,35.625
298.055,35.625
298.932,35.625
300.202,35.625
300.931,35.625
302.006,35.625
303.027,35.625
303.959,35.594
304.929,35.562
305.952,35.594
306.933,35.594
307.957,35.594
308.926,35.625
309.950,35.625
310.925,35.594
311.949,35.625
313.024,35.625
313.947,35.656
314.926,35.688
315.981,35.656
316.973,35.656
317.945,35.656
