df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,quality
5.801,94
7.941,100
8.965,100
9.657,100
10.923,0
11.942,0
12.624,0
13.843,0
14.725,49
15.693,66
16.819,66
17.740,66
18.622,76
19.792,81
20.671,60
21.617,61
22.767,60
23.713,64
24.763,69
25.836,79
26.616,83
27.688,81
28.712,83
29.885,85
30.516,84
31.739,84
32.617,90
33.490,90
34.757,75
35.593,71
36.464,77
37.728,78
38.560,76
39.485,67
40.656,74
41.585,85
42.554,79
43.680,73
44.509,70
45.483,58
46.605,59
47.483,66
48.699,69
49.623,67
50.747,75
51.428,78
52.697,83
53.477,84
54.355,78
55.574,38
56.496,37
57.572,39
58.549,41
59.668,41
60.302,41
61.618,60
62.690,78
63.278,75
64.496,77
65.418,86
66.347,89
67.542,85
68.347,82
69.565,82
70.783,82
71.465,82
72.246,81
73.464,84
74.344,85
75.246,82
76.399,83
77.317,84
78.194,79
79.561,82
80.290,80
81.167,83
82.386,79
83.309,79
84.187,77
85.405,81
86.266,76
87.164,64
88.380,65
89.257,69
90.137,61
91.307,53
92.235,73
93.205,79
94.437,73
95.210,74
96.086,77
97.510,71
98.328,62
99.109,54
100.230,51
101.157,76
102.182,79
103.252,76
104.174,78
105.055,73
106.371,63
107.347,61
108.078,67
109.391,77
110.125,81
111.100,75
112.218,74
113.099,78
114.083,81
115.588,84
116.121,85
116.951,85
118.123,81
119.192,78
119.970,79
121.142,82
122.069,84
122.898,80
124.121,81
124.994,83
125.894,82
127.090,79
128.041,65
128.846,59
130.159,70
130.990,78
131.875,86
133.038,88
133.974,86
134.936,80
136.072,77
137.246,81
137.817,85
139.082,86
139.914,85
140.790,86
142.007,84
142.984,80
143.809,82
145.030,80
145.859,85
146.786,83
147.955,84
148.834,79
149.711,73
150.930,76
151.809,76
152.833,69
153.948,68
154.781,75
155.901,79
156.974,75
157.755,76
158.681,80
159.851,83
160.827,82
161.898,80
162.824,81
163.908,82
164.629,84
165.849,83
166.726,84
167.748,88
168.869,86
169.942,83
170.683,79
171.944,82
172.674,84
173.746,85
174.814,86
175.695,83
176.618,80
177.819,76
178.669,78
179.595,79
180.810,75
181.934,81
182.666,85
183.739,84
184.615,86
185.494,86
186.712,87
187.590,88
188.516,87
189.689,84
190.638,85
191.490,86
192.802,88
193.586,81
194.609,81
195.634,81
196.803,84
197.545,86
198.656,83
199.533,85
200.411,81
201.824,79
202.507,84
203.387,85
204.603,84
205.735,89
206.359,84
207.624,81
208.455,82
209.358,82
210.552,84
211.428,83
212.548,83
213.867,86
214.499,83
215.328,82
216.742,75
217.471,68
218.348,68
219.472,59
220.739,31
221.276,30
222.446,28
223.372,35
224.250,42
225.420,39
226.347,23
227.224,31
228.784,28
229.414,32
230.444,19
231.559,19
232.439,0
233.220,26
234.631,0
235.268,0
236.434,29
237.364,31
238.290,34
239.168,32
240.486,31
241.312,32
242.142,24
243.361,28
244.336,23
245.115,25
246.336,21
247.211,20
248.089,0
249.402,0
250.187,26
251.208,41
252.282,58
253.159,75
254.036,65
255.257,52
256.178,54
257.153,54
258.231,53
259.305,50
260.032,54
261.206,45
262.080,43
263.010,23
264.176,20
265.102,15
266.269,16
267.152,16
268.077,20
269.000,25
270.125,28
271.106,19
272.171,38
273.289,46
274.070,51
274.947,46
276.214,26
277.293,33
277.922,0
279.094,36
280.263,9
280.946,5
282.165,4
283.237,30
283.871,36
285.044,44
285.919,44
286.880,61
288.158,40
288.893,31
289.819,32
291.330,36
291.878,0
292.936,40
294.206,37
294.935,50
295.910,38
297.081,31
297.908,33
298.742,37
299.959,41
300.877,45
301.961,57
302.933,62
303.812,65
304.834,61
305.911,58
306.929,44
307.662,43
308.880,28
309.758,33
310.637,29
311.861,40
312.732,37
313.658,66
314.828,73
315.760,70
316.924,73
317.850,71
318.679,73
319.703,72
320.920,68
321.799,63
322.580,70
323.844,50
324.677,38
325.696,27
326.723,33
327.649,38
328.528,39
329.746,47
330.626,58
331.503,57
332.721,52
333.598,53
334.477,47
335.741,0
336.628,30
337.499,28
338.714,0
339.544,0
340.496,36
341.641,38
342.567,40
343.444,46
344.615,49
345.586,61
346.419,74
347.590,68
348.526,54
349.394,53
350.611,49
351.538,50
352.415,41
353.585,35
354.507,39
355.389,40
356.559,44
357.459,51
358.314,51
359.533,50
360.410,58
361.435,43
362.513,37
363.383,33
364.404,33
365.623,43
366.604,46
367.577,72
368.499,78
369.386,77
370.549,55
371.428,36
372.356,39
373.233,40
374.641,43
375.378,36
376.306,53
377.424,56
378.354,56
379.182,30
380.398,3
381.274,0
382.201,0
383.373,0
384.592,0
385.175,32
386.416,30
387.315,26
388.150,34
389.415,35
390.537,31
391.123,49
392.293,59
393.268,61
394.096,58
395.304,59
396.192,62
397.097,65
398.250,57
399.169,34
400.336,30
401.262,32
402.140,34
403.018,26
404.238,34
405.140,58
406.234,62
407.356,55
408.091,65
409.014,61
410.186,40
411.106,32
411.989,0
413.206,0
414.074,0
415.009,0
416.228,15
417.059,25
418.033,0
419.150,22
420.135,3
420.911,2
