df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,rr_int
9.843,4525
10.769,715
11.403,770
11.549,720
11.554,185
11.663,50
12.085,20
12.088,530
12.231,10
12.234,80
12.377,150
12.386,10
13.499,405
14.182,725
14.474,735
14.912,275
15.743,430
15.887,775
15.996,195
16.441,45
17.253,520
17.984,735
17.989,790
18.764,10
18.770,805
19.447,10
20.129,615
20.860,690
21.397,705
22.079,680
22.372,680
22.908,245
23.658,490
23.688,730
24.324,10
25.004,695
25.010,700
25.786,10
25.840,695
26.418,215
27.198,555
27.929,715
28.612,730
29.343,740
30.172,750
30.854,755
30.859,750
31.537,10
32.366,735
33.100,730
33.633,700
33.637,650
34.364,10
35.144,700
35.879,745
36.558,745
37.240,700
37.291,645
37.851,10
38.537,650
39.191,680
39.873,665
40.458,675
41.140,665
42.566,695
43.238,1320
43.776,655
44.358,595
44.945,555
45.577,615
46.161,660
46.844,600
46.850,625
46.991,10
47.429,235
48.112,405
48.794,685
48.797,690
49.088,10
49.092,215
49.479,35
49.574,390
50.061,10
50.065,650
50.752,10
51.445,675
51.576,705
51.964,10
52.158,215
52.161,440
52.889,10
53.669,670
53.673,825
53.769,20
53.815,20
53.819,90
53.865,25
53.869,15
53.872,10
53.913,10
53.917,15
53.961,20
53.965,45
54.059,25
54.062,10
54.254,10
54.649,320
55.135,360
55.619,365
56.511,685
57.862,760
58.593,1465
58.596,665
59.275,10
59.279,695
59.909,10
60.738,705
61.472,755
61.518,725
62.157,10
62.834,715
63.712,755
63.715,750
64.394,10
65.077,735
65.147,690
65.759,10
66.756,730
67.368,780
68.148,780
68.831,765
69.571,695
70.293,730
71.073,755
71.902,775
72.633,780
72.636,755
73.315,10
73.998,720
74.827,730
74.973,765
75.509,10
76.338,775
77.063,765
77.752,730
78.581,710
79.263,755
79.953,750
80.725,745
80.729,700
81.359,10
82.237,680
82.919,745
83.602,715
83.845,760
84.284,225
84.970,495
85.142,710
85.145,135
85.260,15
85.263,25
85.308,15
85.311,10
85.650,15
86.527,465
86.539,825
87.212,10
87.899,720
88.577,730
89.262,700
89.990,675
90.671,645
90.866,680
91.207,205
91.968,455
92.621,660
93.303,710
94.378,735
94.720,695
95.399,675
95.594,625
95.600,185
95.694,15
95.700,10
95.936,15
95.940,390
96.765,10
97.544,760
97.549,760
98.333,10
98.336,735
99.055,10
99.689,785
100.519,750
101.249,745
101.932,705
101.992,670
102.187,10
102.664,190
103.346,535
103.349,735
103.492,10
103.495,185
104.032,440
104.179,10
104.294,260
104.473,10
104.476,10
104.480,10
105.296,440
105.983,630
106.661,670
107.352,690
107.392,665
107.977,10
108.611,630
109.396,680
110.171,705
110.877,750
111.536,730
112.223,660
112.901,700
113.676,735
114.315,700
115.195,685
115.728,725
116.557,755
116.703,765
117.240,240
117.922,490
118.605,690
119.336,680
119.494,720
120.018,205
120.701,530
121.432,725
122.114,690
122.118,695
122.797,10
123.480,715
124.211,710
124.893,685
124.897,650
125.576,10
125.579,685
126.405,10
126.409,775
126.551,10
127.382,170
127.986,635
128.647,765
129.330,735
129.333,730
130.169,10
130.841,745
131.670,745
132.298,695
132.938,695
133.766,735
134.497,770
134.505,750
135.543,10
135.982,700
136.703,730
137.471,750
138.140,760
138.787,735
139.470,680
140.299,710
141.033,740
141.078,730
141.712,10
142.395,675
142.399,685
143.129,10
143.663,695
143.817,675
144.345,10
144.356,675
145.076,10
145.905,680
146.490,730
147.123,690
148.005,695
148.684,740
149.610,775
149.615,765
149.756,10
150.195,250
150.877,450
151.316,725
151.417,430
151.422,10
151.609,235
152.839,690
153.607,655
154.241,665
154.972,655
155.606,705
155.611,730
155.908,10
156.337,220
157.020,495
157.726,670
158.385,700
159.214,720
159.945,755
159.949,720
160.095,10
160.665,195
161.310,475
162.138,700
162.142,740
162.726,10
163.455,720
164.116,715
164.119,695
164.820,10
165.502,705
166.337,730
166.433,710
167.211,10
167.754,690
167.799,730
168.428,10
169.256,770
170.036,760
170.040,710
170.767,10
170.771,725
171.501,10
172.181,755
172.912,775
173.595,730
174.426,715
174.436,730
174.448,115
174.570,105
175.106,530
175.789,10
175.792,740
176.520,10
177.203,680
178.031,715
178.714,740
178.719,775
179.600,10
180.322,770
180.960,700
181.939,730
182.467,775
182.522,790
183.296,10
183.300,745
184.035,10
184.710,750
185.392,720
186.270,740
186.953,775
186.962,735
187.635,10
188.464,695
189.148,750
189.877,755
190.560,735
190.574,680
191.243,10
191.247,710
192.071,10
192.075,750
192.218,10
192.807,230
193.632,540
194.314,765
194.325,715
194.996,10
195.825,755
196.556,785
197.239,780
197.390,705
198.071,10
198.751,715
199.579,770
199.582,790
200.310,10
200.554,790
201.139,225
201.830,515
202.653,725
203.333,760
203.336,775
204.064,10
204.747,755
205.429,705
205.434,700
206.258,10
206.943,710
207.089,755
207.672,10
208.354,745
209.040,685
209.768,695
209.771,720
210.597,10
211.302,730
211.815,695
211.818,665
212.553,10
213.424,695
213.430,720
214.058,10
214.061,770
214.399,10
214.740,225
214.743,470
215.423,10
215.715,640
215.718,300
