df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,omega
65.144,0.478
69.127,0.480
70.346,0.481
74.882,0.480
77.074,0.478
80.781,0.480
97.650,0.480
99.793,0.480
101.305,0.478
101.991,0.476
102.039,0.477
107.406,0.477
109.446,0.477
110.469,0.477
110.927,0.477
111.595,0.477
112.277,0.478
113.785,0.476
129.386,0.474
136.057,0.474
138.167,0.474
138.937,0.474
141.374,0.474
142.499,0.477
146.593,0.477
149.668,0.477
151.414,0.477
164.157,0.477
170.969,0.477
178.770,0.477
180.427,0.477
182.520,0.477
182.623,0.477
191.302,0.477
196.658,0.476
197.296,0.476
197.441,0.476
199.689,0.476
200.606,0.477
203.381,0.479
205.492,0.486
252.821,0.486
276.272,0.486
297.139,0.491
301.763,0.487
312.830,0.481
336.519,0.503
366.361,1.046
464.395,0.599
