df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,perfusion_ir
65.084,0.110
69.124,0.120
70.341,0.120
74.875,0.120
77.069,0.120
80.778,0.120
97.644,0.120
99.790,0.120
101.301,0.120
101.983,0.120
102.035,0.120
107.403,0.120
109.442,0.120
110.466,0.120
110.924,0.120
111.587,0.120
112.273,0.120
113.781,0.120
129.382,0.120
136.012,0.110
138.161,0.120
138.842,0.120
141.101,0.110
142.495,0.110
146.590,0.110
149.664,0.110
151.372,0.110
164.141,0.110
170.965,0.110
178.766,0.110
180.423,0.110
182.516,0.110
182.620,0.110
191.294,0.110
196.654,0.110
197.291,0.110
197.437,0.110
199.656,0.110
200.603,0.110
203.343,0.110
205.484,0.110
252.817,0.110
276.269,0.110
297.135,0.110
301.759,0.110
312.826,0.110
336.488,0.110
366.357,0.140
464.391,0.140
