df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,heart_rate
5.796,88
7.843,47
8.772,46
9.647,46
10.915,46
11.747,46
12.621,46
13.840,46
14.718,46
15.595,84
16.814,84
17.691,83
18.617,81
19.787,80
20.665,82
21.612,84
22.761,85
23.710,87
24.567,87
25.833,86
26.613,86
27.549,85
28.709,85
29.881,84
30.513,84
31.687,83
32.613,83
33.486,82
34.659,82
35.583,83
36.460,83
37.681,83
38.556,84
39.437,85
40.653,86
41.579,87
42.438,88
43.675,88
44.504,89
45.480,90
46.600,91
47.478,92
48.412,93
49.577,93
50.744,92
51.418,92
52.600,91
53.474,90
54.352,89
55.570,89
56.448,89
57.326,89
58.544,87
59.488,87
60.299,86
61.523,85
62.397,85
63.273,84
64.492,84
65.369,83
66.307,83
67.538,82
68.343,82
69.562,82
70.456,82
71.369,81
72.243,81
73.413,81
74.339,81
75.241,81
76.387,81
77.313,81
78.191,81
79.410,81
80.287,81
81.164,81
82.383,81
83.260,82
84.138,82
85.357,82
86.259,82
87.160,82
88.332,82
89.211,82
90.134,82
91.304,83
92.230,84
93.108,85
94.425,86
95.204,86
96.082,87
97.501,87
98.182,87
99.105,87
100.226,85
101.152,84
102.179,83
103.248,83
104.126,83
105.052,83
106.243,84
107.343,85
108.075,86
109.198,87
110.122,87
111.003,87
112.192,87
113.096,87
114.072,86
115.585,86
116.118,85
116.948,85
118.117,84
119.046,84
119.923,84
121.093,84
122.066,84
122.895,84
124.116,84
124.991,84
125.891,85
127.087,85
128.036,85
128.842,84
130.065,83
130.941,82
131.865,82
133.034,82
133.937,82
134.857,82
136.067,82
137.234,82
137.812,82
139.033,82
139.908,82
140.786,82
141.960,82
142.979,83
143.760,83
145.022,84
145.856,85
146.782,85
147.952,86
148.830,86
149.707,85
150.926,84
151.803,84
152.828,83
153.905,84
154.777,85
155.724,86
156.971,86
157.751,86
158.677,86
159.847,85
160.822,85
161.656,85
162.821,84
163.897,84
164.625,84
165.843,84
166.721,84
167.745,84
168.822,84
169.939,83
170.670,83
171.938,82
172.669,82
173.600,82
174.765,82
175.691,82
176.569,82
177.815,82
178.665,82
179.591,82
180.762,82
181.678,82
182.663,81
183.735,81
184.612,81
185.490,81
186.709,81
187.586,81
188.512,81
189.682,81
190.632,81
191.486,81
192.679,81
193.583,81
194.462,81
195.630,81
196.659,80
197.482,80
198.653,80
199.530,80
200.407,80
201.629,80
202.504,80
203.382,80
204.600,80
205.724,80
206.355,80
207.574,81
208.451,81
209.354,82
210.548,82
211.425,82
212.360,83
213.541,84
214.402,84
215.325,84
216.500,84
217.422,84
218.302,85
219.469,84
220.406,84
221.273,84
222.443,84
223.369,84
224.246,86
225.416,86
226.343,85
227.220,85
228.468,85
229.365,82
230.440,83
231.482,82
232.340,82
233.217,82
234.388,82
235.264,82
236.224,84
237.360,85
238.287,86
239.164,86
240.483,85
241.215,86
242.138,85
243.357,85
244.332,85
245.112,85
246.331,85
247.208,85
248.085,85
249.326,85
250.182,84
251.062,82
252.279,82
253.155,80
254.033,79
255.252,80
256.136,80
257.060,80
258.225,81
259.301,80
260.029,80
261.200,80
262.077,80
263.003,80
264.173,80
265.054,80
265.995,80
267.149,80
268.074,80
268.955,80
270.121,83
271.098,81
271.977,82
273.098,82
274.034,83
274.900,83
276.079,82
277.290,82
277.872,82
279.091,82
279.972,82
280.849,82
282.162,82
282.949,83
283.824,84
285.038,84
285.916,85
286.873,86
288.015,86
288.889,85
289.816,85
290.987,85
291.863,85
292.805,85
294.015,85
294.887,85
295.774,85
296.937,85
297.859,85
298.737,86
299.956,87
300.862,88
301.957,88
302.930,88
303.807,87
304.690,87
305.905,87
306.782,87
307.658,87
308.877,87
309.755,87
310.632,87
311.851,86
312.728,85
313.655,86
314.825,85
315.757,86
316.670,86
317.798,86
318.676,87
319.700,87
320.774,87
321.796,87
322.576,86
323.752,85
324.672,85
325.591,85
326.720,85
327.646,85
328.523,87
329.742,87
330.620,88
331.498,88
332.716,88
333.595,88
334.471,88
335.691,88
336.622,88
337.494,88
338.707,88
339.541,88
340.493,90
341.637,91
342.564,91
343.441,91
344.611,91
345.561,90
346.415,90
347.585,90
348.515,89
349.389,88
350.607,88
351.534,86
352.411,87
353.581,86
354.461,86
355.385,88
356.555,89
357.456,89
358.310,89
359.529,89
360.406,89
361.336,88
362.503,88
363.380,88
364.306,88
365.553,90
366.601,91
367.286,91
368.450,91
369.376,91
370.451,90
371.424,90
372.350,91
373.227,90
374.404,92
375.373,90
376.302,92
377.420,93
378.350,93
379.175,92
380.394,92
381.271,92
382.198,92
383.368,92
384.588,92
385.172,91
386.413,91
387.312,91
388.145,92
389.327,91
390.270,91
391.119,91
392.289,91
393.264,91
394.093,91
395.297,90
396.189,90
397.091,89
398.236,89
399.163,89
400.080,89
401.259,89
402.137,89
403.014,89
404.233,89
405.137,91
405.992,91
407.213,92
408.084,91
409.010,91
410.180,92
411.063,91
411.984,91
413.203,91
414.070,91
414.963,91
416.131,91
417.054,91
417.937,91
419.102,91
420.131,91
420.905,91
