df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,spo2
65.081,99
68.841,99
70.296,99
74.832,99
77.066,99
80.774,99
97.555,99
99.693,99
101.253,99
101.935,99
102.032,99
107.397,99
109.439,99
110.175,99
110.912,99
111.540,99
112.270,99
113.689,99
129.379,99
136.009,99
138.156,99
138.836,99
141.095,99
142.492,99
146.494,99
149.661,99
151.365,99
164.137,99
170.774,99
178.763,99
180.326,99
182.473,99
182.616,99
191.291,99
196.560,99
197.288,99
197.434,99
199.628,99
200.557,99
203.340,99
205.478,99
252.769,99
276.266,99
297.132,99
301.715,99
312.787,99
336.482,99
366.354,86
464.346,97
