df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,battery
14.035,87
23.883,87
33.877,87
43.871,87
53.944,87
63.858,87
73.901,86
83.849,86
93.840,86
103.933,86
113.831,86
123.878,86
133.864,86
143.858,86
153.900,86
163.942,86
173.839,86
183.833,86
193.827,86
203.821,86
213.961,86
223.857,86
233.851,86
243.845,86
253.863,86
263.888,86
273.839,86
283.819,86
293.814,86
303.954,85
313.850,85
323.851,85
333.838,85
343.832,85
353.826,85
363.820,85
373.813,85
383.807,85
393.801,85
403.794,85
413.885,85
423.881,85
433.972,85
443.819,85
453.829,85
463.906,85
473.825,85
483.940,85
