df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,acc_mag
4.643,0.998
4.673,0.998
4.703,0.997
4.733,0.995
4.763,0.998
4.793,1.001
4.823,1.000
4.853,1.000
4.883,1.000
4.913,1.001
4.943,1.001
4.973,1.001
5.003,0.994
5.033,1.006
5.063,0.999
5.093,0.993
5.123,1.000
5.153,1.002
5.183,0.993
5.213,0.999
5.243,1.001
5.273,0.996
5.303,1.002
5.333,0.999
5.363,1.000
5.393,1.000
5.423,0.998
5.453,1.001
5.483,0.997
5.513,0.998
5.543,0.997
5.573,0.999
5.603,1.000
5.633,0.994
5.663,1.003
5.693,1.003
5.723,0.996
5.753,0.996
5.783,0.999
5.813,0.995
5.843,1.003
5.873,0.995
5.903,0.991
5.933,0.999
5.963,1.009
5.993,1.000
6.023,1.007
6.053,1.005
6.083,1.007
6.113,1.004
6.143,0.996
6.173,0.990
6.203,0.989
6.233,0.994
6.263,0.998
6.293,0.999
6.323,0.997
6.353,0.998
6.383,1.001
6.413,0.999
6.443,0.998
6.473,1.006
6.503,1.012
6.533,0.997
6.563,1.021
6.593,0.986
6.623,0.975
6.653,1.003
6.683,1.013
6.713,0.997
6.743,1.002
6.773,0.992
6.803,0.999
6.833,0.984
6.863,1.008
6.893,1.009
6.923,1.015
6.953,0.996
6.983,0.991
7.013,0.987
7.043,1.002
7.073,1.007
7.103,0.999
7.133,1.004
7.163,0.983
7.193,1.013
7.223,0.998
7.253,0.998
7.283,0.995
7.313,0.987
7.343,0.997
7.373,1.009
7.403,1.007
7.433,0.990
7.463,1.013
7.493,1.004
7.523,0.985
7.553,0.999
7.583,0.991
7.613,0.996
7.643,1.003
7.673,0.996
7.703,0.997
7.733,1.004
7.763,1.009
7.793,1.005
7.823,1.008
7.853,1.000
7.883,1.007
7.913,1.001
7.943,1.002
7.973,1.007
8.003,1.003
8.033,1.008
8.063,1.005
8.093,1.007
8.123,1.001
8.153,0.986
8.183,1.004
8.213,1.006
8.243,1.005
8.273,0.997
8.303,1.001
8.333,1.000
8.363,1.010
8.393,1.004
8.423,1.004
8.453,1.002
8.483,1.004
8.513,1.004
8.543,1.003
8.573,1.008
8.603,0.997
8.633,1.001
8.663,1.004
8.693,1.005
8.723,0.995
8.753,1.010
8.783,1.002
8.813,1.008
8.843,0.995
8.873,1.000
8.903,1.007
8.933,1.005
8.963,1.006
8.993,1.005
9.023,1.000
9.053,1.004
9.083,1.007
9.113,1.007
9.143,1.004
9.173,0.999
9.203,0.998
9.233,1.000
9.263,1.004
9.293,1.005
9.323,1.003
9.353,1.004
9.383,1.002
9.413,1.004
9.443,1.005
9.473,1.010
9.503,0.996
9.533,1.008
9.563,1.005
9.593,0.995
9.623,1.002
9.653,1.009
9.683,1.001
9.713,0.999
9.743,1.000
9.773,1.000
9.803,1.004
9.833,1.003
9.863,1.000
9.893,1.005
9.923,1.002
9.953,1.003
9.983,1.001
10.013,1.002
10.043,1.008
10.073,1.008
10.103,1.006
10.133,1.004
10.163,0.996
10.193,1.011
10.223,0.998
10.253,1.005
10.283,1.006
10.313,1.002
10.343,1.003
10.373,1.005
10.403,1.006
10.433,0.998
10.463,1.006
10.493,1.001
10.523,1.004
10.553,1.001
10.583,1.003
10.613,1.002
10.643,1.004
10.673,1.002
10.703,1.004
10.733,1.003
10.763,1.004
10.793,1.007
10.823,1.000
10.853,1.002
10.883,1.001
10.913,1.001
10.943,1.007
10.973,0.996
11.003,1.003
11.033,1.006
11.063,1.000
11.093,1.001
11.123,1.008
11.153,1.007
11.183,1.003
11.213,1.003
11.243,1.006
11.273,0.999
11.303,1.008
11.333,1.010
11.363,0.997
11.393,1.001
11.423,1.000
11.453,1.003
11.483,0.994
11.513,1.000
11.543,1.006
11.573,1.006
11.603,1.003
11.633,1.005
11.663,1.002
11.693,1.005
11.723,0.994
11.753,1.003
11.783,1.008
11.813,0.998
11.843,1.000
11.873,1.007
11.903,1.007
11.933,1.004
11.963,1.010
11.993,0.999
12.023,1.007
12.053,1.006
12.083,1.000
12.113,1.002
12.143,1.005
12.173,1.003
12.203,1.000
12.233,1.004
12.263,1.004
12.293,1.005
12.323,1.006
12.353,1.001
12.383,1.006
12.413,1.001
12.443,1.004
12.473,1.006
12.503,0.999
12.533,1.002
12.563,1.008
12.593,1.009
12.623,1.002
12.653,1.007
12.683,0.999
12.713,1.004
12.743,1.006
12.773,1.001
12.803,1.000
12.833,1.006
12.863,1.006
12.893,1.002
12.923,1.002
12.953,1.006
12.983,1.007
13.013,1.003
13.043,1.004
13.073,1.002
13.103,1.007
13.133,0.997
13.163,1.009
13.193,1.002
13.223,0.999
13.253,1.005
13.283,1.006
13.313,1.002
13.343,1.004
13.373,1.002
13.403,1.000
13.433,1.006
13.463,1.002
13.493,1.002
13.523,0.999
13.553,1.004
13.583,1.005
13.613,1.003
13.643,1.006
13.673,1.007
13.703,1.000
13.733,1.006
13.763,1.003
13.793,1.002
13.823,1.006
13.853,1.002
13.883,1.003
13.913,1.006
13.943,0.998
13.973,1.001
14.003,1.010
