df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,omega
33.598,0.487
37.644,0.485
38.277,0.487
40.469,0.488
40.571,0.487
47.488,0.488
49.401,0.488
51.590,0.488
52.268,0.486
53.582,0.485
54.999,0.486
56.702,0.485
59.397,0.485
59.534,0.485
61.483,0.484
80.007,0.484
84.787,0.484
86.837,0.484
90.143,0.484
91.027,0.484
93.522,0.484
95.703,0.486
104.919,0.484
112.522,0.484
121.737,0.486
139.190,0.486
140.504,0.484
141.335,0.486
142.013,0.490
144.993,0.492
146.619,0.492
146.693,0.493
149.038,0.493
150.498,0.493
150.990,0.493
153.109,0.496
157.471,0.499
158.593,0.496
160.537,0.493
161.284,0.496
161.821,0.496
164.880,0.496
165.559,0.496
165.613,0.496
170.436,0.493
171.797,0.494
173.899,0.494
179.766,0.493
180.479,0.493
181.407,0.493
185.404,0.493
191.301,0.487
197.590,0.474
200.173,0.474
200.670,0.474
208.460,0.474
214.066,0.467
215.380,0.467
216.657,0.465
219.524,0.465
221.473,0.465
226.644,0.465
250.236,0.465
254.477,0.465
267.302,0.465
290.261,0.465
310.905,0.466
