df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,acc_mag
15.950,1.021
15.980,1.025
16.010,1.024
16.040,1.021
16.070,1.028
16.100,1.025
16.130,1.021
16.160,1.020
16.190,1.025
16.220,1.024
16.250,1.022
16.280,1.028
16.310,1.024
16.340,1.022
16.370,1.024
16.400,1.024
16.430,1.023
16.460,1.021
16.490,1.025
16.520,1.023
16.550,1.029
16.580,1.025
16.610,1.019
16.640,1.020
16.670,1.030
16.700,1.025
16.730,1.019
16.760,1.021
16.790,1.021
16.820,1.024
16.850,1.026
16.880,1.026
16.910,1.022
16.940,1.022
16.970,1.026
17.000,1.022
17.030,1.022
17.060,1.022
17.090,1.024
17.120,1.022
17.150,1.025
17.180,1.025
17.210,1.025
17.240,1.023
17.270,1.023
17.300,1.021
17.330,1.024
17.360,1.024
17.390,1.023
17.420,1.023
17.450,1.023
17.480,1.026
17.510,1.023
17.540,1.023
17.570,1.021
17.600,1.031
17.630,1.021
17.660,1.020
17.690,1.021
17.720,1.023
17.750,1.026
17.780,1.024
17.810,1.026
17.840,1.019
17.870,1.026
17.900,1.024
17.930,1.021
17.960,1.021
17.990,1.025
18.020,1.024
18.050,1.023
18.080,1.023
18.110,1.025
18.140,1.026
18.170,1.023
18.200,1.025
18.230,1.024
18.260,1.029
18.290,1.021
18.320,1.025
18.350,1.021
18.380,1.025
18.410,1.021
18.440,1.019
18.470,1.019
18.500,1.031
18.530,1.028
18.560,1.020
18.590,1.021
18.620,1.027
18.650,1.028
18.680,1.022
18.710,1.025
18.740,1.024
18.770,1.026
18.800,1.028
18.830,1.023
18.860,1.019
18.890,1.024
18.920,1.021
18.950,1.023
18.980,1.027
19.010,1.025
19.040,1.022
19.070,1.025
19.100,1.026
19.130,1.022
19.160,1.021
19.190,1.021
19.220,1.027
19.250,1.023
19.280,1.023
19.310,1.022
19.340,1.031
19.370,1.023
19.400,1.017
19.430,1.021
19.460,1.026
19.490,1.024
19.520,1.027
19.550,1.029
19.580,1.018
19.610,1.026
19.640,1.026
19.670,1.020
19.700,1.024
19.730,1.027
19.760,1.022
19.790,1.024
19.820,1.027
19.850,1.025
19.880,1.024
19.910,1.025
19.940,1.023
19.970,1.021
20.000,1.023
20.030,1.024
20.060,1.027
20.090,1.025
20.120,1.019
20.150,1.024
20.180,1.029
20.210,1.025
20.240,1.027
20.270,1.027
20.300,1.021
20.330,1.030
20.360,1.024
20.390,1.023
20.420,1.021
20.450,1.026
20.480,1.020
20.510,1.026
20.540,1.024
20.570,1.028
20.600,1.025
20.630,1.021
20.660,1.024
20.690,1.026
20.720,1.027
20.750,1.026
20.780,1.021
20.810,1.021
20.840,1.024
20.870,1.027
20.900,1.026
20.930,1.026
20.960,1.023
20.990,1.020
21.020,1.034
21.050,1.024
21.080,1.016
21.110,1.025
21.140,1.029
21.170,1.021
21.200,1.026
21.230,1.022
21.260,1.029
21.290,1.029
21.320,1.021
21.350,1.021
21.380,1.025
21.410,1.026
21.440,1.022
21.470,1.024
21.500,1.025
21.530,1.024
21.560,1.025
21.590,1.023
21.620,1.024
21.650,1.028
21.680,1.028
21.710,1.024
21.740,1.016
21.770,1.024
21.800,1.026
21.830,1.025
21.860,1.025
21.890,1.024
21.920,1.025
21.950,1.026
21.980,1.024
22.010,1.025
22.040,1.021
22.070,1.021
22.100,1.026
22.130,1.026
22.160,1.020
22.190,1.022
22.220,1.027
22.250,1.025
22.280,1.024
22.310,1.025
22.340,1.025
22.370,1.024
22.400,1.027
22.430,1.023
22.460,1.021
22.490,1.023
22.520,1.022
22.550,1.026
22.580,1.026
22.610,1.029
22.640,1.024
22.670,1.021
22.700,1.021
22.730,1.024
22.760,1.024
22.790,1.024
22.820,1.029
22.850,1.023
22.880,1.024
22.910,1.021
22.940,1.030
