df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,battery
13.604,59
23.744,59
33.599,59
43.584,59
53.583,59
63.627,59
73.617,59
83.705,59
93.601,59
103.594,59
113.589,59
123.582,59
133.624,59
143.569,59
153.563,59
163.556,59
173.599,59
183.592,59
193.595,59
203.587,59
213.594,59
223.567,59
233.560,59
243.554,59
253.596,58
263.541,58
273.584,58
283.592,58
293.573,58
303.565,58
313.558,58
323.595,58
333.545,58
343.539,58
353.533,58
363.654,58
373.590,58
383.563,58
393.556,58
403.696,58
413.549,58
423.541,58
433.531,58
443.564,58
453.519,58
463.513,58
473.604,58
483.647,58
493.543,58
503.544,58
513.552,58
