df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,temperature
4.779,32.938
5.708,33.000
6.682,33.094
7.705,33.125
8.681,33.156
9.802,33.188
10.728,33.250
11.703,33.312
12.678,33.344
13.701,33.375
14.677,33.344
15.700,33.375
16.724,33.406
17.699,33.438
18.723,33.406
19.752,33.406
20.722,33.344
21.699,33.375
22.720,33.469
23.762,33.500
24.721,33.594
25.693,33.625
26.722,33.656
27.693,33.688
28.716,33.781
29.698,33.844
30.766,33.969
31.934,33.969
32.765,33.969
33.691,34.000
34.727,33.969
35.736,34.000
36.759,34.062
37.741,34.094
38.710,34.125
39.734,34.188
40.709,34.188
41.832,34.219
42.723,34.250
43.689,34.281
44.803,34.312
45.719,34.344
46.710,34.344
47.680,34.344
48.703,34.375
49.679,34.375
50.702,34.375
51.677,34.406
52.945,34.375
53.676,34.406
54.702,34.406
55.675,34.438
56.704,34.438
57.722,34.500
58.697,34.500
59.672,34.531
60.696,34.531
61.729,34.625
62.841,34.625
64.111,34.656
64.693,34.688
65.807,34.688
66.743,34.688
67.720,34.656
68.836,34.656
69.714,34.594
70.689,34.625
71.713,34.625
72.688,34.656
73.760,34.688
74.687,34.719
75.714,34.750
76.685,34.781
77.711,34.812
78.684,34.875
79.708,34.938
80.683,34.906
81.711,34.906
82.730,34.875
83.709,34.875
85.024,34.875
85.705,34.875
86.679,34.875
87.703,34.906
88.678,34.938
89.701,34.969
90.676,34.969
91.700,34.969
92.675,34.969
93.699,34.969
94.674,35.000
95.746,35.031
96.673,35.031
97.696,35.062
98.671,35.062
99.695,35.062
100.673,35.062
101.694,35.094
102.669,35.125
103.692,35.156
104.667,35.156
105.691,35.188
106.815,35.188
107.690,35.188
108.727,35.219
109.689,35.188
110.664,35.188
111.692,35.188
112.762,35.188
113.686,35.156
114.710,35.156
115.704,35.156
116.952,35.156
117.685,35.219
118.707,35.219
119.682,35.250
120.705,35.250
121.680,35.250
122.705,35.281
123.776,35.312
124.703,35.344
125.699,35.344
126.702,35.406
127.969,35.375
128.770,35.406
129.676,35.406
130.700,35.406
131.684,35.406
132.701,35.406
133.673,35.438
134.697,35.438
135.672,35.469
136.695,35.406
137.671,35.406
139.035,35.406
139.669,35.438
140.693,35.438
141.668,35.438
142.691,35.438
143.670,35.406
144.934,35.438
145.667,35.406
146.694,35.469
147.737,35.469
148.687,35.469
149.760,35.469
150.687,35.531
151.662,35.562
152.686,35.562
153.661,35.625
154.684,35.625
155.707,35.625
156.683,35.625
157.686,35.625
158.681,35.625
159.705,35.594
160.680,35.562
161.752,35.562
162.679,35.594
163.702,35.562
164.678,35.562
165.736,35.562
166.676,35.562
167.705,35.562
168.675,35.531
169.747,35.594
170.711,35.594
171.799,35.594
172.672,35.562
173.696,35.594
174.671,35.594
175.792,35.625
176.673,35.625
177.694,35.656
178.727,35.688
179.692,35.656
180.667,35.656
181.715,35.625
182.666,35.656
183.711,35.656
184.723,35.656
185.689,35.656
186.664,35.625
187.715,35.594
188.662,35.625
189.686,35.656
190.661,35.656
191.785,35.656
192.814,35.656
193.684,35.625
194.661,35.625
195.682,35.656
196.664,35.656
197.681,35.656
199.054,35.656
199.680,35.656
200.675,35.625
201.678,35.625
202.802,35.625
203.677,35.625
204.652,35.625
205.676,35.625
206.651,35.625
207.675,35.656
208.650,35.656
210.114,35.688
210.648,35.750
211.672,35.719
212.696,35.750
213.744,35.781
214.694,35.750
215.894,35.781
216.700,35.719
217.680,35.719
218.693,35.656
219.667,35.656
220.690,35.656
221.666,35.688
222.729,35.688
223.664,35.688
224.699,35.688
225.663,35.688
226.728,35.875
227.662,35.844
228.685,35.906
229.955,35.875
230.688,35.875
231.659,35.844
232.695,35.875
233.658,35.906
234.682,35.969
235.657,35.938
236.680,35.844
237.655,35.844
238.679,35.812
239.658,35.844
240.775,35.844
241.653,35.844
242.677,35.812
243.652,35.781
244.675,35.719
245.699,35.688
246.709,35.688
247.651,35.719
248.673,35.719
249.718,35.719
250.671,35.781
251.657,35.781
252.670,35.812
253.646,35.844
254.669,35.875
255.644,35.938
256.668,35.938
257.937,35.938
258.666,35.969
259.641,35.969
260.665,35.969
261.688,35.938
262.667,35.938
263.688,35.906
264.663,35.906
265.686,35.906
266.661,35.906
267.685,35.906
268.709,35.875
269.684,35.938
270.659,35.938
271.683,35.906
272.855,35.906
273.681,35.969
274.656,35.938
275.680,35.969
276.655,35.969
277.679,35.969
278.654,35.969
279.680,35.906
280.652,35.906
281.676,35.938
282.651,35.938
283.677,35.906
284.650,35.938
285.674,36.000
286.649,35.969
287.672,35.969
288.795,35.969
289.771,35.969
290.695,35.938
291.670,35.938
292.645,35.969
293.741,35.969
294.643,35.906
295.667,35.875
296.691,35.906
297.671,35.938
298.788,35.875
299.664,35.906
300.695,35.906
301.663,35.906
302.638,35.906
303.662,35.938
304.783,36.000
305.758,36.000
306.636,36.031
307.712,36.000
308.733,36.031
309.658,36.062
310.682,36.031
311.657,36.031
312.681,36.031
313.656,36.031
314.680,36.031
315.680,36.000
316.678,36.000
317.667,36.000
