df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,ppg_quality
57.595,82
59.615,84
60.625,83
62.645,82
64.665,82
66.685,78
67.695,83
69.715,94
71.735,93
73.755,92
75.775,97
77.795,92
79.815,80
82.845,87
84.865,85
85.875,83
86.885,84
88.905,81
90.925,74
91.935,76
92.945,80
93.955,80
95.975,76
97.995,62
100.015,60
102.035,50
103.045,48
105.065,45
107.085,53
109.105,69
111.125,75
113.145,70
116.175,76
118.195,67
120.215,60
122.235,62
123.245,64
124.255,61
126.275,58
127.285,57
129.305,55
130.315,53
131.325,54
132.335,57
133.345,59
135.365,67
137.385,70
138.395,80
140.415,93
142.435,91
143.445,92
144.455,88
145.465,88
146.475,91
148.495,89
149.505,88
151.525,85
153.545,82
155.565,81
157.585,80
159.605,79
161.625,81
162.635,83
164.655,85
166.675,87
168.695,88
170.715,88
172.735,91
173.745,90
175.765,95
176.775,97
177.785,96
178.795,96
179.805,98
181.825,93
182.835,84
184.855,72
186.875,69
188.895,67
189.905,67
191.925,73
192.935,78
195.965,92
197.985,90
198.995,92
200.005,92
202.025,90
204.045,96
205.055,92
207.075,89
208.085,88
210.105,85
211.115,88
213.135,77
215.155,75
218.185,76
220.205,78
222.225,82
223.235,85
224.245,88
225.255,88
226.265,86
227.275,91
229.295,86
231.315,74
233.335,66
235.355,67
236.365,69
238.385,60
239.395,62
242.425,95
244.445,95
245.455,85
246.465,70
248.485,74
249.495,72
250.505,61
252.525,30
253.535,27
255.555,31
257.575,17
259.595,29
261.615,42
262.625,47
264.645,31
266.665,49
268.685,54
270.705,47
271.715,42
272.725,38
273.735,38
275.755,27
277.775,3
283.835,5
285.855,13
286.865,5
287.875,4
308.075,2
309.085,10
311.105,18
313.125,24
315.145,13
317.165,16
320.195,17
322.215,24
324.235,32
326.255,46
328.275,48
330.295,47
333.325,41
335.345,44
337.365,41
339.385,30
341.405,25
342.415,20
344.435,20
345.445,19
346.455,14
348.475,12
350.495,19
351.505,19
352.515,18
353.525,15
355.545,8
357.565,32
359.585,40
361.605,51
362.615,58
364.635,76
365.645,79
366.655,79
368.675,93
370.695,90
372.715,82
374.735,70
375.745,71
377.765,49
379.785,23
381.805,21
382.815,21
383.825,22
385.845,17
388.875,52
390.895,76
392.915,80
393.925,84
395.945,88
396.955,80
398.975,69
399.985,61
402.005,39
404.025,26
406.045,30
408.065,5
409.075,1
410.085,19
411.095,19
413.115,24
415.135,21
417.155,33
419.175,27
420.185,5
421.195,9
424.225,7
425.235,8
426.245,6
428.265,11
430.285,22
432.305,13
433.315,10
435.335,8
436.345,10
437.355,8
439.375,17
441.395,17
443.415,20
446.445,7
447.455,8
450.485,9
452.505,31
454.525,45
456.545,50
457.555,48
458.565,45
459.575,47
461.595,48
463.615,55
464.625,58
465.635,63
466.645,74
468.665,89
469.675,87
470.685,83
472.705,69
474.725,58
476.745,49
477.755,50
478.765,50
479.775,58
481.795,71
483.815,75
485.835,79
487.855,78
489.875,64
491.895,49
492.905,51
494.925,49
496.945,50
498.965,26
500.985,18
503.005,15
504.015,18
506.035,16
508.055,30
510.075,51
512.095,47
513.105,41
514.115,26
523.205,6
