df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,heart_rate
18.528,69
19.992,68
20.624,68
21.550,68
22.726,68
23.750,68
24.523,68
25.700,68
26.642,71
27.498,72
28.667,74
29.619,75
30.475,76
31.787,77
32.624,77
33.445,77
34.669,78
35.590,79
36.418,81
37.646,83
38.514,84
39.441,84
40.611,84
41.511,83
42.707,84
43.590,85
44.516,86
45.388,87
46.562,87
47.489,87
48.362,87
49.629,87
50.495,87
51.335,87
52.577,87
53.432,86
54.358,86
55.528,86
56.468,86
57.332,86
58.502,85
59.629,84
60.305,83
61.720,83
62.448,83
63.279,84
64.498,85
65.473,84
66.253,84
67.515,83
68.349,82
69.446,81
70.445,81
71.322,81
72.249,83
73.419,83
74.296,82
75.272,81
76.392,79
77.273,78
78.196,78
79.366,79
80.292,80
81.170,80
82.340,80
83.315,79
84.144,78
85.362,78
86.486,77
87.117,77
88.336,77
89.213,77
90.146,81
91.310,78
92.187,79
93.117,77
94.334,75
95.161,74
96.087,72
97.257,73
98.134,82
99.061,88
100.281,82
101.157,83
102.083,82
103.204,79
104.131,78
105.008,79
106.227,78
107.138,82
107.982,79
109.201,80
110.078,76
111.004,76
112.174,75
113.052,76
113.978,75
115.172,75
116.074,83
116.958,78
118.127,79
119.048,78
119.925,76
121.095,76
122.022,76
122.899,81
124.154,82
124.995,83
126.168,81
127.092,81
127.975,79
128.895,80
130.065,79
130.947,79
132.164,82
133.039,80
133.965,81
134.845,80
136.013,81
136.939,83
137.816,84
139.060,83
139.913,82
140.790,81
142.014,81
142.886,81
143.764,83
145.358,81
145.860,86
147.033,83
147.956,84
148.834,79
149.763,79
150.995,78
151.856,79
152.805,78
153.910,82
154.830,83
155.714,84
156.877,83
157.807,83
158.687,84
159.851,85
160.777,86
161.655,87
162.922,88
163.751,88
164.628,88
165.850,86
166.725,85
167.605,84
168.870,84
169.756,85
170.625,86
172.185,86
172.676,86
173.655,86
174.768,86
175.695,86
176.572,86
177.792,82
178.717,84
179.546,82
180.813,83
181.664,83
182.566,84
183.738,85
184.666,86
185.493,87
186.713,86
187.638,86
188.516,81
189.690,79
190.612,77
191.489,78
192.665,77
193.587,77
194.463,77
195.633,77
196.564,74
197.437,73
198.728,73
199.533,74
200.414,73
201.629,81
202.507,78
203.407,77
204.603,75
205.480,74
206.407,73
207.577,75
208.461,78
209.380,80
210.550,83
211.483,84
212.354,85
213.531,84
214.450,84
215.381,83
216.498,83
217.668,83
218.301,85
219.525,86
220.400,87
221.275,87
222.543,87
223.374,87
224.253,87
225.472,86
226.345,85
227.271,85
228.463,86
229.373,86
230.245,85
231.415,85
232.341,85
233.220,85
234.438,85
235.315,85
236.192,85
237.411,85
238.344,85
239.166,78
240.391,82
241.263,80
242.189,81
243.359,80
244.236,85
245.177,87
246.332,89
247.259,90
248.136,91
249.355,90
250.237,90
251.110,90
252.329,90
253.501,90
254.083,84
255.351,87
256.180,86
257.057,88
258.325,86
259.153,85
260.080,83
261.250,81
262.127,78
263.053,77
264.223,78
265.150,77
266.027,77
267.246,77
268.123,77
269.001,77
270.269,77
271.100,81
272.121,82
273.144,84
274.071,85
274.949,86
276.167,85
277.046,84
277.922,84
279.141,84
280.018,84
280.896,84
282.137,84
283.005,84
283.869,84
285.090,84
285.966,84
286.892,83
288.062,82
288.939,82
289.865,82
291.084,82
291.913,82
292.862,82
294.058,82
294.935,82
295.821,82
297.278,82
297.909,82
298.792,82
299.960,82
300.883,82
301.761,82
302.979,82
303.857,83
304.787,83
305.953,83
306.831,83
307.760,82
308.927,82
309.851,82
310.730,82
311.900,82
312.827,82
313.704,82
314.874,82
315.804,82
316.681,82
317.945,81
318.774,81
319.655,81
320.919,81
321.748,75
322.649,73
323.844,75
324.721,75
325.599,82
326.818,82
327.695,83
328.622,84
329.791,85
330.675,86
331.595,87
332.765,87
333.698,87
334.569,87
335.739,87
336.703,87
337.542,87
338.712,87
339.639,87
340.516,87
341.735,87
342.613,87
343.490,91
344.709,88
345.586,89
346.464,88
347.690,89
348.560,88
349.486,88
350.660,88
351.535,88
352.460,88
353.633,88
354.605,88
355.457,88
356.604,88
357.530,88
358.417,88
359.577,93
360.513,93
361.381,89
362.605,86
363.526,88
364.355,85
365.573,86
366.451,85
367.328,85
368.549,85
369.425,85
370.302,88
371.521,89
372.398,90
373.325,91
374.495,91
375.393,90
376.299,90
377.469,90
378.396,90
379.310,90
380.442,90
381.369,90
382.296,90
383.416,90
384.342,87
385.232,89
386.390,88
387.316,89
388.194,88
389.412,89
390.290,88
391.167,89
392.395,89
393.263,89
394.190,89
395.360,90
396.237,89
397.164,91
398.334,92
399.357,92
400.137,93
401.331,93
402.234,93
403.112,94
404.281,93
405.207,93
406.085,93
407.256,93
408.188,93
409.059,93
410.277,93
411.155,93
412.032,93
413.251,89
414.133,90
415.006,90
416.239,88
417.102,89
417.980,88
419.202,88
420.080,88
421.002,88
422.172,93
423.050,94
423.976,92
425.156,93
426.027,92
426.950,92
428.123,92
429.047,88
429.924,90
431.118,89
432.020,89
432.897,89
