df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,quality
18.532,58
19.997,76
20.630,70
21.555,38
22.918,32
23.755,37
24.573,40
25.840,32
26.718,52
27.550,72
28.671,59
29.691,69
30.718,77
31.791,75
32.713,83
33.450,79
34.712,70
35.616,59
36.424,53
37.696,65
38.518,61
39.444,62
40.614,71
41.686,81
42.716,56
43.682,57
44.560,66
45.391,70
46.705,68
47.538,70
48.365,76
49.632,80
50.499,79
51.339,81
52.703,77
53.435,77
54.361,77
55.531,74
56.505,74
57.335,70
58.508,66
59.639,74
60.407,83
61.724,68
62.471,53
63.284,62
64.502,64
65.476,54
66.256,67
67.715,55
68.353,51
69.450,52
70.449,40
71.326,39
72.252,47
73.422,55
74.300,40
75.278,41
76.396,50
77.370,63
78.199,42
79.370,42
80.296,56
81.173,48
82.343,54
83.318,71
84.149,72
85.365,70
86.492,74
87.121,58
88.339,41
89.217,35
90.240,44
91.315,31
92.193,30
93.165,38
94.627,66
95.164,61
96.093,40
97.263,23
98.138,35
99.067,58
100.291,39
101.160,28
102.086,35
103.214,54
104.137,64
105.012,28
106.230,24
107.400,43
107.986,32
109.205,29
110.084,33
111.010,66
112.179,60
113.057,48
113.982,27
115.587,25
116.123,39
117.247,24
118.220,26
119.051,26
119.932,50
121.098,45
122.025,29
122.902,34
124.364,49
124.999,42
126.174,29
127.097,31
128.018,63
128.898,36
130.070,24
130.992,33
132.168,37
133.042,28
134.014,32
135.041,56
136.016,38
136.942,39
137.820,42
139.084,31
139.962,40
140.795,65
142.060,62
142.893,57
143.767,51
145.361,42
145.863,54
147.037,26
147.960,31
148.837,42
149.812,72
151.028,55
151.862,32
152.977,35
154.102,58
154.836,54
155.902,46
156.881,65
157.852,69
158.976,47
159.855,63
160.826,75
161.660,75
162.925,78
163.754,76
164.632,60
165.948,52
166.729,71
167.700,62
168.876,47
169.994,61
170.628,63
172.188,62
172.867,68
173.658,67
174.772,45
175.746,36
176.578,31
177.801,49
178.720,31
179.549,38
180.817,74
181.691,74
182.570,66
183.744,53
184.716,46
185.499,48
186.719,27
187.644,41
188.519,51
189.932,75
190.616,71
191.495,39
192.808,31
193.591,30
194.470,27
195.636,28
196.657,44
197.440,58
199.048,56
199.538,35
200.462,28
201.635,40
202.510,29
203.580,34
204.608,43
205.484,65
206.410,64
207.580,47
208.506,58
209.384,74
210.553,72
211.574,63
212.357,69
213.579,38
214.454,36
215.628,55
216.503,46
217.674,30
218.307,55
219.621,64
220.593,64
221.278,72
222.547,74
223.421,72
224.398,70
225.519,74
226.350,80
227.275,72
228.539,56
229.416,54
230.248,39
231.418,20
232.344,0
233.228,10
234.457,10
235.318,10
236.196,12
237.415,13
238.438,16
239.173,49
240.683,27
241.267,36
242.194,36
243.362,0
244.241,36
245.260,37
246.338,38
247.265,50
248.140,52
249.358,21
250.284,29
251.113,27
252.332,33
253.505,33
254.087,40
255.354,31
256.183,27
257.060,35
258.336,31
259.156,40
260.083,49
261.253,78
262.130,49
263.057,41
264.234,23
265.153,34
266.030,1
267.250,0
268.126,0
269.005,0
270.272,0
271.295,51
272.124,63
273.150,54
274.074,45
274.952,40
276.170,31
277.052,40
277.941,35
279.144,32
280.021,32
280.900,0
282.263,0
283.236,34
283.873,62
285.188,56
285.971,30
286.896,36
288.065,39
288.943,30
289.870,0
291.088,13
291.916,7
293.135,19
294.062,0
294.939,0
295.864,0
297.287,0
297.912,0
299.082,0
300.054,0
300.890,32
301.767,30
302.983,37
303.860,57
305.030,44
305.956,49
306.834,53
308.003,56
308.931,54
309.856,57
310.736,56
311.903,52
312.830,46
313.707,28
314.878,32
315.898,32
316.729,26
317.949,41
318.777,29
319.703,31
320.923,26
321.751,33
322.651,32
323.849,23
324.724,25
325.602,35
326.821,36
327.698,60
328.671,55
329.795,55
330.767,59
331.601,64
332.768,70
333.742,70
334.573,67
335.746,56
336.709,35
337.548,9
338.728,23
339.642,6
340.520,0
341.741,0
342.618,0
343.494,40
344.712,0
345.589,0
346.467,0
348.027,31
348.563,0
349.492,0
350.951,18
351.538,0
352.463,0
353.876,0
354.608,4
355.464,0
356.610,0
357.533,35
358.605,45
359.581,42
360.550,29
361.385,36
362.651,42
363.532,27
364.358,32
365.577,25
366.454,0
367.334,34
368.596,33
369.428,31
370.306,37
371.531,47
372.402,47
373.346,54
374.500,55
375.421,31
376.303,22
377.474,25
378.495,26
379.568,3
380.589,11
381.372,0
382.639,0
383.419,0
384.346,28
385.463,38
386.396,51
387.319,63
388.199,59
389.417,55
390.296,60
391.171,55
392.630,52
393.267,51
394.193,53
395.366,54
396.240,45
397.170,62
398.337,62
399.361,63
400.142,67
401.405,65
402.237,57
403.116,52
404.330,45
405.211,25
406.088,29
407.263,35
408.233,0
409.063,0
410.281,10
411.158,0
412.036,0
413.256,23
414.424,23
415.009,19
416.325,28
417.106,25
417.988,24
419.250,27
420.227,24
421.006,22
422.176,35
423.055,38
423.987,26
425.198,49
426.316,56
426.953,34
428.129,32
429.056,35
429.927,0
431.121,22
432.023,0
432.901,28
434.265,0
