df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,rr_int
10.241,3985
10.535,1570
10.539,170
10.825,25
10.923,525
12.337,680
12.727,670
12.872,590
14.460,665
15.261,800
15.265,915
16.237,10
16.243,885
17.065,10
17.894,870
18.957,905
19.746,925
20.007,835
20.038,270
20.140,175
20.380,235
21.648,715
22.549,620
23.353,765
24.430,820
25.011,865
25.847,850
26.550,830
27.351,765
28.033,735
28.960,745
29.889,790
30.423,825
31.251,795
31.938,780
32.722,770
33.493,725
34.176,745
35.007,675
35.492,655
36.174,625
36.808,675
37.495,720
38.222,755
38.905,725
39.882,725
40.416,755
40.471,730
41.147,10
41.293,675
41.300,180
41.979,15
42.366,455
43.097,660
43.781,650
44.510,705
44.608,680
45.145,205
45.875,475
45.879,710
46.558,10
47.241,740
47.923,680
48.654,680
49.337,710
50.020,740
50.799,675
51.436,665
52.115,710
52.948,750
53.529,745
54.212,670
54.894,645
55.625,680
56.512,750
57.137,760
57.819,735
58.648,765
59.380,775
59.428,755
60.061,10
60.744,680
61.329,645
62.061,645
62.858,680
63.528,775
64.254,750
65.083,740
65.669,765
65.673,495
65.810,10
66.595,260
68.008,790
68.840,1460
68.844,730
69.471,10
69.482,650
70.056,10
70.786,635
71.469,725
72.151,645
72.981,805
73.275,780
73.858,185
74.788,705
75.515,870
76.344,815
77.270,735
77.612,680
78.294,645
79.172,705
79.951,805
80.780,840
81.706,790
82.243,730
83.023,730
83.852,830
84.680,850
85.372,815
86.094,780
86.776,675
86.782,625
87.057,10
87.062,255
87.313,10
87.898,340
88.580,620
89.263,615
90.091,715
90.969,860
92.044,885
92.724,910
93.482,830
94.283,775
94.820,740
95.551,665
96.254,615
96.384,660
96.770,10
97.355,570
97.360,615
98.038,10
98.720,640
99.012,780
99.550,170
100.378,615
100.669,890
101.255,255
102.335,590
102.912,840
103.598,745
104.179,690
104.862,645
105.399,625
106.081,615
106.959,665
107.884,830
108.629,860
109.445,835
110.273,830
110.279,815
110.956,10
111.687,710
112.369,730
112.525,660
112.906,230
113.491,410
114.759,585
115.595,1235
116.562,840
117.537,930
118.224,940
119.201,710
119.731,850
120.513,735
121.047,675
121.684,645
122.314,625
122.948,615
123.780,710
124.606,840
125.439,830
126.287,830
126.994,810
127.141,745
127.238,220
128.359,415
128.364,725
129.630,10
130.311,1205
130.997,695
131.872,800
132.698,795
133.381,795
134.063,695
134.211,685
134.258,185
134.262,10
134.265,10
134.269,10
134.358,10
134.648,15
135.184,375
135.876,620
136.699,645
137.427,790
138.256,820
139.096,805
139.766,750
140.449,750
141.180,730
141.911,675
142.065,685
142.069,200
142.399,25
143.130,400
143.666,605
144.256,595
144.937,595
144.982,685
145.763,10
146.593,850
146.640,845
147.420,10
147.423,805
148.249,10
148.985,795
149.665,780
150.345,700
150.930,650
151.041,620
151.612,10
152.149,600
152.985,650
153.709,725
154.392,765
155.220,750
155.907,750
156.620,705
157.170,670
157.857,615
158.486,635
159.120,650
159.803,690
160.511,695
161.216,680
161.222,645
161.760,10
161.801,635
162.435,10
163.264,680
163.995,770
164.823,765
165.506,780
165.560,745
166.189,10
166.777,670
167.456,640
168.138,640
168.724,645
169.552,670
170.235,770
171.066,745
171.697,680
172.194,655
172.872,635
173.745,685
174.720,880
175.548,880
176.231,820
176.913,755
177.644,700
178.376,670
179.010,680
179.695,725
180.423,720
181.154,730
181.789,720
182.374,605
183.056,650
183.599,610
184.276,620
185.152,655
186.026,860
186.809,910
187.687,845
188.467,835
189.296,835
189.979,775
190.564,690
191.246,630
191.831,625
192.416,590
193.198,615
194.170,820
194.999,925
195.830,865
196.559,805
197.389,800
197.534,755
198.071,210
198.607,465
199.339,635
199.874,615
200.557,595
201.439,680
202.263,855
203.092,875
203.921,840
204.750,865
205.432,815
205.578,720
206.163,170
206.846,520
207.528,715
208.357,735
208.942,715
209.626,675
210.161,635
210.892,625
211.579,640
212.403,720
213.231,855
213.914,800
214.646,760
215.328,680
215.900,655
216.595,625
217.278,630
217.961,665
218.643,720
219.374,735
220.057,685
220.598,660
221.324,665
221.423,710
222.153,10
222.835,735
223.518,755
224.249,695
224.932,710
225.761,730
226.299,725
226.589,670
227.028,170
227.280,455
227.607,330
228.257,285
228.397,695
228.544,10
228.980,260
229.369,465
229.421,295
229.424,15
229.428,15
229.514,60
229.517,20
229.524,15
229.527,15
230.635,1150
230.930,10
230.946,235
230.949,15
230.952,10
231.903,65
232.439,975
232.585,515
233.853,235
234.536,1205
235.218,725
235.269,705
236.485,15
237.021,1195
237.363,620
238.338,200
238.982,985
239.605,675
240.385,590
240.694,600
240.779,295
241.360,325
242.043,675
242.727,590
242.871,685
242.878,225
243.038,15
243.310,90
243.847,265
244.579,660
244.821,650
244.829,205
245.265,20
245.801,430
246.479,645
247.064,600
247.210,560
247.600,245
248.624,405
248.867,990
248.871,195
249.555,10
250.135,670
251.256,650
251.939,1095
252.475,645
253.060,575
253.775,640
254.425,580
254.479,745
254.574,220
254.864,180
255.010,240
256.521,660
257.350,790
258.044,835
259.010,795
259.593,785
