df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,perfusion_ir
33.591,0.160
37.641,0.160
38.273,0.160
40.464,0.160
40.568,0.160
47.484,0.150
49.391,0.150
51.586,0.150
52.264,0.150
53.578,0.150
54.994,0.140
56.698,0.140
59.391,0.140
59.528,0.140
61.478,0.140
80.003,0.140
84.780,0.140
86.831,0.140
90.140,0.140
91.020,0.140
93.515,0.140
95.700,0.140
104.914,0.140
112.516,0.140
121.732,0.140
139.187,0.140
140.500,0.140
141.331,0.150
142.009,0.150
144.989,0.150
146.605,0.150
146.689,0.160
149.034,0.160
150.494,0.160
150.981,0.160
153.102,0.150
157.465,0.150
158.586,0.150
160.534,0.140
161.275,0.140
161.812,0.140
164.875,0.140
165.555,0.140
165.609,0.140
170.433,0.140
171.749,0.130
173.895,0.130
179.746,0.130
180.475,0.130
181.401,0.130
185.398,0.130
191.297,0.130
197.586,0.130
200.170,0.130
200.657,0.130
208.456,0.130
214.063,0.140
215.376,0.140
216.650,0.140
219.520,0.140
221.432,0.140
226.640,0.140
250.232,0.140
254.474,0.140
267.298,0.140
290.256,0.150
310.899,0.150
