df_hash,22ZHK4.S8VSPF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9DLG
person_label,V46
date_time_start,2025-10-27_15-17-34.481000_+03
date_time_start_unix,1761563854.481
date_time_end,2025-10-27_15-25-50.085000_+03
length_difference_noticed,no

time,acc_mag
15.348,1.007
15.378,1.003
15.408,0.999
15.438,1.008
15.468,1.007
15.498,1.009
15.528,1.002
15.558,1.000
15.588,1.004
15.618,1.006
15.648,1.003
15.678,1.001
15.708,1.003
15.738,1.004
15.768,1.006
15.798,1.010
15.828,1.017
15.858,1.012
15.888,1.003
15.918,1.000
15.948,0.998
15.978,0.995
16.008,0.999
16.038,0.994
16.068,0.995
16.098,1.009
16.128,1.005
16.158,1.004
16.188,1.006
16.218,1.010
16.248,1.003
16.278,1.005
16.308,1.007
16.338,1.005
16.368,0.999
16.398,1.006
16.428,1.006
16.458,1.009
16.488,1.001
16.518,1.002
16.548,1.011
16.578,1.006
16.608,1.004
16.638,0.995
16.668,0.995
16.698,1.007
16.728,1.016
16.758,1.009
16.788,1.007
16.818,0.999
16.848,0.995
16.878,1.008
16.908,1.009
16.938,1.005
16.968,1.010
16.998,1.001
17.028,0.998
17.058,1.003
17.088,1.013
17.118,1.008
17.148,1.003
17.178,1.005
17.208,1.007
17.238,1.002
17.268,1.002
17.298,1.006
17.328,1.006
17.358,1.000
17.388,1.007
17.418,1.008
17.448,1.005
17.478,1.004
17.508,1.004
17.538,1.004
17.568,1.011
17.598,1.001
17.628,1.005
17.658,1.004
17.688,1.005
17.718,1.009
17.748,1.004
17.778,1.004
17.808,1.000
17.838,1.008
17.868,1.006
17.898,1.004
17.928,1.010
17.958,1.005
17.988,0.996
18.018,1.000
18.048,1.012
18.078,1.012
18.108,1.004
18.138,1.001
18.168,1.004
18.198,1.004
18.228,1.004
18.258,1.001
18.288,1.003
18.318,1.000
18.348,1.012
18.378,1.010
18.408,1.007
18.438,1.003
18.468,1.001
18.498,1.006
18.528,1.012
18.558,1.007
18.588,1.003
18.618,0.999
18.648,1.009
18.678,1.007
18.708,1.003
18.738,1.005
18.768,1.004
18.798,1.006
18.828,1.009
18.858,1.010
18.888,1.005
18.918,1.001
18.948,0.995
18.978,1.005
19.008,1.012
19.038,1.011
19.068,1.004
19.098,1.001
19.128,1.002
19.158,1.003
19.188,1.006
19.218,1.009
19.248,0.999
19.278,0.999
19.308,1.012
19.338,1.011
19.368,1.005
19.398,0.996
19.428,1.001
19.458,1.006
19.488,1.006
19.518,1.006
19.548,1.007
19.578,1.009
19.608,1.009
19.638,1.001
19.668,1.006
19.698,1.006
19.728,1.005
19.758,1.011
19.788,1.010
19.818,1.000
19.848,0.993
19.878,1.002
19.908,1.009
19.938,1.018
19.968,1.007
19.998,1.006
20.028,1.006
20.058,1.003
20.088,1.007
20.118,1.005
20.148,1.007
20.178,1.004
20.208,0.998
20.238,1.008
20.268,1.016
20.298,1.006
20.328,1.000
20.358,1.001
20.388,1.008
20.418,1.009
20.448,1.004
20.478,1.002
20.508,1.008
20.538,1.010
20.568,1.000
20.598,1.004
20.628,1.011
20.658,1.006
20.688,1.007
20.718,1.001
20.748,1.000
20.778,1.006
20.808,1.015
20.838,1.018
20.868,1.003
20.898,1.003
20.928,1.002
20.958,1.003
20.988,1.007
21.018,1.012
21.048,1.006
21.078,1.000
21.108,1.011
21.138,1.012
21.168,1.010
21.198,1.003
21.228,0.994
21.258,1.005
21.288,1.011
21.318,1.007
21.348,1.006
21.378,1.010
21.408,1.007
21.438,1.007
21.468,1.005
21.498,1.011
21.528,1.011
21.558,1.005
21.588,1.004
21.618,1.002
21.648,1.002
21.678,1.008
21.708,1.015
21.738,1.006
21.768,1.005
21.798,1.002
21.828,1.006
21.858,1.001
21.888,1.008
21.918,1.010
21.948,1.006
21.978,1.006
22.008,1.012
22.038,1.012
22.068,1.006
22.098,1.001
22.128,1.005
22.158,1.011
22.188,1.008
22.218,1.006
22.248,1.004
22.278,1.005
22.308,1.011
22.338,1.008
22.368,1.001
22.398,1.006
22.428,1.008
22.458,1.004
22.488,1.006
22.518,1.007
22.548,1.001
22.578,1.004
22.608,1.014
22.638,1.015
22.668,1.003
22.698,1.004
22.728,1.008
22.758,1.001
22.788,1.003
22.818,1.007
22.848,1.006
22.878,1.001
22.908,1.008
22.938,1.012
22.968,1.010
22.998,1.001
23.028,0.999
23.058,1.004
23.088,1.008
23.118,1.009
23.148,1.007
23.178,1.007
23.208,1.006
23.238,1.008
23.268,1.005
23.298,1.004
23.328,1.004
23.358,1.010
23.388,1.006
23.418,1.004
23.448,1.011
23.478,1.002
23.508,1.001
23.538,1.002
23.568,1.015
23.598,1.011
23.628,1.001
23.658,1.006
23.688,1.007
23.718,1.004
23.748,1.005
23.778,1.010
23.808,1.005
23.838,1.003
23.868,1.011
23.898,1.010
23.928,1.008
23.958,1.007
23.988,1.006
24.018,1.009
24.048,1.008
24.078,1.006
24.108,1.002
24.138,1.005
24.168,1.004
24.198,1.005
24.228,1.009
24.258,1.006
24.288,1.003
24.318,1.008
24.348,1.011
24.378,1.012
24.408,1.006
24.438,1.005
24.468,1.002
24.498,1.003
24.528,1.012
24.558,1.014
24.588,1.002
24.618,1.004
24.648,1.010
24.678,1.002
24.708,1.005
